group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
single_random_i16,SmallRng,Biased64,,,199335.0,ns,3084
single_random_i16,SmallRng,Biased64,,,395785.0,ns,6168
single_random_i16,SmallRng,Biased64,,,594921.0,ns,9252
single_random_i16,SmallRng,Biased64,,,791540.0,ns,12336
single_random_i16,SmallRng,Biased64,,,990785.0,ns,15420
single_random_i16,SmallRng,Biased64,,,1186054.0,ns,18504
single_random_i16,SmallRng,Biased64,,,1380440.0,ns,21588
single_random_i16,SmallRng,Biased64,,,1584183.0,ns,24672
single_random_i16,SmallRng,Biased64,,,1781995.0,ns,27756
single_random_i16,SmallRng,Biased64,,,1983455.0,ns,30840
single_random_i16,SmallRng,Biased64,,,2180176.0,ns,33924
single_random_i16,SmallRng,Biased64,,,2376005.0,ns,37008
single_random_i16,SmallRng,Biased64,,,2585379.0,ns,40092
single_random_i16,SmallRng,Biased64,,,2772932.0,ns,43176
single_random_i16,SmallRng,Biased64,,,2962219.0,ns,46260
single_random_i16,SmallRng,Biased64,,,3174768.0,ns,49344
single_random_i16,SmallRng,Biased64,,,3370006.0,ns,52428
single_random_i16,SmallRng,Biased64,,,3560956.0,ns,55512
single_random_i16,SmallRng,Biased64,,,3754360.0,ns,58596
single_random_i16,SmallRng,Biased64,,,3965038.0,ns,61680
single_random_i16,SmallRng,Biased64,,,4149705.0,ns,64764
single_random_i16,SmallRng,Biased64,,,4350382.0,ns,67848
single_random_i16,SmallRng,Biased64,,,4544147.0,ns,70932
single_random_i16,SmallRng,Biased64,,,4738694.0,ns,74016
single_random_i16,SmallRng,Biased64,,,4942608.0,ns,77100
single_random_i16,SmallRng,Biased64,,,5141372.0,ns,80184
single_random_i16,SmallRng,Biased64,,,5330939.0,ns,83268
single_random_i16,SmallRng,Biased64,,,5530866.0,ns,86352
single_random_i16,SmallRng,Biased64,,,5722527.0,ns,89436
single_random_i16,SmallRng,Biased64,,,5920380.0,ns,92520
single_random_i16,SmallRng,Biased64,,,6124304.0,ns,95604
single_random_i16,SmallRng,Biased64,,,6317157.0,ns,98688
single_random_i16,SmallRng,Biased64,,,6508106.0,ns,101772
single_random_i16,SmallRng,Biased64,,,6721739.0,ns,104856
single_random_i16,SmallRng,Biased64,,,6897650.0,ns,107940
single_random_i16,SmallRng,Biased64,,,7098508.0,ns,111024
single_random_i16,SmallRng,Biased64,,,7290139.0,ns,114108
single_random_i16,SmallRng,Biased64,,,7487681.0,ns,117192
single_random_i16,SmallRng,Biased64,,,7678501.0,ns,120276
single_random_i16,SmallRng,Biased64,,,7865613.0,ns,123360
single_random_i16,SmallRng,Biased64,,,8078454.0,ns,126444
single_random_i16,SmallRng,Biased64,,,8265516.0,ns,129528
single_random_i16,SmallRng,Biased64,,,8461826.0,ns,132612
single_random_i16,SmallRng,Biased64,,,8659407.0,ns,135696
single_random_i16,SmallRng,Biased64,,,8877288.0,ns,138780
single_random_i16,SmallRng,Biased64,,,9051116.0,ns,141864
single_random_i16,SmallRng,Biased64,,,9241043.0,ns,144948
single_random_i16,SmallRng,Biased64,,,9441341.0,ns,148032
single_random_i16,SmallRng,Biased64,,,9636187.0,ns,151116
single_random_i16,SmallRng,Biased64,,,9835252.0,ns,154200
single_random_i16,SmallRng,Biased64,,,10027614.0,ns,157284
single_random_i16,SmallRng,Biased64,,,10221680.0,ns,160368
single_random_i16,SmallRng,Biased64,,,10420464.0,ns,163452
single_random_i16,SmallRng,Biased64,,,10614309.0,ns,166536
single_random_i16,SmallRng,Biased64,,,10809076.0,ns,169620
single_random_i16,SmallRng,Biased64,,,11008030.0,ns,172704
single_random_i16,SmallRng,Biased64,,,11199090.0,ns,175788
single_random_i16,SmallRng,Biased64,,,11401973.0,ns,178872
single_random_i16,SmallRng,Biased64,,,11587171.0,ns,181956
single_random_i16,SmallRng,Biased64,,,11794612.0,ns,185040
single_random_i16,SmallRng,Biased64,,,11983056.0,ns,188124
single_random_i16,SmallRng,Biased64,,,12174868.0,ns,191208
single_random_i16,SmallRng,Biased64,,,12377229.0,ns,194292
single_random_i16,SmallRng,Biased64,,,12560264.0,ns,197376
single_random_i16,SmallRng,Biased64,,,12771892.0,ns,200460
single_random_i16,SmallRng,Biased64,,,12956129.0,ns,203544
single_random_i16,SmallRng,Biased64,,,13147720.0,ns,206628
single_random_i16,SmallRng,Biased64,,,13354830.0,ns,209712
single_random_i16,SmallRng,Biased64,,,13561369.0,ns,212796
single_random_i16,SmallRng,Biased64,,,13741407.0,ns,215880
single_random_i16,SmallRng,Biased64,,,13940704.0,ns,218964
single_random_i16,SmallRng,Biased64,,,14133256.0,ns,222048
single_random_i16,SmallRng,Biased64,,,14361095.0,ns,225132
single_random_i16,SmallRng,Biased64,,,14545111.0,ns,228216
single_random_i16,SmallRng,Biased64,,,14716915.0,ns,231300
single_random_i16,SmallRng,Biased64,,,14928713.0,ns,234384
single_random_i16,SmallRng,Biased64,,,15107321.0,ns,237468
single_random_i16,SmallRng,Biased64,,,15318388.0,ns,240552
single_random_i16,SmallRng,Biased64,,,15514326.0,ns,243636
single_random_i16,SmallRng,Biased64,,,15700838.0,ns,246720
single_random_i16,SmallRng,Biased64,,,15902137.0,ns,249804
single_random_i16,SmallRng,Biased64,,,16099008.0,ns,252888
single_random_i16,SmallRng,Biased64,,,16304956.0,ns,255972
single_random_i16,SmallRng,Biased64,,,16499572.0,ns,259056
single_random_i16,SmallRng,Biased64,,,16688699.0,ns,262140
single_random_i16,SmallRng,Biased64,,,16881291.0,ns,265224
single_random_i16,SmallRng,Biased64,,,17074355.0,ns,268308
single_random_i16,SmallRng,Biased64,,,17264513.0,ns,271392
single_random_i16,SmallRng,Biased64,,,17453649.0,ns,274476
