group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
single_random_i16,SmallRng,Canon-Lemire,,,198844.0,ns,2263
single_random_i16,SmallRng,Canon-Lemire,,,395105.0,ns,4526
single_random_i16,SmallRng,Canon-Lemire,,,593599.0,ns,6789
single_random_i16,SmallRng,Canon-Lemire,,,790199.0,ns,9052
single_random_i16,SmallRng,Canon-Lemire,,,988762.0,ns,11315
single_random_i16,SmallRng,Canon-Lemire,,,1187157.0,ns,13578
single_random_i16,SmallRng,Canon-Lemire,,,1394276.0,ns,15841
single_random_i16,SmallRng,Canon-Lemire,,,1576691.0,ns,18104
single_random_i16,SmallRng,Canon-Lemire,,,1919366.0,ns,20367
single_random_i16,SmallRng,Canon-Lemire,,,2082894.0,ns,22630
single_random_i16,SmallRng,Canon-Lemire,,,2171922.0,ns,24893
single_random_i16,SmallRng,Canon-Lemire,,,2370486.0,ns,27156
single_random_i16,SmallRng,Canon-Lemire,,,2568940.0,ns,29419
single_random_i16,SmallRng,Canon-Lemire,,,2764369.0,ns,31682
single_random_i16,SmallRng,Canon-Lemire,,,2983611.0,ns,33945
single_random_i16,SmallRng,Canon-Lemire,,,3157951.0,ns,36208
single_random_i16,SmallRng,Canon-Lemire,,,3352517.0,ns,38471
single_random_i16,SmallRng,Canon-Lemire,,,3823434.0,ns,40734
single_random_i16,SmallRng,Canon-Lemire,,,3737672.0,ns,42997
single_random_i16,SmallRng,Canon-Lemire,,,3963569.0,ns,45260
single_random_i16,SmallRng,Canon-Lemire,,,4142636.0,ns,47523
single_random_i16,SmallRng,Canon-Lemire,,,4339286.0,ns,49786
single_random_i16,SmallRng,Canon-Lemire,,,4904000.0,ns,52049
single_random_i16,SmallRng,Canon-Lemire,,,4721726.0,ns,54312
single_random_i16,SmallRng,Canon-Lemire,,,4917365.0,ns,56575
single_random_i16,SmallRng,Canon-Lemire,,,5114527.0,ns,58838
single_random_i16,SmallRng,Canon-Lemire,,,5341113.0,ns,61101
