group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
single_random_i16,SmallRng,Canon32,,,199726.0,ns,2846
single_random_i16,SmallRng,Canon32,,,396477.0,ns,5692
single_random_i16,SmallRng,Canon32,,,594579.0,ns,8538
single_random_i16,SmallRng,Canon32,,,790178.0,ns,11384
single_random_i16,SmallRng,Canon32,,,992038.0,ns,14230
single_random_i16,SmallRng,Canon32,,,1185453.0,ns,17076
single_random_i16,SmallRng,Canon32,,,1385429.0,ns,19922
single_random_i16,SmallRng,Canon32,,,1579515.0,ns,22768
single_random_i16,SmallRng,Canon32,,,1776726.0,ns,25614
single_random_i16,SmallRng,Canon32,,,1984557.0,ns,28460
single_random_i16,SmallRng,Canon32,,,2172200.0,ns,31306
single_random_i16,SmallRng,Canon32,,,2389780.0,ns,34152
single_random_i16,SmallRng,Canon32,,,2573176.0,ns,36998
single_random_i16,SmallRng,Canon32,,,2769515.0,ns,39844
single_random_i16,SmallRng,Canon32,,,2966677.0,ns,42690
single_random_i16,SmallRng,Canon32,,,3171722.0,ns,45536
single_random_i16,SmallRng,Canon32,,,3358535.0,ns,48382
single_random_i16,SmallRng,Canon32,,,3567469.0,ns,51228
single_random_i16,SmallRng,Canon32,,,3753850.0,ns,54074
single_random_i16,SmallRng,Canon32,,,3959807.0,ns,56920
single_random_i16,SmallRng,Canon32,,,4154113.0,ns,59766
single_random_i16,SmallRng,Canon32,,,4351274.0,ns,62612
single_random_i16,SmallRng,Canon32,,,4545150.0,ns,65458
single_random_i16,SmallRng,Canon32,,,4746528.0,ns,68304
single_random_i16,SmallRng,Canon32,,,4966282.0,ns,71150
single_random_i16,SmallRng,Canon32,,,5143937.0,ns,73996
single_random_i16,SmallRng,Canon32,,,5345917.0,ns,76842
single_random_i16,SmallRng,Canon32,,,5542708.0,ns,79688
single_random_i16,SmallRng,Canon32,,,5738817.0,ns,82534
single_random_i16,SmallRng,Canon32,,,5927232.0,ns,85380
single_random_i16,SmallRng,Canon32,,,6123902.0,ns,88226
single_random_i16,SmallRng,Canon32,,,6315523.0,ns,91072
single_random_i16,SmallRng,Canon32,,,6514047.0,ns,93918
single_random_i16,SmallRng,Canon32,,,6710838.0,ns,96764
single_random_i16,SmallRng,Canon32,,,6917227.0,ns,99610
single_random_i16,SmallRng,Canon32,,,7103568.0,ns,102456
single_random_i16,SmallRng,Canon32,,,7295619.0,ns,105302
single_random_i16,SmallRng,Canon32,,,7492260.0,ns,108148
single_random_i16,SmallRng,Canon32,,,7691115.0,ns,110994
single_random_i16,SmallRng,Canon32,,,7903644.0,ns,113840
single_random_i16,SmallRng,Canon32,,,8092871.0,ns,116686
single_random_i16,SmallRng,Canon32,,,8285063.0,ns,119532
single_random_i16,SmallRng,Canon32,,,8487714.0,ns,122378
single_random_i16,SmallRng,Canon32,,,8662694.0,ns,125224
single_random_i16,SmallRng,Canon32,,,8875966.0,ns,128070
single_random_i16,SmallRng,Canon32,,,9076423.0,ns,130916
single_random_i16,SmallRng,Canon32,,,9277131.0,ns,133762
single_random_i16,SmallRng,Canon32,,,9458322.0,ns,136608
single_random_i16,SmallRng,Canon32,,,9658609.0,ns,139454
