group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
single_random_i32,ChaCha8Rng,ONeill,,,184487.0,ns,705
single_random_i32,ChaCha8Rng,ONeill,,,140415.0,ns,1410
single_random_i32,ChaCha8Rng,ONeill,,,208202.0,ns,2115
single_random_i32,ChaCha8Rng,ONeill,,,227819.0,ns,2820
single_random_i32,ChaCha8Rng,ONeill,,,308941.0,ns,3525
single_random_i32,ChaCha8Rng,ONeill,,,975918.0,ns,4230
single_random_i32,ChaCha8Rng,ONeill,,,883394.0,ns,4935
single_random_i32,ChaCha8Rng,ONeill,,,2420077.0,ns,5640
single_random_i32,ChaCha8Rng,ONeill,,,1075425.0,ns,6345
single_random_i32,ChaCha8Rng,ONeill,,,2169075.0,ns,7050
single_random_i32,ChaCha8Rng,ONeill,,,1111563.0,ns,7755
single_random_i32,ChaCha8Rng,ONeill,,,1749405.0,ns,8460
single_random_i32,ChaCha8Rng,ONeill,,,1529360.0,ns,9165
single_random_i32,ChaCha8Rng,ONeill,,,857204.0,ns,9870
single_random_i32,ChaCha8Rng,ONeill,,,1882475.0,ns,10575
single_random_i32,ChaCha8Rng,ONeill,,,1788268.0,ns,11280
single_random_i32,ChaCha8Rng,ONeill,,,943247.0,ns,11985
single_random_i32,ChaCha8Rng,ONeill,,,2927253.0,ns,12690
single_random_i32,ChaCha8Rng,ONeill,,,1641962.0,ns,13395
single_random_i32,ChaCha8Rng,ONeill,,,2666041.0,ns,14100
single_random_i32,ChaCha8Rng,ONeill,,,2525015.0,ns,14805
single_random_i32,ChaCha8Rng,ONeill,,,4899086.0,ns,15510
single_random_i32,ChaCha8Rng,ONeill,,,2416551.0,ns,16215
single_random_i32,ChaCha8Rng,ONeill,,,1738744.0,ns,16920
single_random_i32,ChaCha8Rng,ONeill,,,4511516.0,ns,17625
single_random_i32,ChaCha8Rng,ONeill,,,1742471.0,ns,18330
single_random_i32,ChaCha8Rng,ONeill,,,2926260.0,ns,19035
single_random_i32,ChaCha8Rng,ONeill,,,5002070.0,ns,19740
single_random_i32,ChaCha8Rng,ONeill,,,3443435.0,ns,20445
single_random_i32,ChaCha8Rng,ONeill,,,3573800.0,ns,21150
single_random_i32,ChaCha8Rng,ONeill,,,2092400.0,ns,21855
