group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
single_random_i32,Pcg32,Canon32,,,171954.0,ns,2070
single_random_i32,Pcg32,Canon32,,,281180.0,ns,4140
single_random_i32,Pcg32,Canon32,,,638783.0,ns,6210
single_random_i32,Pcg32,Canon32,,,1394556.0,ns,8280
single_random_i32,Pcg32,Canon32,,,874657.0,ns,10350
single_random_i32,Pcg32,Canon32,,,2187099.0,ns,12420
single_random_i32,Pcg32,Canon32,,,3436612.0,ns,14490
single_random_i32,Pcg32,Canon32,,,2002110.0,ns,16560
single_random_i32,Pcg32,Canon32,,,1151108.0,ns,18630
single_random_i32,Pcg32,Canon32,,,3695449.0,ns,20700
single_random_i32,Pcg32,Canon32,,,3785249.0,ns,22770
single_random_i32,Pcg32,Canon32,,,5156370.0,ns,24840
single_random_i32,Pcg32,Canon32,,,4618517.0,ns,26910
single_random_i32,Pcg32,Canon32,,,2436348.0,ns,28980
single_random_i32,Pcg32,Canon32,,,7205089.0,ns,31050
single_random_i32,Pcg32,Canon32,,,2658356.0,ns,33120
single_random_i32,Pcg32,Canon32,,,3124965.0,ns,35190
single_random_i32,Pcg32,Canon32,,,3787202.0,ns,37260
single_random_i32,Pcg32,Canon32,,,8509976.0,ns,39330
single_random_i32,Pcg32,Canon32,,,2910611.0,ns,41400
single_random_i32,Pcg32,Canon32,,,3556157.0,ns,43470
single_random_i32,Pcg32,Canon32,,,6283643.0,ns,45540
single_random_i32,Pcg32,Canon32,,,11199661.0,ns,47610
single_random_i32,Pcg32,Canon32,,,4570858.0,ns,49680
single_random_i32,Pcg32,Canon32,,,5328796.0,ns,51750
single_random_i32,Pcg32,Canon32,,,6038352.0,ns,53820
single_random_i32,Pcg32,Canon32,,,11796856.0,ns,55890
single_random_i32,Pcg32,Canon32,,,13705611.0,ns,57960
single_random_i32,Pcg32,Canon32,,,7703498.0,ns,60030
single_random_i32,Pcg32,Canon32,,,6766803.0,ns,62100
single_random_i32,Pcg32,Canon32,,,8496431.0,ns,64170
single_random_i32,Pcg32,Canon32,,,4154955.0,ns,66240
single_random_i32,Pcg32,Canon32,,,5670700.0,ns,68310
single_random_i32,Pcg32,Canon32,,,14829658.0,ns,70380
single_random_i32,Pcg32,Canon32,,,5774064.0,ns,72450
single_random_i32,Pcg32,Canon32,,,13489674.0,ns,74520
single_random_i32,Pcg32,Canon32,,,10712394.0,ns,76590
single_random_i32,Pcg32,Canon32,,,8166039.0,ns,78660
single_random_i32,Pcg32,Canon32,,,11118679.0,ns,80730
single_random_i32,Pcg32,Canon32,,,6349157.0,ns,82800
single_random_i32,Pcg32,Canon32,,,14691107.0,ns,84870
single_random_i32,Pcg32,Canon32,,,20334565.0,ns,86940
single_random_i32,Pcg32,Canon32,,,17476763.0,ns,89010
single_random_i32,Pcg32,Canon32,,,12423006.0,ns,91080
single_random_i32,Pcg32,Canon32,,,10451102.0,ns,93150
single_random_i32,Pcg32,Canon32,,,10672920.0,ns,95220
single_random_i32,Pcg32,Canon32,,,20683592.0,ns,97290
single_random_i32,Pcg32,Canon32,,,5506811.0,ns,99360
single_random_i32,Pcg32,Canon32,,,20712386.0,ns,101430
single_random_i32,Pcg32,Canon32,,,5652805.0,ns,103500
single_random_i32,Pcg32,Canon32,,,10447505.0,ns,105570
single_random_i32,Pcg32,Canon32,,,10600283.0,ns,107640
single_random_i32,Pcg32,Canon32,,,14749997.0,ns,109710
single_random_i32,Pcg32,Canon32,,,8935968.0,ns,111780
single_random_i32,Pcg32,Canon32,,,26944101.0,ns,113850
single_random_i32,Pcg32,Canon32,,,12527792.0,ns,115920
single_random_i32,Pcg32,Canon32,,,12331964.0,ns,117990
single_random_i32,Pcg32,Canon32,,,8623180.0,ns,120060
single_random_i32,Pcg32,Canon32,,,10504412.0,ns,122130
single_random_i32,Pcg32,Canon32,,,11139478.0,ns,124200
single_random_i32,Pcg32,Canon32,,,7429461.0,ns,126270
single_random_i32,Pcg32,Canon32,,,10467943.0,ns,128340
single_random_i32,Pcg32,Canon32,,,21463381.0,ns,130410
single_random_i32,Pcg32,Canon32,,,17239075.0,ns,132480
single_random_i32,Pcg32,Canon32,,,12214182.0,ns,134550
single_random_i32,Pcg32,Canon32,,,17330868.0,ns,136620
single_random_i32,Pcg32,Canon32,,,27971256.0,ns,138690
single_random_i32,Pcg32,Canon32,,,16863448.0,ns,140760
single_random_i32,Pcg32,Canon32,,,14845868.0,ns,142830
single_random_i32,Pcg32,Canon32,,,16970198.0,ns,144900
single_random_i32,Pcg32,Canon32,,,20250657.0,ns,146970
single_random_i32,Pcg32,Canon32,,,22176093.0,ns,149040
single_random_i32,Pcg32,Canon32,,,9874165.0,ns,151110
single_random_i32,Pcg32,Canon32,,,22265210.0,ns,153180
single_random_i32,Pcg32,Canon32,,,18677223.0,ns,155250
single_random_i32,Pcg32,Canon32,,,10395707.0,ns,157320
single_random_i32,Pcg32,Canon32,,,20312733.0,ns,159390
single_random_i32,Pcg32,Canon32,,,13544528.0,ns,161460
single_random_i32,Pcg32,Canon32,,,38413622.0,ns,163530
single_random_i32,Pcg32,Canon32,,,15184266.0,ns,165600
single_random_i32,Pcg32,Canon32,,,34413598.0,ns,167670
single_random_i32,Pcg32,Canon32,,,16496095.0,ns,169740
single_random_i32,Pcg32,Canon32,,,10212893.0,ns,171810
single_random_i32,Pcg32,Canon32,,,30299721.0,ns,173880
single_random_i32,Pcg32,Canon32,,,14321871.0,ns,175950
single_random_i32,Pcg32,Canon32,,,24737927.0,ns,178020
single_random_i32,Pcg32,Canon32,,,31335753.0,ns,180090
single_random_i32,Pcg32,Canon32,,,19415624.0,ns,182160
single_random_i32,Pcg32,Canon32,,,19249651.0,ns,184230
single_random_i32,Pcg32,Canon32,,,41086395.0,ns,186300
single_random_i32,Pcg32,Canon32,,,25576215.0,ns,188370
single_random_i32,Pcg32,Canon32,,,13131179.0,ns,190440
single_random_i32,Pcg32,Canon32,,,14874783.0,ns,192510
single_random_i32,Pcg32,Canon32,,,12039033.0,ns,194580
single_random_i32,Pcg32,Canon32,,,22910225.0,ns,196650
single_random_i32,Pcg32,Canon32,,,16913001.0,ns,198720
single_random_i32,Pcg32,Canon32,,,14622848.0,ns,200790
single_random_i32,Pcg32,Canon32,,,42411981.0,ns,202860
single_random_i32,Pcg32,Canon32,,,23306902.0,ns,204930
single_random_i32,Pcg32,Canon32,,,20497281.0,ns,207000
