group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
single_random_i32,Pcg64,Canon-Un,,,197863.0,ns,2411
single_random_i32,Pcg64,Canon-Un,,,395896.0,ns,4822
single_random_i32,Pcg64,Canon-Un,,,589240.0,ns,7233
single_random_i32,Pcg64,Canon-Un,,,792843.0,ns,9644
single_random_i32,Pcg64,Canon-Un,,,989093.0,ns,12055
single_random_i32,Pcg64,Canon-Un,,,1187016.0,ns,14466
single_random_i32,Pcg64,Canon-Un,,,1387613.0,ns,16877
single_random_i32,Pcg64,Canon-Un,,,1579474.0,ns,19288
single_random_i32,Pcg64,Canon-Un,,,1783679.0,ns,21699
single_random_i32,Pcg64,Canon-Un,,,1979889.0,ns,24110
single_random_i32,Pcg64,Canon-Un,,,2177801.0,ns,26521
single_random_i32,Pcg64,Canon-Un,,,2377919.0,ns,28932
single_random_i32,Pcg64,Canon-Un,,,2575781.0,ns,31343
single_random_i32,Pcg64,Canon-Un,,,2775216.0,ns,33754
single_random_i32,Pcg64,Canon-Un,,,2969542.0,ns,36165
single_random_i32,Pcg64,Canon-Un,,,3161384.0,ns,38576
single_random_i32,Pcg64,Canon-Un,,,3366830.0,ns,40987
single_random_i32,Pcg64,Canon-Un,,,3559775.0,ns,43398
single_random_i32,Pcg64,Canon-Un,,,3763027.0,ns,45809
single_random_i32,Pcg64,Canon-Un,,,3958846.0,ns,48220
single_random_i32,Pcg64,Canon-Un,,,4156157.0,ns,50631
single_random_i32,Pcg64,Canon-Un,,,4351354.0,ns,53042
single_random_i32,Pcg64,Canon-Un,,,4557082.0,ns,55453
single_random_i32,Pcg64,Canon-Un,,,4735128.0,ns,57864
single_random_i32,Pcg64,Canon-Un,,,4947317.0,ns,60275
single_random_i32,Pcg64,Canon-Un,,,5144868.0,ns,62686
single_random_i32,Pcg64,Canon-Un,,,5349294.0,ns,65097
single_random_i32,Pcg64,Canon-Un,,,5553239.0,ns,67508
single_random_i32,Pcg64,Canon-Un,,,5724380.0,ns,69919
single_random_i32,Pcg64,Canon-Un,,,5936820.0,ns,72330
single_random_i32,Pcg64,Canon-Un,,,6124614.0,ns,74741
single_random_i32,Pcg64,Canon-Un,,,6330833.0,ns,77152
single_random_i32,Pcg64,Canon-Un,,,6514989.0,ns,79563
single_random_i32,Pcg64,Canon-Un,,,6722159.0,ns,81974
single_random_i32,Pcg64,Canon-Un,,,6918990.0,ns,84385
single_random_i32,Pcg64,Canon-Un,,,7112915.0,ns,86796
single_random_i32,Pcg64,Canon-Un,,,7325416.0,ns,89207
single_random_i32,Pcg64,Canon-Un,,,7504493.0,ns,91618
single_random_i32,Pcg64,Canon-Un,,,7704890.0,ns,94029
single_random_i32,Pcg64,Canon-Un,,,7886372.0,ns,96440
single_random_i32,Pcg64,Canon-Un,,,8100385.0,ns,98851
single_random_i32,Pcg64,Canon-Un,,,8307205.0,ns,101262
single_random_i32,Pcg64,Canon-Un,,,8486412.0,ns,103673
single_random_i32,Pcg64,Canon-Un,,,8686528.0,ns,106084
single_random_i32,Pcg64,Canon-Un,,,8882978.0,ns,108495
single_random_i32,Pcg64,Canon-Un,,,9087734.0,ns,110906
single_random_i32,Pcg64,Canon-Un,,,9299824.0,ns,113317
single_random_i32,Pcg64,Canon-Un,,,9483159.0,ns,115728
single_random_i32,Pcg64,Canon-Un,,,9661625.0,ns,118139
single_random_i32,Pcg64,Canon-Un,,,9873474.0,ns,120550
single_random_i32,Pcg64,Canon-Un,,,10137982.0,ns,122961
single_random_i32,Pcg64,Canon-Un,,,10264470.0,ns,125372
single_random_i32,Pcg64,Canon-Un,,,10460359.0,ns,127783
single_random_i32,Pcg64,Canon-Un,,,10666657.0,ns,130194
single_random_i32,Pcg64,Canon-Un,,,10854792.0,ns,132605
single_random_i32,Pcg64,Canon-Un,,,11060399.0,ns,135016
single_random_i32,Pcg64,Canon-Un,,,11238114.0,ns,137427
single_random_i32,Pcg64,Canon-Un,,,11454341.0,ns,139838
single_random_i32,Pcg64,Canon-Un,,,11627768.0,ns,142249
single_random_i32,Pcg64,Canon-Un,,,11832773.0,ns,144660
single_random_i32,Pcg64,Canon-Un,,,12037208.0,ns,147071
single_random_i32,Pcg64,Canon-Un,,,12232677.0,ns,149482
single_random_i32,Pcg64,Canon-Un,,,12428826.0,ns,151893
single_random_i32,Pcg64,Canon-Un,,,12610829.0,ns,154304
single_random_i32,Pcg64,Canon-Un,,,12821836.0,ns,156715
single_random_i32,Pcg64,Canon-Un,,,13017225.0,ns,159126
single_random_i32,Pcg64,Canon-Un,,,13204547.0,ns,161537
single_random_i32,Pcg64,Canon-Un,,,13414652.0,ns,163948
single_random_i32,Pcg64,Canon-Un,,,13589753.0,ns,166359
single_random_i32,Pcg64,Canon-Un,,,13812703.0,ns,168770
single_random_i32,Pcg64,Canon-Un,,,13998422.0,ns,171181
single_random_i32,Pcg64,Canon-Un,,,14193339.0,ns,173592
single_random_i32,Pcg64,Canon-Un,,,14383598.0,ns,176003
single_random_i32,Pcg64,Canon-Un,,,14595948.0,ns,178414
single_random_i32,Pcg64,Canon-Un,,,14775376.0,ns,180825
single_random_i32,Pcg64,Canon-Un,,,14980542.0,ns,183236
single_random_i32,Pcg64,Canon-Un,,,15174527.0,ns,185647
single_random_i32,Pcg64,Canon-Un,,,15363432.0,ns,188058
single_random_i32,Pcg64,Canon-Un,,,15548281.0,ns,190469
single_random_i32,Pcg64,Canon-Un,,,15769869.0,ns,192880
single_random_i32,Pcg64,Canon-Un,,,15957612.0,ns,195291
single_random_i32,Pcg64,Canon-Un,,,16161576.0,ns,197702
single_random_i32,Pcg64,Canon-Un,,,16365379.0,ns,200113
single_random_i32,Pcg64,Canon-Un,,,16557451.0,ns,202524
single_random_i32,Pcg64,Canon-Un,,,16753450.0,ns,204935
single_random_i32,Pcg64,Canon-Un,,,16969647.0,ns,207346
single_random_i32,Pcg64,Canon-Un,,,17144467.0,ns,209757
single_random_i32,Pcg64,Canon-Un,,,17354583.0,ns,212168
single_random_i32,Pcg64,Canon-Un,,,17539912.0,ns,214579
single_random_i32,Pcg64,Canon-Un,,,17745619.0,ns,216990
single_random_i32,Pcg64,Canon-Un,,,17950314.0,ns,219401
single_random_i32,Pcg64,Canon-Un,,,18124091.0,ns,221812
single_random_i32,Pcg64,Canon-Un,,,18325120.0,ns,224223
single_random_i32,Pcg64,Canon-Un,,,18525097.0,ns,226634
single_random_i32,Pcg64,Canon-Un,,,18719613.0,ns,229045
single_random_i32,Pcg64,Canon-Un,,,18884353.0,ns,231456
single_random_i32,Pcg64,Canon-Un,,,19105048.0,ns,233867
single_random_i32,Pcg64,Canon-Un,,,19310726.0,ns,236278
single_random_i32,Pcg64,Canon-Un,,,19508769.0,ns,238689
single_random_i32,Pcg64,Canon-Un,,,19706341.0,ns,241100
