group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
single_random_i64,ChaCha8Rng,Canon-Red-Un,,,185029.0,ns,568
single_random_i64,ChaCha8Rng,Canon-Red-Un,,,229022.0,ns,1136
single_random_i64,ChaCha8Rng,Canon-Red-Un,,,200688.0,ns,1704
single_random_i64,ChaCha8Rng,Canon-Red-Un,,,345060.0,ns,2272
single_random_i64,ChaCha8Rng,Canon-Red-Un,,,1377003.0,ns,2840
single_random_i64,ChaCha8Rng,Canon-Red-Un,,,1612086.0,ns,3408
single_random_i64,ChaCha8Rng,Canon-Red-Un,,,1951085.0,ns,3976
single_random_i64,ChaCha8Rng,Canon-Red-Un,,,2245850.0,ns,4544
single_random_i64,ChaCha8Rng,Canon-Red-Un,,,947384.0,ns,5112
single_random_i64,ChaCha8Rng,Canon-Red-Un,,,785479.0,ns,5680
single_random_i64,ChaCha8Rng,Canon-Red-Un,,,1611184.0,ns,6248
single_random_i64,ChaCha8Rng,Canon-Red-Un,,,1427729.0,ns,6816
single_random_i64,ChaCha8Rng,Canon-Red-Un,,,1982513.0,ns,7384
single_random_i64,ChaCha8Rng,Canon-Red-Un,,,1337349.0,ns,7952
single_random_i64,ChaCha8Rng,Canon-Red-Un,,,1709359.0,ns,8520
single_random_i64,ChaCha8Rng,Canon-Red-Un,,,1782807.0,ns,9088
single_random_i64,ChaCha8Rng,Canon-Red-Un,,,1346967.0,ns,9656
single_random_i64,ChaCha8Rng,Canon-Red-Un,,,2645903.0,ns,10224
single_random_i64,ChaCha8Rng,Canon-Red-Un,,,5302846.0,ns,10792
single_random_i64,ChaCha8Rng,Canon-Red-Un,,,4938149.0,ns,11360
single_random_i64,ChaCha8Rng,Canon-Red-Un,,,3503688.0,ns,11928
single_random_i64,ChaCha8Rng,Canon-Red-Un,,,2247282.0,ns,12496
single_random_i64,ChaCha8Rng,Canon-Red-Un,,,5331039.0,ns,13064
single_random_i64,ChaCha8Rng,Canon-Red-Un,,,3331684.0,ns,13632
single_random_i64,ChaCha8Rng,Canon-Red-Un,,,1784350.0,ns,14200
single_random_i64,ChaCha8Rng,Canon-Red-Un,,,5131453.0,ns,14768
single_random_i64,ChaCha8Rng,Canon-Red-Un,,,2950056.0,ns,15336
single_random_i64,ChaCha8Rng,Canon-Red-Un,,,3174178.0,ns,15904
single_random_i64,ChaCha8Rng,Canon-Red-Un,,,7865974.0,ns,16472
single_random_i64,ChaCha8Rng,Canon-Red-Un,,,4282365.0,ns,17040
single_random_i64,ChaCha8Rng,Canon-Red-Un,,,2264344.0,ns,17608
single_random_i64,ChaCha8Rng,Canon-Red-Un,,,5215241.0,ns,18176
single_random_i64,ChaCha8Rng,Canon-Red-Un,,,6858205.0,ns,18744
single_random_i64,ChaCha8Rng,Canon-Red-Un,,,3223791.0,ns,19312
single_random_i64,ChaCha8Rng,Canon-Red-Un,,,9805826.0,ns,19880
single_random_i64,ChaCha8Rng,Canon-Red-Un,,,3654041.0,ns,20448
single_random_i64,ChaCha8Rng,Canon-Red-Un,,,4810609.0,ns,21016
single_random_i64,ChaCha8Rng,Canon-Red-Un,,,3587256.0,ns,21584
single_random_i64,ChaCha8Rng,Canon-Red-Un,,,4691074.0,ns,22152
single_random_i64,ChaCha8Rng,Canon-Red-Un,,,4611995.0,ns,22720
single_random_i64,ChaCha8Rng,Canon-Red-Un,,,3073919.0,ns,23288
single_random_i64,ChaCha8Rng,Canon-Red-Un,,,8440315.0,ns,23856
single_random_i64,ChaCha8Rng,Canon-Red-Un,,,8383188.0,ns,24424
single_random_i64,ChaCha8Rng,Canon-Red-Un,,,8665269.0,ns,24992
single_random_i64,ChaCha8Rng,Canon-Red-Un,,,3569022.0,ns,25560
single_random_i64,ChaCha8Rng,Canon-Red-Un,,,11363119.0,ns,26128
single_random_i64,ChaCha8Rng,Canon-Red-Un,,,12501143.0,ns,26696
single_random_i64,ChaCha8Rng,Canon-Red-Un,,,4215338.0,ns,27264
single_random_i64,ChaCha8Rng,Canon-Red-Un,,,13844663.0,ns,27832
single_random_i64,ChaCha8Rng,Canon-Red-Un,,,7884809.0,ns,28400
single_random_i64,ChaCha8Rng,Canon-Red-Un,,,5082431.0,ns,28968
single_random_i64,ChaCha8Rng,Canon-Red-Un,,,3824933.0,ns,29536
single_random_i64,ChaCha8Rng,Canon-Red-Un,,,14217405.0,ns,30104
single_random_i64,ChaCha8Rng,Canon-Red-Un,,,3931805.0,ns,30672
single_random_i64,ChaCha8Rng,Canon-Red-Un,,,3885097.0,ns,31240
single_random_i64,ChaCha8Rng,Canon-Red-Un,,,15318888.0,ns,31808
single_random_i64,ChaCha8Rng,Canon-Red-Un,,,14073954.0,ns,32376
single_random_i64,ChaCha8Rng,Canon-Red-Un,,,3942825.0,ns,32944
single_random_i64,ChaCha8Rng,Canon-Red-Un,,,9952212.0,ns,33512
single_random_i64,ChaCha8Rng,Canon-Red-Un,,,6941953.0,ns,34080
single_random_i64,ChaCha8Rng,Canon-Red-Un,,,5115824.0,ns,34648
