group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
single_random_i64,ChaCha8Rng,Canon-Un,,,173317.0,ns,722
single_random_i64,ChaCha8Rng,Canon-Un,,,578370.0,ns,1444
single_random_i64,ChaCha8Rng,Canon-Un,,,271892.0,ns,2166
single_random_i64,ChaCha8Rng,Canon-Un,,,389032.0,ns,2888
single_random_i64,ChaCha8Rng,Canon-Un,,,789507.0,ns,3610
single_random_i64,ChaCha8Rng,Canon-Un,,,1724337.0,ns,4332
single_random_i64,ChaCha8Rng,Canon-Un,,,1023367.0,ns,5054
single_random_i64,ChaCha8Rng,Canon-Un,,,2182880.0,ns,5776
single_random_i64,ChaCha8Rng,Canon-Un,,,2031325.0,ns,6498
single_random_i64,ChaCha8Rng,Canon-Un,,,2456696.0,ns,7220
single_random_i64,ChaCha8Rng,Canon-Un,,,2862301.0,ns,7942
single_random_i64,ChaCha8Rng,Canon-Un,,,3269798.0,ns,8664
single_random_i64,ChaCha8Rng,Canon-Un,,,1608830.0,ns,9386
single_random_i64,ChaCha8Rng,Canon-Un,,,4014901.0,ns,10108
single_random_i64,ChaCha8Rng,Canon-Un,,,2955335.0,ns,10830
single_random_i64,ChaCha8Rng,Canon-Un,,,1750677.0,ns,11552
single_random_i64,ChaCha8Rng,Canon-Un,,,1645078.0,ns,12274
single_random_i64,ChaCha8Rng,Canon-Un,,,1657922.0,ns,12996
single_random_i64,ChaCha8Rng,Canon-Un,,,5459371.0,ns,13718
single_random_i64,ChaCha8Rng,Canon-Un,,,3859229.0,ns,14440
single_random_i64,ChaCha8Rng,Canon-Un,,,4237420.0,ns,15162
single_random_i64,ChaCha8Rng,Canon-Un,,,3056125.0,ns,15884
single_random_i64,ChaCha8Rng,Canon-Un,,,6549033.0,ns,16606
single_random_i64,ChaCha8Rng,Canon-Un,,,3674690.0,ns,17328
single_random_i64,ChaCha8Rng,Canon-Un,,,7002748.0,ns,18050
single_random_i64,ChaCha8Rng,Canon-Un,,,6994802.0,ns,18772
single_random_i64,ChaCha8Rng,Canon-Un,,,2609624.0,ns,19494
single_random_i64,ChaCha8Rng,Canon-Un,,,8006869.0,ns,20216
single_random_i64,ChaCha8Rng,Canon-Un,,,2593253.0,ns,20938
single_random_i64,ChaCha8Rng,Canon-Un,,,5467947.0,ns,21660
single_random_i64,ChaCha8Rng,Canon-Un,,,2836532.0,ns,22382
single_random_i64,ChaCha8Rng,Canon-Un,,,8699904.0,ns,23104
single_random_i64,ChaCha8Rng,Canon-Un,,,7064504.0,ns,23826
single_random_i64,ChaCha8Rng,Canon-Un,,,9405873.0,ns,24548
single_random_i64,ChaCha8Rng,Canon-Un,,,9411364.0,ns,25270
single_random_i64,ChaCha8Rng,Canon-Un,,,9177754.0,ns,25992
single_random_i64,ChaCha8Rng,Canon-Un,,,3988811.0,ns,26714
single_random_i64,ChaCha8Rng,Canon-Un,,,10540671.0,ns,27436
single_random_i64,ChaCha8Rng,Canon-Un,,,3893412.0,ns,28158
single_random_i64,ChaCha8Rng,Canon-Un,,,11546064.0,ns,28880
single_random_i64,ChaCha8Rng,Canon-Un,,,4364981.0,ns,29602
single_random_i64,ChaCha8Rng,Canon-Un,,,8062994.0,ns,30324
single_random_i64,ChaCha8Rng,Canon-Un,,,5508915.0,ns,31046
single_random_i64,ChaCha8Rng,Canon-Un,,,9696110.0,ns,31768
single_random_i64,ChaCha8Rng,Canon-Un,,,11878019.0,ns,32490
single_random_i64,ChaCha8Rng,Canon-Un,,,4145727.0,ns,33212
single_random_i64,ChaCha8Rng,Canon-Un,,,8753996.0,ns,33934
single_random_i64,ChaCha8Rng,Canon-Un,,,11171348.0,ns,34656
single_random_i64,ChaCha8Rng,Canon-Un,,,5104674.0,ns,35378
single_random_i64,ChaCha8Rng,Canon-Un,,,4527947.0,ns,36100
single_random_i64,ChaCha8Rng,Canon-Un,,,8682281.0,ns,36822
single_random_i64,ChaCha8Rng,Canon-Un,,,5454953.0,ns,37544
single_random_i64,ChaCha8Rng,Canon-Un,,,13656468.0,ns,38266
single_random_i64,ChaCha8Rng,Canon-Un,,,14698690.0,ns,38988
single_random_i64,ChaCha8Rng,Canon-Un,,,5917404.0,ns,39710
single_random_i64,ChaCha8Rng,Canon-Un,,,16208354.0,ns,40432
single_random_i64,ChaCha8Rng,Canon-Un,,,11023850.0,ns,41154
single_random_i64,ChaCha8Rng,Canon-Un,,,12789375.0,ns,41876
single_random_i64,ChaCha8Rng,Canon-Un,,,12894884.0,ns,42598
single_random_i64,ChaCha8Rng,Canon-Un,,,7434912.0,ns,43320
single_random_i64,ChaCha8Rng,Canon-Un,,,5762542.0,ns,44042
single_random_i64,ChaCha8Rng,Canon-Un,,,6468853.0,ns,44764
single_random_i64,ChaCha8Rng,Canon-Un,,,14307444.0,ns,45486
single_random_i64,ChaCha8Rng,Canon-Un,,,6918189.0,ns,46208
single_random_i64,ChaCha8Rng,Canon-Un,,,11143626.0,ns,46930
single_random_i64,ChaCha8Rng,Canon-Un,,,16110509.0,ns,47652
single_random_i64,ChaCha8Rng,Canon-Un,,,13597667.0,ns,48374
single_random_i64,ChaCha8Rng,Canon-Un,,,7671247.0,ns,49096
single_random_i64,ChaCha8Rng,Canon-Un,,,6637380.0,ns,49818
single_random_i64,ChaCha8Rng,Canon-Un,,,19708685.0,ns,50540
single_random_i64,ChaCha8Rng,Canon-Un,,,19536011.0,ns,51262
single_random_i64,ChaCha8Rng,Canon-Un,,,7057340.0,ns,51984
single_random_i64,ChaCha8Rng,Canon-Un,,,10518479.0,ns,52706
single_random_i64,ChaCha8Rng,Canon-Un,,,16742059.0,ns,53428
single_random_i64,ChaCha8Rng,Canon-Un,,,8807126.0,ns,54150
single_random_i64,ChaCha8Rng,Canon-Un,,,15204914.0,ns,54872
single_random_i64,ChaCha8Rng,Canon-Un,,,7024408.0,ns,55594
