group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
single_random_i64,Pcg32,Canon-Lemire,,,87636.0,ns,771
single_random_i64,Pcg32,Canon-Lemire,,,191681.0,ns,1542
single_random_i64,Pcg32,Canon-Lemire,,,502807.0,ns,2313
single_random_i64,Pcg32,Canon-Lemire,,,535228.0,ns,3084
single_random_i64,Pcg32,Canon-Lemire,,,502316.0,ns,3855
single_random_i64,Pcg32,Canon-Lemire,,,516363.0,ns,4626
single_random_i64,Pcg32,Canon-Lemire,,,1819599.0,ns,5397
single_random_i64,Pcg32,Canon-Lemire,,,837478.0,ns,6168
single_random_i64,Pcg32,Canon-Lemire,,,774489.0,ns,6939
single_random_i64,Pcg32,Canon-Lemire,,,2623653.0,ns,7710
single_random_i64,Pcg32,Canon-Lemire,,,926045.0,ns,8481
single_random_i64,Pcg32,Canon-Lemire,,,1275784.0,ns,9252
single_random_i64,Pcg32,Canon-Lemire,,,1095895.0,ns,10023
single_random_i64,Pcg32,Canon-Lemire,,,2408588.0,ns,10794
single_random_i64,Pcg32,Canon-Lemire,,,1264382.0,ns,11565
single_random_i64,Pcg32,Canon-Lemire,,,2112189.0,ns,12336
single_random_i64,Pcg32,Canon-Lemire,,,4479390.0,ns,13107
single_random_i64,Pcg32,Canon-Lemire,,,2224451.0,ns,13878
single_random_i64,Pcg32,Canon-Lemire,,,1721654.0,ns,14649
single_random_i64,Pcg32,Canon-Lemire,,,1913305.0,ns,15420
single_random_i64,Pcg32,Canon-Lemire,,,2007422.0,ns,16191
single_random_i64,Pcg32,Canon-Lemire,,,2501272.0,ns,16962
single_random_i64,Pcg32,Canon-Lemire,,,2159649.0,ns,17733
single_random_i64,Pcg32,Canon-Lemire,,,2174176.0,ns,18504
single_random_i64,Pcg32,Canon-Lemire,,,6656342.0,ns,19275
single_random_i64,Pcg32,Canon-Lemire,,,2742197.0,ns,20046
single_random_i64,Pcg32,Canon-Lemire,,,2280196.0,ns,20817
single_random_i64,Pcg32,Canon-Lemire,,,2785017.0,ns,21588
single_random_i64,Pcg32,Canon-Lemire,,,2445998.0,ns,22359
single_random_i64,Pcg32,Canon-Lemire,,,5560146.0,ns,23130
