group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
single_random_i64,Pcg64,Canon-Red-Un,,,277673.0,ns,1468
single_random_i64,Pcg64,Canon-Red-Un,,,1218394.0,ns,2936
single_random_i64,Pcg64,Canon-Red-Un,,,679469.0,ns,4404
single_random_i64,Pcg64,Canon-Red-Un,,,2840429.0,ns,5872
single_random_i64,Pcg64,Canon-Red-Un,,,3243528.0,ns,7340
single_random_i64,Pcg64,Canon-Red-Un,,,4283768.0,ns,8808
single_random_i64,Pcg64,Canon-Red-Un,,,2268882.0,ns,10276
single_random_i64,Pcg64,Canon-Red-Un,,,2217606.0,ns,11744
single_random_i64,Pcg64,Canon-Red-Un,,,5646714.0,ns,13212
single_random_i64,Pcg64,Canon-Red-Un,,,1775634.0,ns,14680
single_random_i64,Pcg64,Canon-Red-Un,,,1310728.0,ns,16148
single_random_i64,Pcg64,Canon-Red-Un,,,2370504.0,ns,17616
single_random_i64,Pcg64,Canon-Red-Un,,,8185846.0,ns,19084
single_random_i64,Pcg64,Canon-Red-Un,,,9229381.0,ns,20552
single_random_i64,Pcg64,Canon-Red-Un,,,6867273.0,ns,22020
single_random_i64,Pcg64,Canon-Red-Un,,,11339945.0,ns,23488
single_random_i64,Pcg64,Canon-Red-Un,,,5453480.0,ns,24956
single_random_i64,Pcg64,Canon-Red-Un,,,12735825.0,ns,26424
single_random_i64,Pcg64,Canon-Red-Un,,,13399344.0,ns,27892
single_random_i64,Pcg64,Canon-Red-Un,,,2829248.0,ns,29360
single_random_i64,Pcg64,Canon-Red-Un,,,14643387.0,ns,30828
single_random_i64,Pcg64,Canon-Red-Un,,,4682498.0,ns,32296
single_random_i64,Pcg64,Canon-Red-Un,,,3421623.0,ns,33764
single_random_i64,Pcg64,Canon-Red-Un,,,3462600.0,ns,35232
single_random_i64,Pcg64,Canon-Red-Un,,,17332210.0,ns,36700
single_random_i64,Pcg64,Canon-Red-Un,,,14499105.0,ns,38168
single_random_i64,Pcg64,Canon-Red-Un,,,3181331.0,ns,39636
single_random_i64,Pcg64,Canon-Red-Un,,,4199599.0,ns,41104
single_random_i64,Pcg64,Canon-Red-Un,,,5038698.0,ns,42572
single_random_i64,Pcg64,Canon-Red-Un,,,4460360.0,ns,44040
single_random_i64,Pcg64,Canon-Red-Un,,,4049056.0,ns,45508
single_random_i64,Pcg64,Canon-Red-Un,,,8905391.0,ns,46976
single_random_i64,Pcg64,Canon-Red-Un,,,20698319.0,ns,48444
single_random_i64,Pcg64,Canon-Red-Un,,,23940355.0,ns,49912
single_random_i64,Pcg64,Canon-Red-Un,,,4728946.0,ns,51380
single_random_i64,Pcg64,Canon-Red-Un,,,5695797.0,ns,52848
single_random_i64,Pcg64,Canon-Red-Un,,,6576946.0,ns,54316
single_random_i64,Pcg64,Canon-Red-Un,,,4597007.0,ns,55784
single_random_i64,Pcg64,Canon-Red-Un,,,6136577.0,ns,57252
single_random_i64,Pcg64,Canon-Red-Un,,,4824455.0,ns,58720
single_random_i64,Pcg64,Canon-Red-Un,,,21549403.0,ns,60188
single_random_i64,Pcg64,Canon-Red-Un,,,23151560.0,ns,61656
single_random_i64,Pcg64,Canon-Red-Un,,,23472244.0,ns,63124
single_random_i64,Pcg64,Canon-Red-Un,,,5681550.0,ns,64592
single_random_i64,Pcg64,Canon-Red-Un,,,31694608.0,ns,66060
single_random_i64,Pcg64,Canon-Red-Un,,,21357120.0,ns,67528
single_random_i64,Pcg64,Canon-Red-Un,,,32949090.0,ns,68996
single_random_i64,Pcg64,Canon-Red-Un,,,7105411.0,ns,70464
single_random_i64,Pcg64,Canon-Red-Un,,,10019309.0,ns,71932
single_random_i64,Pcg64,Canon-Red-Un,,,27596310.0,ns,73400
single_random_i64,Pcg64,Canon-Red-Un,,,30153976.0,ns,74868
single_random_i64,Pcg64,Canon-Red-Un,,,10656158.0,ns,76336
single_random_i64,Pcg64,Canon-Red-Un,,,36116545.0,ns,77804
single_random_i64,Pcg64,Canon-Red-Un,,,37733861.0,ns,79272
single_random_i64,Pcg64,Canon-Red-Un,,,20961525.0,ns,80740
single_random_i64,Pcg64,Canon-Red-Un,,,7246266.0,ns,82208
single_random_i64,Pcg64,Canon-Red-Un,,,9343626.0,ns,83676
single_random_i64,Pcg64,Canon-Red-Un,,,7267507.0,ns,85144
single_random_i64,Pcg64,Canon-Red-Un,,,28708996.0,ns,86612
single_random_i64,Pcg64,Canon-Red-Un,,,12371638.0,ns,88080
single_random_i64,Pcg64,Canon-Red-Un,,,39166199.0,ns,89548
single_random_i64,Pcg64,Canon-Red-Un,,,17512129.0,ns,91016
single_random_i64,Pcg64,Canon-Red-Un,,,23594994.0,ns,92484
single_random_i64,Pcg64,Canon-Red-Un,,,8083724.0,ns,93952
single_random_i64,Pcg64,Canon-Red-Un,,,15413467.0,ns,95420
single_random_i64,Pcg64,Canon-Red-Un,,,16847117.0,ns,96888
single_random_i64,Pcg64,Canon-Red-Un,,,16485876.0,ns,98356
single_random_i64,Pcg64,Canon-Red-Un,,,19439499.0,ns,99824
single_random_i64,Pcg64,Canon-Red-Un,,,28851704.0,ns,101292
single_random_i64,Pcg64,Canon-Red-Un,,,9948525.0,ns,102760
single_random_i64,Pcg64,Canon-Red-Un,,,44602326.0,ns,104228
single_random_i64,Pcg64,Canon-Red-Un,,,23597059.0,ns,105696
single_random_i64,Pcg64,Canon-Red-Un,,,50169590.0,ns,107164
single_random_i64,Pcg64,Canon-Red-Un,,,51881594.0,ns,108632
single_random_i64,Pcg64,Canon-Red-Un,,,26262758.0,ns,110100
single_random_i64,Pcg64,Canon-Red-Un,,,47358276.0,ns,111568
single_random_i64,Pcg64,Canon-Red-Un,,,12017611.0,ns,113036
single_random_i64,Pcg64,Canon-Red-Un,,,44213093.0,ns,114504
single_random_i64,Pcg64,Canon-Red-Un,,,11802497.0,ns,115972
single_random_i64,Pcg64,Canon-Red-Un,,,45974690.0,ns,117440
single_random_i64,Pcg64,Canon-Red-Un,,,19906107.0,ns,118908
single_random_i64,Pcg64,Canon-Red-Un,,,57325206.0,ns,120376
single_random_i64,Pcg64,Canon-Red-Un,,,19666165.0,ns,121844
single_random_i64,Pcg64,Canon-Red-Un,,,21433133.0,ns,123312
single_random_i64,Pcg64,Canon-Red-Un,,,56072376.0,ns,124780
single_random_i64,Pcg64,Canon-Red-Un,,,15974463.0,ns,126248
single_random_i64,Pcg64,Canon-Red-Un,,,29136170.0,ns,127716
single_random_i64,Pcg64,Canon-Red-Un,,,26464929.0,ns,129184
single_random_i64,Pcg64,Canon-Red-Un,,,49021989.0,ns,130652
single_random_i64,Pcg64,Canon-Red-Un,,,39410979.0,ns,132120
single_random_i64,Pcg64,Canon-Red-Un,,,63531133.0,ns,133588
single_random_i64,Pcg64,Canon-Red-Un,,,26402602.0,ns,135056
single_random_i64,Pcg64,Canon-Red-Un,,,21977849.0,ns,136524
single_random_i64,Pcg64,Canon-Red-Un,,,32744995.0,ns,137992
single_random_i64,Pcg64,Canon-Red-Un,,,29483073.0,ns,139460
single_random_i64,Pcg64,Canon-Red-Un,,,22932998.0,ns,140928
single_random_i64,Pcg64,Canon-Red-Un,,,15658779.0,ns,142396
single_random_i64,Pcg64,Canon-Red-Un,,,61961908.0,ns,143864
single_random_i64,Pcg64,Canon-Red-Un,,,21315542.0,ns,145332
single_random_i64,Pcg64,Canon-Red-Un,,,22911186.0,ns,146800
