group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
single_random_i64,Pcg64,Canon-Red,,,250351.0,ns,1401
single_random_i64,Pcg64,Canon-Red,,,347104.0,ns,2802
single_random_i64,Pcg64,Canon-Red,,,505292.0,ns,4203
single_random_i64,Pcg64,Canon-Red,,,585683.0,ns,5604
single_random_i64,Pcg64,Canon-Red,,,723943.0,ns,7005
single_random_i64,Pcg64,Canon-Red,,,2568447.0,ns,8406
single_random_i64,Pcg64,Canon-Red,,,2119782.0,ns,9807
single_random_i64,Pcg64,Canon-Red,,,1939853.0,ns,11208
single_random_i64,Pcg64,Canon-Red,,,1457725.0,ns,12609
single_random_i64,Pcg64,Canon-Red,,,1886212.0,ns,14010
single_random_i64,Pcg64,Canon-Red,,,1404575.0,ns,15411
single_random_i64,Pcg64,Canon-Red,,,1982403.0,ns,16812
single_random_i64,Pcg64,Canon-Red,,,1602237.0,ns,18213
single_random_i64,Pcg64,Canon-Red,,,2161260.0,ns,19614
single_random_i64,Pcg64,Canon-Red,,,3616260.0,ns,21015
single_random_i64,Pcg64,Canon-Red,,,4645268.0,ns,22416
single_random_i64,Pcg64,Canon-Red,,,3912648.0,ns,23817
single_random_i64,Pcg64,Canon-Red,,,2251991.0,ns,25218
single_random_i64,Pcg64,Canon-Red,,,4765555.0,ns,26619
single_random_i64,Pcg64,Canon-Red,,,8116095.0,ns,28020
single_random_i64,Pcg64,Canon-Red,,,4071829.0,ns,29421
single_random_i64,Pcg64,Canon-Red,,,4870803.0,ns,30822
single_random_i64,Pcg64,Canon-Red,,,3697033.0,ns,32223
single_random_i64,Pcg64,Canon-Red,,,7951485.0,ns,33624
single_random_i64,Pcg64,Canon-Red,,,3330723.0,ns,35025
single_random_i64,Pcg64,Canon-Red,,,4255224.0,ns,36426
single_random_i64,Pcg64,Canon-Red,,,5752724.0,ns,37827
single_random_i64,Pcg64,Canon-Red,,,9621109.0,ns,39228
single_random_i64,Pcg64,Canon-Red,,,12249709.0,ns,40629
single_random_i64,Pcg64,Canon-Red,,,6127570.0,ns,42030
single_random_i64,Pcg64,Canon-Red,,,9152527.0,ns,43431
single_random_i64,Pcg64,Canon-Red,,,4386842.0,ns,44832
single_random_i64,Pcg64,Canon-Red,,,13901299.0,ns,46233
single_random_i64,Pcg64,Canon-Red,,,4674994.0,ns,47634
single_random_i64,Pcg64,Canon-Red,,,5198850.0,ns,49035
single_random_i64,Pcg64,Canon-Red,,,6839721.0,ns,50436
single_random_i64,Pcg64,Canon-Red,,,4801082.0,ns,51837
single_random_i64,Pcg64,Canon-Red,,,14977776.0,ns,53238
single_random_i64,Pcg64,Canon-Red,,,16065906.0,ns,54639
single_random_i64,Pcg64,Canon-Red,,,4777277.0,ns,56040
single_random_i64,Pcg64,Canon-Red,,,16683740.0,ns,57441
single_random_i64,Pcg64,Canon-Red,,,5276407.0,ns,58842
single_random_i64,Pcg64,Canon-Red,,,7588381.0,ns,60243
single_random_i64,Pcg64,Canon-Red,,,13115138.0,ns,61644
single_random_i64,Pcg64,Canon-Red,,,5201666.0,ns,63045
single_random_i64,Pcg64,Canon-Red,,,12301517.0,ns,64446
single_random_i64,Pcg64,Canon-Red,,,15114254.0,ns,65847
single_random_i64,Pcg64,Canon-Red,,,11086268.0,ns,67248
single_random_i64,Pcg64,Canon-Red,,,16791101.0,ns,68649
single_random_i64,Pcg64,Canon-Red,,,20740008.0,ns,70050
single_random_i64,Pcg64,Canon-Red,,,10143182.0,ns,71451
single_random_i64,Pcg64,Canon-Red,,,6181752.0,ns,72852
single_random_i64,Pcg64,Canon-Red,,,16478672.0,ns,74253
single_random_i64,Pcg64,Canon-Red,,,9299092.0,ns,75654
single_random_i64,Pcg64,Canon-Red,,,9241754.0,ns,77055
single_random_i64,Pcg64,Canon-Red,,,22700981.0,ns,78456
single_random_i64,Pcg64,Canon-Red,,,24340068.0,ns,79857
single_random_i64,Pcg64,Canon-Red,,,13937638.0,ns,81258
single_random_i64,Pcg64,Canon-Red,,,8543849.0,ns,82659
single_random_i64,Pcg64,Canon-Red,,,20638026.0,ns,84060
single_random_i64,Pcg64,Canon-Red,,,23090886.0,ns,85461
single_random_i64,Pcg64,Canon-Red,,,16015080.0,ns,86862
single_random_i64,Pcg64,Canon-Red,,,13368596.0,ns,88263
single_random_i64,Pcg64,Canon-Red,,,8766499.0,ns,89664
single_random_i64,Pcg64,Canon-Red,,,8722146.0,ns,91065
single_random_i64,Pcg64,Canon-Red,,,27460665.0,ns,92466
single_random_i64,Pcg64,Canon-Red,,,17029390.0,ns,93867
single_random_i64,Pcg64,Canon-Red,,,21710856.0,ns,95268
single_random_i64,Pcg64,Canon-Red,,,28110207.0,ns,96669
single_random_i64,Pcg64,Canon-Red,,,28227429.0,ns,98070
single_random_i64,Pcg64,Canon-Red,,,15809142.0,ns,99471
single_random_i64,Pcg64,Canon-Red,,,30636285.0,ns,100872
single_random_i64,Pcg64,Canon-Red,,,10282384.0,ns,102273
single_random_i64,Pcg64,Canon-Red,,,11142203.0,ns,103674
single_random_i64,Pcg64,Canon-Red,,,20685306.0,ns,105075
single_random_i64,Pcg64,Canon-Red,,,31655605.0,ns,106476
single_random_i64,Pcg64,Canon-Red,,,16077237.0,ns,107877
single_random_i64,Pcg64,Canon-Red,,,32949071.0,ns,109278
single_random_i64,Pcg64,Canon-Red,,,16208024.0,ns,110679
single_random_i64,Pcg64,Canon-Red,,,16325114.0,ns,112080
single_random_i64,Pcg64,Canon-Red,,,17302194.0,ns,113481
single_random_i64,Pcg64,Canon-Red,,,25125276.0,ns,114882
single_random_i64,Pcg64,Canon-Red,,,22908772.0,ns,116283
single_random_i64,Pcg64,Canon-Red,,,19313171.0,ns,117684
single_random_i64,Pcg64,Canon-Red,,,32040639.0,ns,119085
single_random_i64,Pcg64,Canon-Red,,,10952135.0,ns,120486
single_random_i64,Pcg64,Canon-Red,,,37118101.0,ns,121887
single_random_i64,Pcg64,Canon-Red,,,27883260.0,ns,123288
single_random_i64,Pcg64,Canon-Red,,,25862154.0,ns,124689
single_random_i64,Pcg64,Canon-Red,,,18204943.0,ns,126090
single_random_i64,Pcg64,Canon-Red,,,33902937.0,ns,127491
single_random_i64,Pcg64,Canon-Red,,,12129994.0,ns,128892
single_random_i64,Pcg64,Canon-Red,,,16359870.0,ns,130293
single_random_i64,Pcg64,Canon-Red,,,35293566.0,ns,131694
single_random_i64,Pcg64,Canon-Red,,,36780666.0,ns,133095
single_random_i64,Pcg64,Canon-Red,,,25150403.0,ns,134496
single_random_i64,Pcg64,Canon-Red,,,11082932.0,ns,135897
single_random_i64,Pcg64,Canon-Red,,,27441779.0,ns,137298
single_random_i64,Pcg64,Canon-Red,,,24711847.0,ns,138699
single_random_i64,Pcg64,Canon-Red,,,19136869.0,ns,140100
