group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
single_random_i64,SmallRng,Canon,,,97454.0,ns,1157
single_random_i64,SmallRng,Canon,,,347725.0,ns,2314
single_random_i64,SmallRng,Canon,,,374265.0,ns,3471
single_random_i64,SmallRng,Canon,,,321004.0,ns,4628
single_random_i64,SmallRng,Canon,,,1242039.0,ns,5785
single_random_i64,SmallRng,Canon,,,664572.0,ns,6942
single_random_i64,SmallRng,Canon,,,969015.0,ns,8099
single_random_i64,SmallRng,Canon,,,917357.0,ns,9256
single_random_i64,SmallRng,Canon,,,2086760.0,ns,10413
single_random_i64,SmallRng,Canon,,,1484054.0,ns,11570
single_random_i64,SmallRng,Canon,,,2440576.0,ns,12727
single_random_i64,SmallRng,Canon,,,1100191.0,ns,13884
single_random_i64,SmallRng,Canon,,,1996360.0,ns,15041
single_random_i64,SmallRng,Canon,,,1313514.0,ns,16198
single_random_i64,SmallRng,Canon,,,4079243.0,ns,17355
single_random_i64,SmallRng,Canon,,,1589063.0,ns,18512
single_random_i64,SmallRng,Canon,,,1468025.0,ns,19669
single_random_i64,SmallRng,Canon,,,1478234.0,ns,20826
single_random_i64,SmallRng,Canon,,,1613619.0,ns,21983
single_random_i64,SmallRng,Canon,,,2066913.0,ns,23140
single_random_i64,SmallRng,Canon,,,1675335.0,ns,24297
single_random_i64,SmallRng,Canon,,,3764339.0,ns,25454
single_random_i64,SmallRng,Canon,,,3055745.0,ns,26611
single_random_i64,SmallRng,Canon,,,2462948.0,ns,27768
single_random_i64,SmallRng,Canon,,,2799833.0,ns,28925
single_random_i64,SmallRng,Canon,,,5109353.0,ns,30082
single_random_i64,SmallRng,Canon,,,4201753.0,ns,31239
single_random_i64,SmallRng,Canon,,,3629745.0,ns,32396
single_random_i64,SmallRng,Canon,,,3908019.0,ns,33553
single_random_i64,SmallRng,Canon,,,2629852.0,ns,34710
single_random_i64,SmallRng,Canon,,,2666371.0,ns,35867
single_random_i64,SmallRng,Canon,,,7876553.0,ns,37024
single_random_i64,SmallRng,Canon,,,7039306.0,ns,38181
single_random_i64,SmallRng,Canon,,,9737017.0,ns,39338
single_random_i64,SmallRng,Canon,,,9422675.0,ns,40495
single_random_i64,SmallRng,Canon,,,4798446.0,ns,41652
single_random_i64,SmallRng,Canon,,,2796697.0,ns,42809
single_random_i64,SmallRng,Canon,,,6221717.0,ns,43966
single_random_i64,SmallRng,Canon,,,4612075.0,ns,45123
single_random_i64,SmallRng,Canon,,,4930966.0,ns,46280
single_random_i64,SmallRng,Canon,,,5799562.0,ns,47437
single_random_i64,SmallRng,Canon,,,8739699.0,ns,48594
single_random_i64,SmallRng,Canon,,,5668024.0,ns,49751
single_random_i64,SmallRng,Canon,,,6409370.0,ns,50908
single_random_i64,SmallRng,Canon,,,3718403.0,ns,52065
single_random_i64,SmallRng,Canon,,,4103377.0,ns,53222
single_random_i64,SmallRng,Canon,,,11907414.0,ns,54379
single_random_i64,SmallRng,Canon,,,13083049.0,ns,55536
single_random_i64,SmallRng,Canon,,,9208692.0,ns,56693
single_random_i64,SmallRng,Canon,,,8999307.0,ns,57850
single_random_i64,SmallRng,Canon,,,6027000.0,ns,59007
single_random_i64,SmallRng,Canon,,,15204533.0,ns,60164
single_random_i64,SmallRng,Canon,,,4034137.0,ns,61321
single_random_i64,SmallRng,Canon,,,5660039.0,ns,62478
single_random_i64,SmallRng,Canon,,,7092036.0,ns,63635
single_random_i64,SmallRng,Canon,,,8956707.0,ns,64792
single_random_i64,SmallRng,Canon,,,15671263.0,ns,65949
single_random_i64,SmallRng,Canon,,,4451603.0,ns,67106
