group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
single_random_i8,ChaCha8Rng,Canon32-Un,,,196830.0,ns,1844
single_random_i8,ChaCha8Rng,Canon32-Un,,,393621.0,ns,3688
single_random_i8,ChaCha8Rng,Canon32-Un,,,592105.0,ns,5532
single_random_i8,ChaCha8Rng,Canon32-Un,,,788525.0,ns,7376
single_random_i8,ChaCha8Rng,Canon32-Un,,,985837.0,ns,9220
single_random_i8,ChaCha8Rng,Canon32-Un,,,1181285.0,ns,11064
single_random_i8,ChaCha8Rng,Canon32-Un,,,1379498.0,ns,12908
single_random_i8,ChaCha8Rng,Canon32-Un,,,1577551.0,ns,14752
single_random_i8,ChaCha8Rng,Canon32-Un,,,1773089.0,ns,16596
single_random_i8,ChaCha8Rng,Canon32-Un,,,1967685.0,ns,18440
single_random_i8,ChaCha8Rng,Canon32-Un,,,2165598.0,ns,20284
single_random_i8,ChaCha8Rng,Canon32-Un,,,2363581.0,ns,22128
single_random_i8,ChaCha8Rng,Canon32-Un,,,2565441.0,ns,23972
single_random_i8,ChaCha8Rng,Canon32-Un,,,2757893.0,ns,25816
single_random_i8,ChaCha8Rng,Canon32-Un,,,2956007.0,ns,27660
single_random_i8,ChaCha8Rng,Canon32-Un,,,3151265.0,ns,29504
single_random_i8,ChaCha8Rng,Canon32-Un,,,3351582.0,ns,31348
single_random_i8,ChaCha8Rng,Canon32-Un,,,3546218.0,ns,33192
single_random_i8,ChaCha8Rng,Canon32-Un,,,3775711.0,ns,35036
single_random_i8,ChaCha8Rng,Canon32-Un,,,3941172.0,ns,36880
single_random_i8,ChaCha8Rng,Canon32-Un,,,4132613.0,ns,38724
single_random_i8,ChaCha8Rng,Canon32-Un,,,4333441.0,ns,40568
single_random_i8,ChaCha8Rng,Canon32-Un,,,4537325.0,ns,42412
single_random_i8,ChaCha8Rng,Canon32-Un,,,4727523.0,ns,44256
single_random_i8,ChaCha8Rng,Canon32-Un,,,4923041.0,ns,46100
single_random_i8,ChaCha8Rng,Canon32-Un,,,5120743.0,ns,47944
single_random_i8,ChaCha8Rng,Canon32-Un,,,5317183.0,ns,49788
single_random_i8,ChaCha8Rng,Canon32-Un,,,5513854.0,ns,51632
single_random_i8,ChaCha8Rng,Canon32-Un,,,5709593.0,ns,53476
single_random_i8,ChaCha8Rng,Canon32-Un,,,5908117.0,ns,55320
single_random_i8,ChaCha8Rng,Canon32-Un,,,6099717.0,ns,57164
single_random_i8,ChaCha8Rng,Canon32-Un,,,6301818.0,ns,59008
single_random_i8,ChaCha8Rng,Canon32-Un,,,6498479.0,ns,60852
single_random_i8,ChaCha8Rng,Canon32-Un,,,6701100.0,ns,62696
single_random_i8,ChaCha8Rng,Canon32-Un,,,6891378.0,ns,64540
single_random_i8,ChaCha8Rng,Canon32-Un,,,7180513.0,ns,66384
single_random_i8,ChaCha8Rng,Canon32-Un,,,7302242.0,ns,68228
single_random_i8,ChaCha8Rng,Canon32-Un,,,7489294.0,ns,70072
single_random_i8,ChaCha8Rng,Canon32-Un,,,7676708.0,ns,71916
single_random_i8,ChaCha8Rng,Canon32-Un,,,7874129.0,ns,73760
single_random_i8,ChaCha8Rng,Canon32-Un,,,8048026.0,ns,75604
single_random_i8,ChaCha8Rng,Canon32-Un,,,8249266.0,ns,77448
single_random_i8,ChaCha8Rng,Canon32-Un,,,8442068.0,ns,79292
single_random_i8,ChaCha8Rng,Canon32-Un,,,8631395.0,ns,81136
single_random_i8,ChaCha8Rng,Canon32-Un,,,8829207.0,ns,82980
single_random_i8,ChaCha8Rng,Canon32-Un,,,9027460.0,ns,84824
single_random_i8,ChaCha8Rng,Canon32-Un,,,9218971.0,ns,86668
single_random_i8,ChaCha8Rng,Canon32-Un,,,9408257.0,ns,88512
single_random_i8,ChaCha8Rng,Canon32-Un,,,9603235.0,ns,90356
single_random_i8,ChaCha8Rng,Canon32-Un,,,9813921.0,ns,92200
single_random_i8,ChaCha8Rng,Canon32-Un,,,10003900.0,ns,94044
single_random_i8,ChaCha8Rng,Canon32-Un,,,10194338.0,ns,95888
single_random_i8,ChaCha8Rng,Canon32-Un,,,10391099.0,ns,97732
single_random_i8,ChaCha8Rng,Canon32-Un,,,10581076.0,ns,99576
