group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
single_random_i8,Pcg32,Old,,,196130.0,ns,2350
single_random_i8,Pcg32,Old,,,393772.0,ns,4700
single_random_i8,Pcg32,Old,,,588629.0,ns,7050
single_random_i8,Pcg32,Old,,,785900.0,ns,9400
single_random_i8,Pcg32,Old,,,982882.0,ns,11750
single_random_i8,Pcg32,Old,,,1178340.0,ns,14100
single_random_i8,Pcg32,Old,,,1374500.0,ns,16450
single_random_i8,Pcg32,Old,,,1571692.0,ns,18800
single_random_i8,Pcg32,Old,,,1773341.0,ns,21150
single_random_i8,Pcg32,Old,,,1972536.0,ns,23500
single_random_i8,Pcg32,Old,,,2159499.0,ns,25850
single_random_i8,Pcg32,Old,,,2376948.0,ns,28200
single_random_i8,Pcg32,Old,,,2557569.0,ns,30550
single_random_i8,Pcg32,Old,,,2747818.0,ns,32900
single_random_i8,Pcg32,Old,,,2946212.0,ns,35250
single_random_i8,Pcg32,Old,,,3150045.0,ns,37600
single_random_i8,Pcg32,Old,,,3338620.0,ns,39950
single_random_i8,Pcg32,Old,,,3535672.0,ns,42300
single_random_i8,Pcg32,Old,,,3730890.0,ns,44650
single_random_i8,Pcg32,Old,,,3928071.0,ns,47000
single_random_i8,Pcg32,Old,,,4130583.0,ns,49350
single_random_i8,Pcg32,Old,,,4321532.0,ns,51700
single_random_i8,Pcg32,Old,,,4512482.0,ns,54050
single_random_i8,Pcg32,Old,,,4713771.0,ns,56400
single_random_i8,Pcg32,Old,,,4915802.0,ns,58750
single_random_i8,Pcg32,Old,,,5113715.0,ns,61100
single_random_i8,Pcg32,Old,,,5303993.0,ns,63450
single_random_i8,Pcg32,Old,,,5509461.0,ns,65800
single_random_i8,Pcg32,Old,,,5689590.0,ns,68150
single_random_i8,Pcg32,Old,,,5883585.0,ns,70500
single_random_i8,Pcg32,Old,,,6133096.0,ns,72850
single_random_i8,Pcg32,Old,,,6275053.0,ns,75200
single_random_i8,Pcg32,Old,,,6471243.0,ns,77550
single_random_i8,Pcg32,Old,,,6660068.0,ns,79900
single_random_i8,Pcg32,Old,,,6854114.0,ns,82250
single_random_i8,Pcg32,Old,,,7045565.0,ns,84600
single_random_i8,Pcg32,Old,,,7244449.0,ns,86950
single_random_i8,Pcg32,Old,,,7438806.0,ns,89300
single_random_i8,Pcg32,Old,,,7638262.0,ns,91650
single_random_i8,Pcg32,Old,,,7832338.0,ns,94000
single_random_i8,Pcg32,Old,,,8021234.0,ns,96350
single_random_i8,Pcg32,Old,,,8222613.0,ns,98700
single_random_i8,Pcg32,Old,,,8419233.0,ns,101050
single_random_i8,Pcg32,Old,,,8603380.0,ns,103400
single_random_i8,Pcg32,Old,,,8808967.0,ns,105750
single_random_i8,Pcg32,Old,,,9007291.0,ns,108100
single_random_i8,Pcg32,Old,,,9184495.0,ns,110450
single_random_i8,Pcg32,Old,,,9412144.0,ns,112800
single_random_i8,Pcg32,Old,,,9575572.0,ns,115150
single_random_i8,Pcg32,Old,,,9792711.0,ns,117500
single_random_i8,Pcg32,Old,,,9970816.0,ns,119850
single_random_i8,Pcg32,Old,,,10165984.0,ns,122200
single_random_i8,Pcg32,Old,,,10369267.0,ns,124550
single_random_i8,Pcg32,Old,,,10550950.0,ns,126900
single_random_i8,Pcg32,Old,,,10764492.0,ns,129250
single_random_i8,Pcg32,Old,,,10946745.0,ns,131600
single_random_i8,Pcg32,Old,,,11137274.0,ns,133950
single_random_i8,Pcg32,Old,,,11342210.0,ns,136300
single_random_i8,Pcg32,Old,,,11554090.0,ns,138650
single_random_i8,Pcg32,Old,,,11718960.0,ns,141000
single_random_i8,Pcg32,Old,,,11928335.0,ns,143350
single_random_i8,Pcg32,Old,,,12120797.0,ns,145700
single_random_i8,Pcg32,Old,,,12319442.0,ns,148050
single_random_i8,Pcg32,Old,,,12505673.0,ns,150400
single_random_i8,Pcg32,Old,,,12715679.0,ns,152750
single_random_i8,Pcg32,Old,,,12900446.0,ns,155100
single_random_i8,Pcg32,Old,,,13096546.0,ns,157450
single_random_i8,Pcg32,Old,,,13285021.0,ns,159800
single_random_i8,Pcg32,Old,,,13482322.0,ns,162150
single_random_i8,Pcg32,Old,,,13683411.0,ns,164500
single_random_i8,Pcg32,Old,,,13873340.0,ns,166850
single_random_i8,Pcg32,Old,,,14073236.0,ns,169200
single_random_i8,Pcg32,Old,,,14268193.0,ns,171550
single_random_i8,Pcg32,Old,,,14471626.0,ns,173900
single_random_i8,Pcg32,Old,,,14659501.0,ns,176250
single_random_i8,Pcg32,Old,,,14863305.0,ns,178600
single_random_i8,Pcg32,Old,,,15058823.0,ns,180950
single_random_i8,Pcg32,Old,,,15301150.0,ns,183300
single_random_i8,Pcg32,Old,,,15448407.0,ns,185650
single_random_i8,Pcg32,Old,,,15630881.0,ns,188000
single_random_i8,Pcg32,Old,,,15831429.0,ns,190350
single_random_i8,Pcg32,Old,,,16027218.0,ns,192700
single_random_i8,Pcg32,Old,,,16221213.0,ns,195050
single_random_i8,Pcg32,Old,,,16418876.0,ns,197400
single_random_i8,Pcg32,Old,,,16613192.0,ns,199750
single_random_i8,Pcg32,Old,,,16808650.0,ns,202100
single_random_i8,Pcg32,Old,,,17007084.0,ns,204450
single_random_i8,Pcg32,Old,,,17193445.0,ns,206800
single_random_i8,Pcg32,Old,,,17394414.0,ns,209150
single_random_i8,Pcg32,Old,,,17593579.0,ns,211500
single_random_i8,Pcg32,Old,,,17795629.0,ns,213850
single_random_i8,Pcg32,Old,,,17983012.0,ns,216200
single_random_i8,Pcg32,Old,,,18181246.0,ns,218550
single_random_i8,Pcg32,Old,,,18365413.0,ns,220900
single_random_i8,Pcg32,Old,,,18561182.0,ns,223250
single_random_i8,Pcg32,Old,,,18755749.0,ns,225600
single_random_i8,Pcg32,Old,,,18953051.0,ns,227950
single_random_i8,Pcg32,Old,,,19135905.0,ns,230300
single_random_i8,Pcg32,Old,,,19341762.0,ns,232650
single_random_i8,Pcg32,Old,,,19539615.0,ns,235000
