group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
single_random_i8,Pcg64,Biased64,,,193264.0,ns,2577
single_random_i8,Pcg64,Biased64,,,444077.0,ns,5154
single_random_i8,Pcg64,Biased64,,,578500.0,ns,7731
single_random_i8,Pcg64,Biased64,,,770692.0,ns,10308
single_random_i8,Pcg64,Biased64,,,963014.0,ns,12885
single_random_i8,Pcg64,Biased64,,,1276153.0,ns,15462
single_random_i8,Pcg64,Biased64,,,1458297.0,ns,18039
single_random_i8,Pcg64,Biased64,,,1541453.0,ns,20616
single_random_i8,Pcg64,Biased64,,,1733434.0,ns,23193
single_random_i8,Pcg64,Biased64,,,1936717.0,ns,25770
single_random_i8,Pcg64,Biased64,,,2143136.0,ns,28347
single_random_i8,Pcg64,Biased64,,,2309289.0,ns,30924
single_random_i8,Pcg64,Biased64,,,2500488.0,ns,33501
single_random_i8,Pcg64,Biased64,,,2696258.0,ns,36078
single_random_i8,Pcg64,Biased64,,,3020409.0,ns,38655
single_random_i8,Pcg64,Biased64,,,3202441.0,ns,41232
single_random_i8,Pcg64,Biased64,,,3463974.0,ns,43809
single_random_i8,Pcg64,Biased64,,,3466087.0,ns,46386
single_random_i8,Pcg64,Biased64,,,3793053.0,ns,48963
single_random_i8,Pcg64,Biased64,,,3846955.0,ns,51540
single_random_i8,Pcg64,Biased64,,,4046802.0,ns,54117
single_random_i8,Pcg64,Biased64,,,4500355.0,ns,56694
single_random_i8,Pcg64,Biased64,,,4430514.0,ns,59271
single_random_i8,Pcg64,Biased64,,,4886352.0,ns,61848
single_random_i8,Pcg64,Biased64,,,5133137.0,ns,64425
single_random_i8,Pcg64,Biased64,,,5003293.0,ns,67002
single_random_i8,Pcg64,Biased64,,,5397945.0,ns,69579
single_random_i8,Pcg64,Biased64,,,5518533.0,ns,72156
single_random_i8,Pcg64,Biased64,,,5705926.0,ns,74733
single_random_i8,Pcg64,Biased64,,,5758505.0,ns,77310
single_random_i8,Pcg64,Biased64,,,5955135.0,ns,79887
single_random_i8,Pcg64,Biased64,,,6278794.0,ns,82464
single_random_i8,Pcg64,Biased64,,,6449987.0,ns,85041
single_random_i8,Pcg64,Biased64,,,6550566.0,ns,87618
single_random_i8,Pcg64,Biased64,,,6844379.0,ns,90195
single_random_i8,Pcg64,Biased64,,,6905665.0,ns,92772
single_random_i8,Pcg64,Biased64,,,7238442.0,ns,95349
single_random_i8,Pcg64,Biased64,,,7353589.0,ns,97926
single_random_i8,Pcg64,Biased64,,,7608809.0,ns,100503
single_random_i8,Pcg64,Biased64,,,7799147.0,ns,103080
single_random_i8,Pcg64,Biased64,,,7857798.0,ns,105657
single_random_i8,Pcg64,Biased64,,,8314208.0,ns,108234
single_random_i8,Pcg64,Biased64,,,8235510.0,ns,110811
single_random_i8,Pcg64,Biased64,,,8431859.0,ns,113388
single_random_i8,Pcg64,Biased64,,,8621135.0,ns,115965
single_random_i8,Pcg64,Biased64,,,9034624.0,ns,118542
single_random_i8,Pcg64,Biased64,,,9266500.0,ns,121119
single_random_i8,Pcg64,Biased64,,,9324871.0,ns,123696
single_random_i8,Pcg64,Biased64,,,9436301.0,ns,126273
single_random_i8,Pcg64,Biased64,,,9578979.0,ns,128850
single_random_i8,Pcg64,Biased64,,,10037573.0,ns,131427
single_random_i8,Pcg64,Biased64,,,10091324.0,ns,134004
single_random_i8,Pcg64,Biased64,,,10152229.0,ns,136581
single_random_i8,Pcg64,Biased64,,,10475477.0,ns,139158
single_random_i8,Pcg64,Biased64,,,10667509.0,ns,141735
single_random_i8,Pcg64,Biased64,,,10737190.0,ns,144312
single_random_i8,Pcg64,Biased64,,,11050781.0,ns,146889
single_random_i8,Pcg64,Biased64,,,11373759.0,ns,149466
single_random_i8,Pcg64,Biased64,,,11433422.0,ns,152043
single_random_i8,Pcg64,Biased64,,,11891544.0,ns,154620
single_random_i8,Pcg64,Biased64,,,11815060.0,ns,157197
single_random_i8,Pcg64,Biased64,,,12136606.0,ns,159774
single_random_i8,Pcg64,Biased64,,,12333977.0,ns,162351
single_random_i8,Pcg64,Biased64,,,12519307.0,ns,164928
single_random_i8,Pcg64,Biased64,,,12450016.0,ns,167505
single_random_i8,Pcg64,Biased64,,,12640585.0,ns,170082
single_random_i8,Pcg64,Biased64,,,12835573.0,ns,172659
single_random_i8,Pcg64,Biased64,,,13289107.0,ns,175236
