group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
single_random_i8,SmallRng,Canon-Unbiased,,,196941.0,ns,2310
single_random_i8,SmallRng,Canon-Unbiased,,,393842.0,ns,4620
single_random_i8,SmallRng,Canon-Unbiased,,,594430.0,ns,6930
single_random_i8,SmallRng,Canon-Unbiased,,,792363.0,ns,9240
single_random_i8,SmallRng,Canon-Unbiased,,,985998.0,ns,11550
single_random_i8,SmallRng,Canon-Unbiased,,,1184943.0,ns,13860
single_random_i8,SmallRng,Canon-Unbiased,,,1382906.0,ns,16170
single_random_i8,SmallRng,Canon-Unbiased,,,1577312.0,ns,18480
single_random_i8,SmallRng,Canon-Unbiased,,,1773732.0,ns,20790
single_random_i8,SmallRng,Canon-Unbiased,,,1991342.0,ns,23100
single_random_i8,SmallRng,Canon-Unbiased,,,2175950.0,ns,25410
single_random_i8,SmallRng,Canon-Unbiased,,,2374634.0,ns,27720
single_random_i8,SmallRng,Canon-Unbiased,,,2568970.0,ns,30030
single_random_i8,SmallRng,Canon-Unbiased,,,2758768.0,ns,32340
single_random_i8,SmallRng,Canon-Unbiased,,,2972039.0,ns,34650
single_random_i8,SmallRng,Canon-Unbiased,,,3154083.0,ns,36960
single_random_i8,SmallRng,Canon-Unbiased,,,3356143.0,ns,39270
single_random_i8,SmallRng,Canon-Unbiased,,,3553005.0,ns,41580
single_random_i8,SmallRng,Canon-Unbiased,,,3750687.0,ns,43890
single_random_i8,SmallRng,Canon-Unbiased,,,3947658.0,ns,46200
single_random_i8,SmallRng,Canon-Unbiased,,,4139299.0,ns,48510
single_random_i8,SmallRng,Canon-Unbiased,,,4343654.0,ns,50820
single_random_i8,SmallRng,Canon-Unbiased,,,4543972.0,ns,53130
single_random_i8,SmallRng,Canon-Unbiased,,,4732617.0,ns,55440
single_random_i8,SmallRng,Canon-Unbiased,,,4931962.0,ns,57750
single_random_i8,SmallRng,Canon-Unbiased,,,5124525.0,ns,60060
single_random_i8,SmallRng,Canon-Unbiased,,,5321536.0,ns,62370
single_random_i8,SmallRng,Canon-Unbiased,,,5516043.0,ns,64680
single_random_i8,SmallRng,Canon-Unbiased,,,6059648.0,ns,66990
single_random_i8,SmallRng,Canon-Unbiased,,,5915225.0,ns,69300
single_random_i8,SmallRng,Canon-Unbiased,,,6100174.0,ns,71610
single_random_i8,SmallRng,Canon-Unbiased,,,6301943.0,ns,73920
single_random_i8,SmallRng,Canon-Unbiased,,,6494707.0,ns,76230
single_random_i8,SmallRng,Canon-Unbiased,,,6691789.0,ns,78540
single_random_i8,SmallRng,Canon-Unbiased,,,6888379.0,ns,80850
single_random_i8,SmallRng,Canon-Unbiased,,,7085541.0,ns,83160
single_random_i8,SmallRng,Canon-Unbiased,,,7283183.0,ns,85470
single_random_i8,SmallRng,Canon-Unbiased,,,7469093.0,ns,87780
single_random_i8,SmallRng,Canon-Unbiased,,,7676884.0,ns,90090
single_random_i8,SmallRng,Canon-Unbiased,,,7858256.0,ns,92400
single_random_i8,SmallRng,Canon-Unbiased,,,8098509.0,ns,94710
single_random_i8,SmallRng,Canon-Unbiased,,,8265463.0,ns,97020
single_random_i8,SmallRng,Canon-Unbiased,,,8468866.0,ns,99330
single_random_i8,SmallRng,Canon-Unbiased,,,8654997.0,ns,101640
single_random_i8,SmallRng,Canon-Unbiased,,,8868499.0,ns,103950
single_random_i8,SmallRng,Canon-Unbiased,,,9041034.0,ns,106260
single_random_i8,SmallRng,Canon-Unbiased,,,9236262.0,ns,108570
single_random_i8,SmallRng,Canon-Unbiased,,,9438874.0,ns,110880
single_random_i8,SmallRng,Canon-Unbiased,,,9634072.0,ns,113190
single_random_i8,SmallRng,Canon-Unbiased,,,9827457.0,ns,115500
single_random_i8,SmallRng,Canon-Unbiased,,,10011132.0,ns,117810
single_random_i8,SmallRng,Canon-Unbiased,,,10235645.0,ns,120120
single_random_i8,SmallRng,Canon-Unbiased,,,10430683.0,ns,122430
single_random_i8,SmallRng,Canon-Unbiased,,,10618987.0,ns,124740
single_random_i8,SmallRng,Canon-Unbiased,,,10810378.0,ns,127050
single_random_i8,SmallRng,Canon-Unbiased,,,11006498.0,ns,129360
single_random_i8,SmallRng,Canon-Unbiased,,,11204771.0,ns,131670
single_random_i8,SmallRng,Canon-Unbiased,,,11433202.0,ns,133980
single_random_i8,SmallRng,Canon-Unbiased,,,11602160.0,ns,136290
single_random_i8,SmallRng,Canon-Unbiased,,,11794252.0,ns,138600
single_random_i8,SmallRng,Canon-Unbiased,,,11987927.0,ns,140910
single_random_i8,SmallRng,Canon-Unbiased,,,12183836.0,ns,143220
single_random_i8,SmallRng,Canon-Unbiased,,,12373604.0,ns,145530
single_random_i8,SmallRng,Canon-Unbiased,,,12564394.0,ns,147840
single_random_i8,SmallRng,Canon-Unbiased,,,12780480.0,ns,150150
single_random_i8,SmallRng,Canon-Unbiased,,,12967513.0,ns,152460
single_random_i8,SmallRng,Canon-Unbiased,,,13158743.0,ns,154770
single_random_i8,SmallRng,Canon-Unbiased,,,13360012.0,ns,157080
single_random_i8,SmallRng,Canon-Unbiased,,,13560449.0,ns,159390
single_random_i8,SmallRng,Canon-Unbiased,,,13751690.0,ns,161700
single_random_i8,SmallRng,Canon-Unbiased,,,13936558.0,ns,164010
single_random_i8,SmallRng,Canon-Unbiased,,,14141054.0,ns,166320
single_random_i8,SmallRng,Canon-Unbiased,,,14439296.0,ns,168630
single_random_i8,SmallRng,Canon-Unbiased,,,14539073.0,ns,170940
single_random_i8,SmallRng,Canon-Unbiased,,,14740704.0,ns,173250
single_random_i8,SmallRng,Canon-Unbiased,,,14917888.0,ns,175560
single_random_i8,SmallRng,Canon-Unbiased,,,15162518.0,ns,177870
single_random_i8,SmallRng,Canon-Unbiased,,,15325837.0,ns,180180
single_random_i8,SmallRng,Canon-Unbiased,,,15512077.0,ns,182490
single_random_i8,SmallRng,Canon-Unbiased,,,16012018.0,ns,184800
single_random_i8,SmallRng,Canon-Unbiased,,,15966944.0,ns,187110
single_random_i8,SmallRng,Canon-Unbiased,,,16300543.0,ns,189420
single_random_i8,SmallRng,Canon-Unbiased,,,16365435.0,ns,191730
single_random_i8,SmallRng,Canon-Unbiased,,,16595539.0,ns,194040
single_random_i8,SmallRng,Canon-Unbiased,,,16831673.0,ns,196350
single_random_i8,SmallRng,Canon-Unbiased,,,17034225.0,ns,198660
single_random_i8,SmallRng,Canon-Unbiased,,,17255642.0,ns,200970
single_random_i8,SmallRng,Canon-Unbiased,,,17429149.0,ns,203280
single_random_i8,SmallRng,Canon-Unbiased,,,17627763.0,ns,205590
single_random_i8,SmallRng,Canon-Unbiased,,,17805799.0,ns,207900
single_random_i8,SmallRng,Canon-Unbiased,,,18317352.0,ns,210210
single_random_i8,SmallRng,Canon-Unbiased,,,18291744.0,ns,212520
single_random_i8,SmallRng,Canon-Unbiased,,,18956517.0,ns,214830
single_random_i8,SmallRng,Canon-Unbiased,,,18688272.0,ns,217140
single_random_i8,SmallRng,Canon-Unbiased,,,19101591.0,ns,219450
single_random_i8,SmallRng,Canon-Unbiased,,,21498817.0,ns,221760
single_random_i8,SmallRng,Canon-Unbiased,,,19343927.0,ns,224070
single_random_i8,SmallRng,Canon-Unbiased,,,20234695.0,ns,226380
single_random_i8,SmallRng,Canon-Unbiased,,,20882556.0,ns,228690
single_random_i8,SmallRng,Canon-Unbiased,,,19824112.0,ns,231000
