group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
single_random_i8,SmallRng,Canon,,,199245.0,ns,2892
single_random_i8,SmallRng,Canon,,,394814.0,ns,5784
single_random_i8,SmallRng,Canon,,,596043.0,ns,8676
single_random_i8,SmallRng,Canon,,,793715.0,ns,11568
single_random_i8,SmallRng,Canon,,,992460.0,ns,14460
single_random_i8,SmallRng,Canon,,,1187507.0,ns,17352
single_random_i8,SmallRng,Canon,,,1383307.0,ns,20244
single_random_i8,SmallRng,Canon,,,1587040.0,ns,23136
single_random_i8,SmallRng,Canon,,,1778110.0,ns,26028
single_random_i8,SmallRng,Canon,,,1976504.0,ns,28920
single_random_i8,SmallRng,Canon,,,2175239.0,ns,31812
single_random_i8,SmallRng,Canon,,,2371087.0,ns,34704
single_random_i8,SmallRng,Canon,,,2568760.0,ns,37596
single_random_i8,SmallRng,Canon,,,2767124.0,ns,40488
single_random_i8,SmallRng,Canon,,,2964295.0,ns,43380
single_random_i8,SmallRng,Canon,,,3162549.0,ns,46272
single_random_i8,SmallRng,Canon,,,3360632.0,ns,49164
single_random_i8,SmallRng,Canon,,,3556701.0,ns,52056
single_random_i8,SmallRng,Canon,,,3755516.0,ns,54948
single_random_i8,SmallRng,Canon,,,3959180.0,ns,57840
single_random_i8,SmallRng,Canon,,,4151162.0,ns,60732
single_random_i8,SmallRng,Canon,,,4348814.0,ns,63624
single_random_i8,SmallRng,Canon,,,4547648.0,ns,66516
single_random_i8,SmallRng,Canon,,,4744880.0,ns,69408
single_random_i8,SmallRng,Canon,,,4942312.0,ns,72300
single_random_i8,SmallRng,Canon,,,5138081.0,ns,75192
single_random_i8,SmallRng,Canon,,,5334922.0,ns,78084
single_random_i8,SmallRng,Canon,,,5535180.0,ns,80976
single_random_i8,SmallRng,Canon,,,5731088.0,ns,83868
single_random_i8,SmallRng,Canon,,,5930434.0,ns,86760
single_random_i8,SmallRng,Canon,,,6128758.0,ns,89652
single_random_i8,SmallRng,Canon,,,6323966.0,ns,92544
single_random_i8,SmallRng,Canon,,,6522028.0,ns,95436
single_random_i8,SmallRng,Canon,,,6804371.0,ns,98328
single_random_i8,SmallRng,Canon,,,6916341.0,ns,101220
single_random_i8,SmallRng,Canon,,,7115196.0,ns,104112
single_random_i8,SmallRng,Canon,,,7312187.0,ns,107004
single_random_i8,SmallRng,Canon,,,7510411.0,ns,109896
single_random_i8,SmallRng,Canon,,,7707973.0,ns,112788
single_random_i8,SmallRng,Canon,,,8061669.0,ns,115680
single_random_i8,SmallRng,Canon,,,8176075.0,ns,118572
single_random_i8,SmallRng,Canon,,,8309617.0,ns,121464
single_random_i8,SmallRng,Canon,,,8510114.0,ns,124356
single_random_i8,SmallRng,Canon,,,8695974.0,ns,127248
single_random_i8,SmallRng,Canon,,,8895901.0,ns,130140
single_random_i8,SmallRng,Canon,,,9091820.0,ns,133032
single_random_i8,SmallRng,Canon,,,9291366.0,ns,135924
single_random_i8,SmallRng,Canon,,,9486334.0,ns,138816
single_random_i8,SmallRng,Canon,,,9684878.0,ns,141708
single_random_i8,SmallRng,Canon,,,9882901.0,ns,144600
single_random_i8,SmallRng,Canon,,,10081084.0,ns,147492
single_random_i8,SmallRng,Canon,,,10287183.0,ns,150384
single_random_i8,SmallRng,Canon,,,10476519.0,ns,153276
single_random_i8,SmallRng,Canon,,,10670915.0,ns,156168
single_random_i8,SmallRng,Canon,,,10872715.0,ns,159060
single_random_i8,SmallRng,Canon,,,13215460.0,ns,161952
single_random_i8,SmallRng,Canon,,,11356296.0,ns,164844
single_random_i8,SmallRng,Canon,,,11464010.0,ns,167736
single_random_i8,SmallRng,Canon,,,11652054.0,ns,170628
single_random_i8,SmallRng,Canon,,,11852502.0,ns,173520
single_random_i8,SmallRng,Canon,,,12048210.0,ns,176412
single_random_i8,SmallRng,Canon,,,12228941.0,ns,179304
single_random_i8,SmallRng,Canon,,,12420251.0,ns,182196
single_random_i8,SmallRng,Canon,,,12621801.0,ns,185088
single_random_i8,SmallRng,Canon,,,12813242.0,ns,187980
single_random_i8,SmallRng,Canon,,,13004493.0,ns,190872
single_random_i8,SmallRng,Canon,,,13191565.0,ns,193764
single_random_i8,SmallRng,Canon,,,13392172.0,ns,196656
single_random_i8,SmallRng,Canon,,,13603371.0,ns,199548
single_random_i8,SmallRng,Canon,,,13806393.0,ns,202440
single_random_i8,SmallRng,Canon,,,13983387.0,ns,205332
single_random_i8,SmallRng,Canon,,,14175910.0,ns,208224
single_random_i8,SmallRng,Canon,,,14365357.0,ns,211116
single_random_i8,SmallRng,Canon,,,14563600.0,ns,214008
single_random_i8,SmallRng,Canon,,,14764438.0,ns,216900
single_random_i8,SmallRng,Canon,,,14959676.0,ns,219792
single_random_i8,SmallRng,Canon,,,15154975.0,ns,222684
single_random_i8,SmallRng,Canon,,,15364349.0,ns,225576
single_random_i8,SmallRng,Canon,,,15631422.0,ns,228468
single_random_i8,SmallRng,Canon,,,15745858.0,ns,231360
single_random_i8,SmallRng,Canon,,,15945002.0,ns,234252
single_random_i8,SmallRng,Canon,,,16566293.0,ns,237144
single_random_i8,SmallRng,Canon,,,16343133.0,ns,240036
single_random_i8,SmallRng,Canon,,,16542709.0,ns,242928
single_random_i8,SmallRng,Canon,,,16722558.0,ns,245820
single_random_i8,SmallRng,Canon,,,16911294.0,ns,248712
single_random_i8,SmallRng,Canon,,,17122151.0,ns,251604
single_random_i8,SmallRng,Canon,,,17330093.0,ns,254496
single_random_i8,SmallRng,Canon,,,17512476.0,ns,257388
single_random_i8,SmallRng,Canon,,,17705600.0,ns,260280
single_random_i8,SmallRng,Canon,,,17905507.0,ns,263172
single_random_i8,SmallRng,Canon,,,18130640.0,ns,266064
single_random_i8,SmallRng,Canon,,,18295331.0,ns,268956
single_random_i8,SmallRng,Canon,,,18487944.0,ns,271848
single_random_i8,SmallRng,Canon,,,18686679.0,ns,274740
single_random_i8,SmallRng,Canon,,,18889040.0,ns,277632
single_random_i8,SmallRng,Canon,,,19076413.0,ns,280524
single_random_i8,SmallRng,Canon,,,19283683.0,ns,283416
single_random_i8,SmallRng,Canon,,,19480373.0,ns,286308
single_random_i8,SmallRng,Canon,,,19671714.0,ns,289200
