group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
distr_high_reject_i128,ChaCha8Rng,Canon,,,199185.0,ns,17136
distr_high_reject_i128,ChaCha8Rng,Canon,,,396016.0,ns,34272
distr_high_reject_i128,ChaCha8Rng,Canon,,,590792.0,ns,51408
distr_high_reject_i128,ChaCha8Rng,Canon,,,788544.0,ns,68544
distr_high_reject_i128,ChaCha8Rng,Canon,,,985636.0,ns,85680
distr_high_reject_i128,ChaCha8Rng,Canon,,,1188818.0,ns,102816
distr_high_reject_i128,ChaCha8Rng,Canon,,,1386900.0,ns,119952
distr_high_reject_i128,ChaCha8Rng,Canon,,,1581156.0,ns,137088
distr_high_reject_i128,ChaCha8Rng,Canon,,,1777516.0,ns,154224
distr_high_reject_i128,ChaCha8Rng,Canon,,,1976831.0,ns,171360
distr_high_reject_i128,ChaCha8Rng,Canon,,,2181556.0,ns,188496
distr_high_reject_i128,ChaCha8Rng,Canon,,,2387514.0,ns,205632
distr_high_reject_i128,ChaCha8Rng,Canon,,,2575288.0,ns,222768
distr_high_reject_i128,ChaCha8Rng,Canon,,,2765244.0,ns,239904
distr_high_reject_i128,ChaCha8Rng,Canon,,,2968928.0,ns,257040
distr_high_reject_i128,ChaCha8Rng,Canon,,,3157122.0,ns,274176
distr_high_reject_i128,ChaCha8Rng,Canon,,,3368170.0,ns,291312
distr_high_reject_i128,ChaCha8Rng,Canon,,,3555923.0,ns,308448
distr_high_reject_i128,ChaCha8Rng,Canon,,,3751912.0,ns,325584
distr_high_reject_i128,ChaCha8Rng,Canon,,,3947530.0,ns,342720
distr_high_reject_i128,ChaCha8Rng,Canon,,,4147897.0,ns,359856
distr_high_reject_i128,ChaCha8Rng,Canon,,,4345870.0,ns,376992
distr_high_reject_i128,ChaCha8Rng,Canon,,,4550295.0,ns,394128
distr_high_reject_i128,ChaCha8Rng,Canon,,,4733369.0,ns,411264
distr_high_reject_i128,ChaCha8Rng,Canon,,,4927865.0,ns,428400
distr_high_reject_i128,ChaCha8Rng,Canon,,,5123183.0,ns,445536
distr_high_reject_i128,ChaCha8Rng,Canon,,,5318009.0,ns,462672
distr_high_reject_i128,ChaCha8Rng,Canon,,,5522404.0,ns,479808
distr_high_reject_i128,ChaCha8Rng,Canon,,,5718904.0,ns,496944
distr_high_reject_i128,ChaCha8Rng,Canon,,,5908962.0,ns,514080
distr_high_reject_i128,ChaCha8Rng,Canon,,,6112736.0,ns,531216
distr_high_reject_i128,ChaCha8Rng,Canon,,,6306270.0,ns,548352
distr_high_reject_i128,ChaCha8Rng,Canon,,,6511466.0,ns,565488
distr_high_reject_i128,ChaCha8Rng,Canon,,,6707075.0,ns,582624
distr_high_reject_i128,ChaCha8Rng,Canon,,,6887614.0,ns,599760
distr_high_reject_i128,ChaCha8Rng,Canon,,,7119610.0,ns,616896
distr_high_reject_i128,ChaCha8Rng,Canon,,,7318545.0,ns,634032
distr_high_reject_i128,ChaCha8Rng,Canon,,,7486391.0,ns,651168
distr_high_reject_i128,ChaCha8Rng,Canon,,,7721574.0,ns,668304
distr_high_reject_i128,ChaCha8Rng,Canon,,,7890501.0,ns,685440
distr_high_reject_i128,ChaCha8Rng,Canon,,,8070069.0,ns,702576
distr_high_reject_i128,ChaCha8Rng,Canon,,,8272160.0,ns,719712
distr_high_reject_i128,ChaCha8Rng,Canon,,,8477416.0,ns,736848
distr_high_reject_i128,ChaCha8Rng,Canon,,,8662826.0,ns,753984
distr_high_reject_i128,ChaCha8Rng,Canon,,,8853724.0,ns,771120
distr_high_reject_i128,ChaCha8Rng,Canon,,,9061737.0,ns,788256
distr_high_reject_i128,ChaCha8Rng,Canon,,,9253638.0,ns,805392
distr_high_reject_i128,ChaCha8Rng,Canon,,,9432093.0,ns,822528
distr_high_reject_i128,ChaCha8Rng,Canon,,,9632491.0,ns,839664
distr_high_reject_i128,ChaCha8Rng,Canon,,,9832778.0,ns,856800
distr_high_reject_i128,ChaCha8Rng,Canon,,,10040459.0,ns,873936
distr_high_reject_i128,ChaCha8Rng,Canon,,,10215308.0,ns,891072
distr_high_reject_i128,ChaCha8Rng,Canon,,,10427627.0,ns,908208
distr_high_reject_i128,ChaCha8Rng,Canon,,,10605251.0,ns,925344
distr_high_reject_i128,ChaCha8Rng,Canon,,,10835114.0,ns,942480
distr_high_reject_i128,ChaCha8Rng,Canon,,,11008631.0,ns,959616
distr_high_reject_i128,ChaCha8Rng,Canon,,,11200271.0,ns,976752
distr_high_reject_i128,ChaCha8Rng,Canon,,,11395569.0,ns,993888
distr_high_reject_i128,ChaCha8Rng,Canon,,,11597830.0,ns,1011024
distr_high_reject_i128,ChaCha8Rng,Canon,,,11791935.0,ns,1028160
distr_high_reject_i128,ChaCha8Rng,Canon,,,11995308.0,ns,1045296
distr_high_reject_i128,ChaCha8Rng,Canon,,,12191597.0,ns,1062432
distr_high_reject_i128,ChaCha8Rng,Canon,,,12368280.0,ns,1079568
distr_high_reject_i128,ChaCha8Rng,Canon,,,12589506.0,ns,1096704
distr_high_reject_i128,ChaCha8Rng,Canon,,,12765908.0,ns,1113840
distr_high_reject_i128,ChaCha8Rng,Canon,,,12969401.0,ns,1130976
distr_high_reject_i128,ChaCha8Rng,Canon,,,13161002.0,ns,1148112
distr_high_reject_i128,ChaCha8Rng,Canon,,,13366379.0,ns,1165248
distr_high_reject_i128,ChaCha8Rng,Canon,,,13554803.0,ns,1182384
distr_high_reject_i128,ChaCha8Rng,Canon,,,13750211.0,ns,1199520
distr_high_reject_i128,ChaCha8Rng,Canon,,,13953183.0,ns,1216656
distr_high_reject_i128,ChaCha8Rng,Canon,,,14144032.0,ns,1233792
distr_high_reject_i128,ChaCha8Rng,Canon,,,14335893.0,ns,1250928
distr_high_reject_i128,ChaCha8Rng,Canon,,,14539016.0,ns,1268064
distr_high_reject_i128,ChaCha8Rng,Canon,,,14719476.0,ns,1285200
distr_high_reject_i128,ChaCha8Rng,Canon,,,14924891.0,ns,1302336
distr_high_reject_i128,ChaCha8Rng,Canon,,,15149555.0,ns,1319472
distr_high_reject_i128,ChaCha8Rng,Canon,,,15321699.0,ns,1336608
distr_high_reject_i128,ChaCha8Rng,Canon,,,15508710.0,ns,1353744
distr_high_reject_i128,ChaCha8Rng,Canon,,,15700792.0,ns,1370880
distr_high_reject_i128,ChaCha8Rng,Canon,,,15917660.0,ns,1388016
distr_high_reject_i128,ChaCha8Rng,Canon,,,16096477.0,ns,1405152
distr_high_reject_i128,ChaCha8Rng,Canon,,,16299880.0,ns,1422288
distr_high_reject_i128,ChaCha8Rng,Canon,,,16490138.0,ns,1439424
distr_high_reject_i128,ChaCha8Rng,Canon,,,16663845.0,ns,1456560
distr_high_reject_i128,ChaCha8Rng,Canon,,,16867588.0,ns,1473696
distr_high_reject_i128,ChaCha8Rng,Canon,,,17083515.0,ns,1490832
distr_high_reject_i128,ChaCha8Rng,Canon,,,17266699.0,ns,1507968
distr_high_reject_i128,ChaCha8Rng,Canon,,,17447860.0,ns,1525104
distr_high_reject_i128,ChaCha8Rng,Canon,,,17672593.0,ns,1542240
distr_high_reject_i128,ChaCha8Rng,Canon,,,17858233.0,ns,1559376
distr_high_reject_i128,ChaCha8Rng,Canon,,,18044684.0,ns,1576512
distr_high_reject_i128,ChaCha8Rng,Canon,,,18276279.0,ns,1593648
distr_high_reject_i128,ChaCha8Rng,Canon,,,18434097.0,ns,1610784
distr_high_reject_i128,ChaCha8Rng,Canon,,,18653489.0,ns,1627920
distr_high_reject_i128,ChaCha8Rng,Canon,,,18851162.0,ns,1645056
distr_high_reject_i128,ChaCha8Rng,Canon,,,19045498.0,ns,1662192
distr_high_reject_i128,ChaCha8Rng,Canon,,,19246757.0,ns,1679328
distr_high_reject_i128,ChaCha8Rng,Canon,,,19430252.0,ns,1696464
distr_high_reject_i128,ChaCha8Rng,Canon,,,19622454.0,ns,1713600
