group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
distr_high_reject_i128,Pcg32,Bitmask,,,197602.0,ns,17130
distr_high_reject_i128,Pcg32,Bitmask,,,393731.0,ns,34260
distr_high_reject_i128,Pcg32,Bitmask,,,594659.0,ns,51390
distr_high_reject_i128,Pcg32,Bitmask,,,791850.0,ns,68520
distr_high_reject_i128,Pcg32,Bitmask,,,983992.0,ns,85650
distr_high_reject_i128,Pcg32,Bitmask,,,1180371.0,ns,102780
distr_high_reject_i128,Pcg32,Bitmask,,,1380128.0,ns,119910
distr_high_reject_i128,Pcg32,Bitmask,,,1580465.0,ns,137040
distr_high_reject_i128,Pcg32,Bitmask,,,1778327.0,ns,154170
distr_high_reject_i128,Pcg32,Bitmask,,,1974046.0,ns,171300
distr_high_reject_i128,Pcg32,Bitmask,,,2163141.0,ns,188430
distr_high_reject_i128,Pcg32,Bitmask,,,2362968.0,ns,205560
distr_high_reject_i128,Pcg32,Bitmask,,,2571079.0,ns,222690
distr_high_reject_i128,Pcg32,Bitmask,,,2770234.0,ns,239820
distr_high_reject_i128,Pcg32,Bitmask,,,2955903.0,ns,256950
distr_high_reject_i128,Pcg32,Bitmask,,,3161891.0,ns,274080
distr_high_reject_i128,Pcg32,Bitmask,,,3353011.0,ns,291210
distr_high_reject_i128,Pcg32,Bitmask,,,3563798.0,ns,308340
distr_high_reject_i128,Pcg32,Bitmask,,,3739829.0,ns,325470
distr_high_reject_i128,Pcg32,Bitmask,,,3946378.0,ns,342600
distr_high_reject_i128,Pcg32,Bitmask,,,4128301.0,ns,359730
distr_high_reject_i128,Pcg32,Bitmask,,,4330531.0,ns,376860
distr_high_reject_i128,Pcg32,Bitmask,,,4530177.0,ns,393990
distr_high_reject_i128,Pcg32,Bitmask,,,4720285.0,ns,411120
distr_high_reject_i128,Pcg32,Bitmask,,,4908730.0,ns,428250
distr_high_reject_i128,Pcg32,Bitmask,,,5118864.0,ns,445380
distr_high_reject_i128,Pcg32,Bitmask,,,5320645.0,ns,462510
distr_high_reject_i128,Pcg32,Bitmask,,,5517645.0,ns,479640
distr_high_reject_i128,Pcg32,Bitmask,,,5711871.0,ns,496770
distr_high_reject_i128,Pcg32,Bitmask,,,5898632.0,ns,513900
distr_high_reject_i128,Pcg32,Bitmask,,,6094912.0,ns,531030
distr_high_reject_i128,Pcg32,Bitmask,,,6290469.0,ns,548160
distr_high_reject_i128,Pcg32,Bitmask,,,6463486.0,ns,565290
distr_high_reject_i128,Pcg32,Bitmask,,,6686335.0,ns,582420
distr_high_reject_i128,Pcg32,Bitmask,,,6862026.0,ns,599550
distr_high_reject_i128,Pcg32,Bitmask,,,7070478.0,ns,616680
distr_high_reject_i128,Pcg32,Bitmask,,,7266988.0,ns,633810
distr_high_reject_i128,Pcg32,Bitmask,,,7459340.0,ns,650940
distr_high_reject_i128,Pcg32,Bitmask,,,7651902.0,ns,668070
distr_high_reject_i128,Pcg32,Bitmask,,,7838213.0,ns,685200
distr_high_reject_i128,Pcg32,Bitmask,,,8044963.0,ns,702330
distr_high_reject_i128,Pcg32,Bitmask,,,8242764.0,ns,719460
distr_high_reject_i128,Pcg32,Bitmask,,,8434896.0,ns,736590
distr_high_reject_i128,Pcg32,Bitmask,,,8624092.0,ns,753720
distr_high_reject_i128,Pcg32,Bitmask,,,8824720.0,ns,770850
distr_high_reject_i128,Pcg32,Bitmask,,,9018274.0,ns,787980
distr_high_reject_i128,Pcg32,Bitmask,,,9210666.0,ns,805110
distr_high_reject_i128,Pcg32,Bitmask,,,9415381.0,ns,822240
distr_high_reject_i128,Pcg32,Bitmask,,,9605219.0,ns,839370
distr_high_reject_i128,Pcg32,Bitmask,,,9801127.0,ns,856500
distr_high_reject_i128,Pcg32,Bitmask,,,10006534.0,ns,873630
distr_high_reject_i128,Pcg32,Bitmask,,,10209857.0,ns,890760
distr_high_reject_i128,Pcg32,Bitmask,,,10407529.0,ns,907890
distr_high_reject_i128,Pcg32,Bitmask,,,10596905.0,ns,925020
distr_high_reject_i128,Pcg32,Bitmask,,,10776133.0,ns,942150
distr_high_reject_i128,Pcg32,Bitmask,,,10974947.0,ns,959280
distr_high_reject_i128,Pcg32,Bitmask,,,11171577.0,ns,976410
distr_high_reject_i128,Pcg32,Bitmask,,,11358659.0,ns,993540
distr_high_reject_i128,Pcg32,Bitmask,,,11566361.0,ns,1010670
distr_high_reject_i128,Pcg32,Bitmask,,,11740608.0,ns,1027800
distr_high_reject_i128,Pcg32,Bitmask,,,11955363.0,ns,1044930
distr_high_reject_i128,Pcg32,Bitmask,,,12147784.0,ns,1062060
distr_high_reject_i128,Pcg32,Bitmask,,,12354955.0,ns,1079190
distr_high_reject_i128,Pcg32,Bitmask,,,12534181.0,ns,1096320
distr_high_reject_i128,Pcg32,Bitmask,,,12726334.0,ns,1113450
distr_high_reject_i128,Pcg32,Bitmask,,,12936228.0,ns,1130580
distr_high_reject_i128,Pcg32,Bitmask,,,13124123.0,ns,1147710
distr_high_reject_i128,Pcg32,Bitmask,,,13313970.0,ns,1164840
distr_high_reject_i128,Pcg32,Bitmask,,,13545545.0,ns,1181970
distr_high_reject_i128,Pcg32,Bitmask,,,13725024.0,ns,1199100
distr_high_reject_i128,Pcg32,Bitmask,,,13909200.0,ns,1216230
distr_high_reject_i128,Pcg32,Bitmask,,,14094358.0,ns,1233360
distr_high_reject_i128,Pcg32,Bitmask,,,14310816.0,ns,1250490
distr_high_reject_i128,Pcg32,Bitmask,,,14493399.0,ns,1267620
distr_high_reject_i128,Pcg32,Bitmask,,,14682285.0,ns,1284750
distr_high_reject_i128,Pcg32,Bitmask,,,14890247.0,ns,1301880
distr_high_reject_i128,Pcg32,Bitmask,,,15091244.0,ns,1319010
distr_high_reject_i128,Pcg32,Bitmask,,,15287575.0,ns,1336140
distr_high_reject_i128,Pcg32,Bitmask,,,15505845.0,ns,1353270
distr_high_reject_i128,Pcg32,Bitmask,,,15675414.0,ns,1370400
distr_high_reject_i128,Pcg32,Bitmask,,,15862256.0,ns,1387530
distr_high_reject_i128,Pcg32,Bitmask,,,16059537.0,ns,1404660
distr_high_reject_i128,Pcg32,Bitmask,,,16246850.0,ns,1421790
distr_high_reject_i128,Pcg32,Bitmask,,,16458268.0,ns,1438920
distr_high_reject_i128,Pcg32,Bitmask,,,16660939.0,ns,1456050
distr_high_reject_i128,Pcg32,Bitmask,,,16870804.0,ns,1473180
distr_high_reject_i128,Pcg32,Bitmask,,,17131265.0,ns,1490310
distr_high_reject_i128,Pcg32,Bitmask,,,17331061.0,ns,1507440
distr_high_reject_i128,Pcg32,Bitmask,,,17519956.0,ns,1524570
distr_high_reject_i128,Pcg32,Bitmask,,,17661463.0,ns,1541700
distr_high_reject_i128,Pcg32,Bitmask,,,17820853.0,ns,1558830
distr_high_reject_i128,Pcg32,Bitmask,,,18028754.0,ns,1575960
distr_high_reject_i128,Pcg32,Bitmask,,,18227679.0,ns,1593090
distr_high_reject_i128,Pcg32,Bitmask,,,18437824.0,ns,1610220
distr_high_reject_i128,Pcg32,Bitmask,,,18624505.0,ns,1627350
distr_high_reject_i128,Pcg32,Bitmask,,,18795627.0,ns,1644480
distr_high_reject_i128,Pcg32,Bitmask,,,18994221.0,ns,1661610
distr_high_reject_i128,Pcg32,Bitmask,,,19184900.0,ns,1678740
distr_high_reject_i128,Pcg32,Bitmask,,,19387531.0,ns,1695870
distr_high_reject_i128,Pcg32,Bitmask,,,19581316.0,ns,1713000
