group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
distr_high_reject_i128,Pcg64,Bitmask,,,199465.0,ns,20346
distr_high_reject_i128,Pcg64,Bitmask,,,392940.0,ns,40692
distr_high_reject_i128,Pcg64,Bitmask,,,594920.0,ns,61038
distr_high_reject_i128,Pcg64,Bitmask,,,791139.0,ns,81384
distr_high_reject_i128,Pcg64,Bitmask,,,986437.0,ns,101730
distr_high_reject_i128,Pcg64,Bitmask,,,1185822.0,ns,122076
distr_high_reject_i128,Pcg64,Bitmask,,,1389385.0,ns,142422
distr_high_reject_i128,Pcg64,Bitmask,,,1574924.0,ns,162768
distr_high_reject_i128,Pcg64,Bitmask,,,1783697.0,ns,183114
distr_high_reject_i128,Pcg64,Bitmask,,,1989545.0,ns,203460
distr_high_reject_i128,Pcg64,Bitmask,,,2171928.0,ns,223806
distr_high_reject_i128,Pcg64,Bitmask,,,2372516.0,ns,244152
distr_high_reject_i128,Pcg64,Bitmask,,,2571009.0,ns,264498
distr_high_reject_i128,Pcg64,Bitmask,,,2775454.0,ns,284844
distr_high_reject_i128,Pcg64,Bitmask,,,2975551.0,ns,305190
distr_high_reject_i128,Pcg64,Bitmask,,,3168164.0,ns,325536
distr_high_reject_i128,Pcg64,Bitmask,,,3360145.0,ns,345882
distr_high_reject_i128,Pcg64,Bitmask,,,3569148.0,ns,366228
distr_high_reject_i128,Pcg64,Bitmask,,,3837543.0,ns,386574
distr_high_reject_i128,Pcg64,Bitmask,,,3945837.0,ns,406920
distr_high_reject_i128,Pcg64,Bitmask,,,4150021.0,ns,427266
distr_high_reject_i128,Pcg64,Bitmask,,,4339588.0,ns,447612
distr_high_reject_i128,Pcg64,Bitmask,,,4552138.0,ns,467958
distr_high_reject_i128,Pcg64,Bitmask,,,4737808.0,ns,488304
distr_high_reject_i128,Pcg64,Bitmask,,,4952932.0,ns,508650
distr_high_reject_i128,Pcg64,Bitmask,,,5127932.0,ns,528996
distr_high_reject_i128,Pcg64,Bitmask,,,5346222.0,ns,549342
distr_high_reject_i128,Pcg64,Bitmask,,,5522815.0,ns,569688
distr_high_reject_i128,Pcg64,Bitmask,,,5735485.0,ns,590034
distr_high_reject_i128,Pcg64,Bitmask,,,5921525.0,ns,610380
distr_high_reject_i128,Pcg64,Bitmask,,,6120951.0,ns,630726
distr_high_reject_i128,Pcg64,Bitmask,,,6315277.0,ns,651072
distr_high_reject_i128,Pcg64,Bitmask,,,6502639.0,ns,671418
distr_high_reject_i128,Pcg64,Bitmask,,,6717604.0,ns,691764
distr_high_reject_i128,Pcg64,Bitmask,,,6908463.0,ns,712110
distr_high_reject_i128,Pcg64,Bitmask,,,7078153.0,ns,732456
distr_high_reject_i128,Pcg64,Bitmask,,,7299800.0,ns,752802
distr_high_reject_i128,Pcg64,Bitmask,,,7478396.0,ns,773148
distr_high_reject_i128,Pcg64,Bitmask,,,7689393.0,ns,793494
distr_high_reject_i128,Pcg64,Bitmask,,,7890952.0,ns,813840
distr_high_reject_i128,Pcg64,Bitmask,,,8071412.0,ns,834186
distr_high_reject_i128,Pcg64,Bitmask,,,8285726.0,ns,854532
distr_high_reject_i128,Pcg64,Bitmask,,,8483698.0,ns,874878
distr_high_reject_i128,Pcg64,Bitmask,,,8666332.0,ns,895224
distr_high_reject_i128,Pcg64,Bitmask,,,8863313.0,ns,915570
distr_high_reject_i128,Pcg64,Bitmask,,,9089468.0,ns,935916
distr_high_reject_i128,Pcg64,Bitmask,,,9266121.0,ns,956262
distr_high_reject_i128,Pcg64,Bitmask,,,9459165.0,ns,976608
distr_high_reject_i128,Pcg64,Bitmask,,,9663028.0,ns,996954
distr_high_reject_i128,Pcg64,Bitmask,,,9842345.0,ns,1017300
distr_high_reject_i128,Pcg64,Bitmask,,,10037943.0,ns,1037646
distr_high_reject_i128,Pcg64,Bitmask,,,10229093.0,ns,1057992
distr_high_reject_i128,Pcg64,Bitmask,,,10434560.0,ns,1078338
distr_high_reject_i128,Pcg64,Bitmask,,,10629016.0,ns,1098684
