group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
distr_high_reject_i128,Pcg64,Canon-Lemire,,,199866.0,ns,23663
distr_high_reject_i128,Pcg64,Canon-Lemire,,,397407.0,ns,47326
distr_high_reject_i128,Pcg64,Canon-Lemire,,,594319.0,ns,70989
distr_high_reject_i128,Pcg64,Canon-Lemire,,,792793.0,ns,94652
distr_high_reject_i128,Pcg64,Canon-Lemire,,,983141.0,ns,118315
distr_high_reject_i128,Pcg64,Canon-Lemire,,,1179701.0,ns,141978
distr_high_reject_i128,Pcg64,Canon-Lemire,,,1380198.0,ns,165641
distr_high_reject_i128,Pcg64,Canon-Lemire,,,1584903.0,ns,189304
distr_high_reject_i128,Pcg64,Canon-Lemire,,,1775793.0,ns,212967
distr_high_reject_i128,Pcg64,Canon-Lemire,,,1988743.0,ns,236630
distr_high_reject_i128,Pcg64,Canon-Lemire,,,2177379.0,ns,260293
distr_high_reject_i128,Pcg64,Canon-Lemire,,,2368218.0,ns,283956
distr_high_reject_i128,Pcg64,Canon-Lemire,,,2567873.0,ns,307619
distr_high_reject_i128,Pcg64,Canon-Lemire,,,2767790.0,ns,331282
distr_high_reject_i128,Pcg64,Canon-Lemire,,,2948270.0,ns,354945
distr_high_reject_i128,Pcg64,Canon-Lemire,,,3149999.0,ns,378608
distr_high_reject_i128,Pcg64,Canon-Lemire,,,3342872.0,ns,402271
distr_high_reject_i128,Pcg64,Canon-Lemire,,,3548459.0,ns,425934
distr_high_reject_i128,Pcg64,Canon-Lemire,,,3751962.0,ns,449597
distr_high_reject_i128,Pcg64,Canon-Lemire,,,3945557.0,ns,473260
distr_high_reject_i128,Pcg64,Canon-Lemire,,,4129062.0,ns,496923
distr_high_reject_i128,Pcg64,Canon-Lemire,,,4341522.0,ns,520586
distr_high_reject_i128,Pcg64,Canon-Lemire,,,4528734.0,ns,544249
distr_high_reject_i128,Pcg64,Canon-Lemire,,,4726626.0,ns,567912
distr_high_reject_i128,Pcg64,Canon-Lemire,,,4925641.0,ns,591575
distr_high_reject_i128,Pcg64,Canon-Lemire,,,5131899.0,ns,615238
distr_high_reject_i128,Pcg64,Canon-Lemire,,,5320144.0,ns,638901
distr_high_reject_i128,Pcg64,Canon-Lemire,,,5519850.0,ns,662564
distr_high_reject_i128,Pcg64,Canon-Lemire,,,5717852.0,ns,686227
distr_high_reject_i128,Pcg64,Canon-Lemire,,,5914332.0,ns,709890
distr_high_reject_i128,Pcg64,Canon-Lemire,,,6120099.0,ns,733553
distr_high_reject_i128,Pcg64,Canon-Lemire,,,6308504.0,ns,757216
distr_high_reject_i128,Pcg64,Canon-Lemire,,,6506426.0,ns,780879
distr_high_reject_i128,Pcg64,Canon-Lemire,,,6692166.0,ns,804542
distr_high_reject_i128,Pcg64,Canon-Lemire,,,6877695.0,ns,828205
distr_high_reject_i128,Pcg64,Canon-Lemire,,,7085166.0,ns,851868
distr_high_reject_i128,Pcg64,Canon-Lemire,,,7287116.0,ns,875531
distr_high_reject_i128,Pcg64,Canon-Lemire,,,7477224.0,ns,899194
distr_high_reject_i128,Pcg64,Canon-Lemire,,,7690375.0,ns,922857
distr_high_reject_i128,Pcg64,Canon-Lemire,,,7860324.0,ns,946520
distr_high_reject_i128,Pcg64,Canon-Lemire,,,8066313.0,ns,970183
distr_high_reject_i128,Pcg64,Canon-Lemire,,,8237845.0,ns,993846
distr_high_reject_i128,Pcg64,Canon-Lemire,,,8449514.0,ns,1017509
distr_high_reject_i128,Pcg64,Canon-Lemire,,,8639651.0,ns,1041172
distr_high_reject_i128,Pcg64,Canon-Lemire,,,8863303.0,ns,1064835
distr_high_reject_i128,Pcg64,Canon-Lemire,,,9064321.0,ns,1088498
distr_high_reject_i128,Pcg64,Canon-Lemire,,,9242456.0,ns,1112161
distr_high_reject_i128,Pcg64,Canon-Lemire,,,9452051.0,ns,1135824
distr_high_reject_i128,Pcg64,Canon-Lemire,,,9626299.0,ns,1159487
distr_high_reject_i128,Pcg64,Canon-Lemire,,,9850050.0,ns,1183150
distr_high_reject_i128,Pcg64,Canon-Lemire,,,10020400.0,ns,1206813
distr_high_reject_i128,Pcg64,Canon-Lemire,,,10216580.0,ns,1230476
distr_high_reject_i128,Pcg64,Canon-Lemire,,,10416766.0,ns,1254139
distr_high_reject_i128,Pcg64,Canon-Lemire,,,10627753.0,ns,1277802
distr_high_reject_i128,Pcg64,Canon-Lemire,,,10815998.0,ns,1301465
distr_high_reject_i128,Pcg64,Canon-Lemire,,,11002108.0,ns,1325128
distr_high_reject_i128,Pcg64,Canon-Lemire,,,11215200.0,ns,1348791
distr_high_reject_i128,Pcg64,Canon-Lemire,,,12407143.0,ns,1372454
