group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
distr_high_reject_i128,Pcg64,Canon,,,198804.0,ns,23224
distr_high_reject_i128,Pcg64,Canon,,,394232.0,ns,46448
distr_high_reject_i128,Pcg64,Canon,,,587115.0,ns,69672
distr_high_reject_i128,Pcg64,Canon,,,788134.0,ns,92896
distr_high_reject_i128,Pcg64,Canon,,,986897.0,ns,116120
distr_high_reject_i128,Pcg64,Canon,,,1193987.0,ns,139344
distr_high_reject_i128,Pcg64,Canon,,,1381721.0,ns,162568
distr_high_reject_i128,Pcg64,Canon,,,1581436.0,ns,185792
distr_high_reject_i128,Pcg64,Canon,,,1779880.0,ns,209016
distr_high_reject_i128,Pcg64,Canon,,,1966661.0,ns,232240
distr_high_reject_i128,Pcg64,Canon,,,2181326.0,ns,255464
distr_high_reject_i128,Pcg64,Canon,,,2382024.0,ns,278688
distr_high_reject_i128,Pcg64,Canon,,,2570487.0,ns,301912
distr_high_reject_i128,Pcg64,Canon,,,2768200.0,ns,325136
distr_high_reject_i128,Pcg64,Canon,,,2956755.0,ns,348360
distr_high_reject_i128,Pcg64,Canon,,,3160819.0,ns,371584
distr_high_reject_i128,Pcg64,Canon,,,3338574.0,ns,394808
distr_high_reject_i128,Pcg64,Canon,,,3551946.0,ns,418032
distr_high_reject_i128,Pcg64,Canon,,,3735792.0,ns,441256
distr_high_reject_i128,Pcg64,Canon,,,3951959.0,ns,464480
distr_high_reject_i128,Pcg64,Canon,,,4136566.0,ns,487704
distr_high_reject_i128,Pcg64,Canon,,,4342053.0,ns,510928
distr_high_reject_i128,Pcg64,Canon,,,4550365.0,ns,534152
distr_high_reject_i128,Pcg64,Canon,,,4718420.0,ns,557376
distr_high_reject_i128,Pcg64,Canon,,,4924950.0,ns,580600
distr_high_reject_i128,Pcg64,Canon,,,5113584.0,ns,603824
distr_high_reject_i128,Pcg64,Canon,,,5321907.0,ns,627048
distr_high_reject_i128,Pcg64,Canon,,,5525570.0,ns,650272
distr_high_reject_i128,Pcg64,Canon,,,5721610.0,ns,673496
distr_high_reject_i128,Pcg64,Canon,,,5897661.0,ns,696720
distr_high_reject_i128,Pcg64,Canon,,,6114158.0,ns,719944
distr_high_reject_i128,Pcg64,Canon,,,6285431.0,ns,743168
distr_high_reject_i128,Pcg64,Canon,,,6504703.0,ns,766392
distr_high_reject_i128,Pcg64,Canon,,,6710911.0,ns,789616
distr_high_reject_i128,Pcg64,Canon,,,6888546.0,ns,812840
distr_high_reject_i128,Pcg64,Canon,,,7103560.0,ns,836064
distr_high_reject_i128,Pcg64,Canon,,,7299840.0,ns,859288
distr_high_reject_i128,Pcg64,Canon,,,7496460.0,ns,882512
