group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
distr_high_reject_i128,SmallRng,Canon-reduced,,,199295.0,ns,24487
distr_high_reject_i128,SmallRng,Canon-reduced,,,396015.0,ns,48974
distr_high_reject_i128,SmallRng,Canon-reduced,,,591133.0,ns,73461
distr_high_reject_i128,SmallRng,Canon-reduced,,,789587.0,ns,97948
distr_high_reject_i128,SmallRng,Canon-reduced,,,985104.0,ns,122435
distr_high_reject_i128,SmallRng,Canon-reduced,,,1186824.0,ns,146922
distr_high_reject_i128,SmallRng,Canon-reduced,,,1383595.0,ns,171409
distr_high_reject_i128,SmallRng,Canon-reduced,,,1581036.0,ns,195896
distr_high_reject_i128,SmallRng,Canon-reduced,,,1773409.0,ns,220383
distr_high_reject_i128,SmallRng,Canon-reduced,,,1972613.0,ns,244870
distr_high_reject_i128,SmallRng,Canon-reduced,,,2169554.0,ns,269357
distr_high_reject_i128,SmallRng,Canon-reduced,,,2367055.0,ns,293844
distr_high_reject_i128,SmallRng,Canon-reduced,,,2560950.0,ns,318331
distr_high_reject_i128,SmallRng,Canon-reduced,,,2759734.0,ns,342818
distr_high_reject_i128,SmallRng,Canon-reduced,,,2955242.0,ns,367305
distr_high_reject_i128,SmallRng,Canon-reduced,,,3154548.0,ns,391792
distr_high_reject_i128,SmallRng,Canon-reduced,,,3352410.0,ns,416279
distr_high_reject_i128,SmallRng,Canon-reduced,,,3553238.0,ns,440766
distr_high_reject_i128,SmallRng,Canon-reduced,,,3755118.0,ns,465253
distr_high_reject_i128,SmallRng,Canon-reduced,,,3947440.0,ns,489740
distr_high_reject_i128,SmallRng,Canon-reduced,,,4135885.0,ns,514227
distr_high_reject_i128,SmallRng,Canon-reduced,,,4329490.0,ns,538714
distr_high_reject_i128,SmallRng,Canon-reduced,,,4542099.0,ns,563201
distr_high_reject_i128,SmallRng,Canon-reduced,,,4732147.0,ns,587688
distr_high_reject_i128,SmallRng,Canon-reduced,,,4938957.0,ns,612175
distr_high_reject_i128,SmallRng,Canon-reduced,,,5122662.0,ns,636662
distr_high_reject_i128,SmallRng,Canon-reduced,,,5328439.0,ns,661149
distr_high_reject_i128,SmallRng,Canon-reduced,,,5526251.0,ns,685636
distr_high_reject_i128,SmallRng,Canon-reduced,,,5717602.0,ns,710123
distr_high_reject_i128,SmallRng,Canon-reduced,,,5921305.0,ns,734610
distr_high_reject_i128,SmallRng,Canon-reduced,,,6120200.0,ns,759097
distr_high_reject_i128,SmallRng,Canon-reduced,,,6305468.0,ns,783584
distr_high_reject_i128,SmallRng,Canon-reduced,,,6507228.0,ns,808071
distr_high_reject_i128,SmallRng,Canon-reduced,,,6703126.0,ns,832558
distr_high_reject_i128,SmallRng,Canon-reduced,,,6899336.0,ns,857045
distr_high_reject_i128,SmallRng,Canon-reduced,,,7091327.0,ns,881532
distr_high_reject_i128,SmallRng,Canon-reduced,,,7292936.0,ns,906019
distr_high_reject_i128,SmallRng,Canon-reduced,,,7476041.0,ns,930506
distr_high_reject_i128,SmallRng,Canon-reduced,,,7687048.0,ns,954993
distr_high_reject_i128,SmallRng,Canon-reduced,,,7883639.0,ns,979480
distr_high_reject_i128,SmallRng,Canon-reduced,,,8071583.0,ns,1003967
distr_high_reject_i128,SmallRng,Canon-reduced,,,8271769.0,ns,1028454
distr_high_reject_i128,SmallRng,Canon-reduced,,,8466656.0,ns,1052941
distr_high_reject_i128,SmallRng,Canon-reduced,,,8659258.0,ns,1077428
distr_high_reject_i128,SmallRng,Canon-reduced,,,8852011.0,ns,1101915
distr_high_reject_i128,SmallRng,Canon-reduced,,,9059131.0,ns,1126402
distr_high_reject_i128,SmallRng,Canon-reduced,,,9241243.0,ns,1150889
distr_high_reject_i128,SmallRng,Canon-reduced,,,9439728.0,ns,1175376
distr_high_reject_i128,SmallRng,Canon-reduced,,,9639854.0,ns,1199863
distr_high_reject_i128,SmallRng,Canon-reduced,,,9838047.0,ns,1224350
distr_high_reject_i128,SmallRng,Canon-reduced,,,10013357.0,ns,1248837
distr_high_reject_i128,SmallRng,Canon-reduced,,,10241396.0,ns,1273324
