group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
distr_high_reject_i16,ChaCha8Rng,Bitmask,,,197050.0,ns,114969
distr_high_reject_i16,ChaCha8Rng,Bitmask,,,394593.0,ns,229938
distr_high_reject_i16,ChaCha8Rng,Bitmask,,,590061.0,ns,344907
distr_high_reject_i16,ChaCha8Rng,Bitmask,,,788584.0,ns,459876
distr_high_reject_i16,ChaCha8Rng,Bitmask,,,985174.0,ns,574845
distr_high_reject_i16,ChaCha8Rng,Bitmask,,,1181234.0,ns,689814
distr_high_reject_i16,ChaCha8Rng,Bitmask,,,1380689.0,ns,804783
distr_high_reject_i16,ChaCha8Rng,Bitmask,,,1574764.0,ns,919752
distr_high_reject_i16,ChaCha8Rng,Bitmask,,,1781824.0,ns,1034721
distr_high_reject_i16,ChaCha8Rng,Bitmask,,,1990436.0,ns,1149690
distr_high_reject_i16,ChaCha8Rng,Bitmask,,,2182257.0,ns,1264659
distr_high_reject_i16,ChaCha8Rng,Bitmask,,,2364190.0,ns,1379628
distr_high_reject_i16,ChaCha8Rng,Bitmask,,,2562113.0,ns,1494597
distr_high_reject_i16,ChaCha8Rng,Bitmask,,,2757420.0,ns,1609566
distr_high_reject_i16,ChaCha8Rng,Bitmask,,,3067784.0,ns,1724535
distr_high_reject_i16,ChaCha8Rng,Bitmask,,,3149348.0,ns,1839504
distr_high_reject_i16,ChaCha8Rng,Bitmask,,,3378670.0,ns,1954473
distr_high_reject_i16,ChaCha8Rng,Bitmask,,,3578325.0,ns,2069442
distr_high_reject_i16,ChaCha8Rng,Bitmask,,,3737975.0,ns,2184411
distr_high_reject_i16,ChaCha8Rng,Bitmask,,,3935287.0,ns,2299380
distr_high_reject_i16,ChaCha8Rng,Bitmask,,,4129853.0,ns,2414349
distr_high_reject_i16,ChaCha8Rng,Bitmask,,,4326193.0,ns,2529318
distr_high_reject_i16,ChaCha8Rng,Bitmask,,,4537230.0,ns,2644287
distr_high_reject_i16,ChaCha8Rng,Bitmask,,,4728129.0,ns,2759256
distr_high_reject_i16,ChaCha8Rng,Bitmask,,,4957942.0,ns,2874225
distr_high_reject_i16,ChaCha8Rng,Bitmask,,,5114276.0,ns,2989194
distr_high_reject_i16,ChaCha8Rng,Bitmask,,,5336274.0,ns,3104163
distr_high_reject_i16,ChaCha8Rng,Bitmask,,,5561638.0,ns,3219132
distr_high_reject_i16,ChaCha8Rng,Bitmask,,,5759780.0,ns,3334101
distr_high_reject_i16,ChaCha8Rng,Bitmask,,,5958605.0,ns,3449070
distr_high_reject_i16,ChaCha8Rng,Bitmask,,,6183018.0,ns,3564039
distr_high_reject_i16,ChaCha8Rng,Bitmask,,,6357396.0,ns,3679008
distr_high_reject_i16,ChaCha8Rng,Bitmask,,,6661418.0,ns,3793977
distr_high_reject_i16,ChaCha8Rng,Bitmask,,,6874680.0,ns,3908946
distr_high_reject_i16,ChaCha8Rng,Bitmask,,,7069957.0,ns,4023915
distr_high_reject_i16,ChaCha8Rng,Bitmask,,,7283209.0,ns,4138884
distr_high_reject_i16,ChaCha8Rng,Bitmask,,,7488876.0,ns,4253853
distr_high_reject_i16,ChaCha8Rng,Bitmask,,,7649338.0,ns,4368822
distr_high_reject_i16,ChaCha8Rng,Bitmask,,,7929174.0,ns,4483791
distr_high_reject_i16,ChaCha8Rng,Bitmask,,,8050433.0,ns,4598760
distr_high_reject_i16,ChaCha8Rng,Bitmask,,,8149308.0,ns,4713729
distr_high_reject_i16,ChaCha8Rng,Bitmask,,,8279424.0,ns,4828698
distr_high_reject_i16,ChaCha8Rng,Bitmask,,,8468539.0,ns,4943667
distr_high_reject_i16,ChaCha8Rng,Bitmask,,,8671512.0,ns,5058636
distr_high_reject_i16,ChaCha8Rng,Bitmask,,,8854657.0,ns,5173605
distr_high_reject_i16,ChaCha8Rng,Bitmask,,,9049162.0,ns,5288574
distr_high_reject_i16,ChaCha8Rng,Bitmask,,,9252706.0,ns,5403543
distr_high_reject_i16,ChaCha8Rng,Bitmask,,,9447432.0,ns,5518512
distr_high_reject_i16,ChaCha8Rng,Bitmask,,,9623854.0,ns,5633481
distr_high_reject_i16,ChaCha8Rng,Bitmask,,,9810275.0,ns,5748450
distr_high_reject_i16,ChaCha8Rng,Bitmask,,,9996095.0,ns,5863419
distr_high_reject_i16,ChaCha8Rng,Bitmask,,,10198175.0,ns,5978388
distr_high_reject_i16,ChaCha8Rng,Bitmask,,,10387722.0,ns,6093357
distr_high_reject_i16,ChaCha8Rng,Bitmask,,,10739865.0,ns,6208326
distr_high_reject_i16,ChaCha8Rng,Bitmask,,,10852016.0,ns,6323295
distr_high_reject_i16,ChaCha8Rng,Bitmask,,,10984335.0,ns,6438264
distr_high_reject_i16,ChaCha8Rng,Bitmask,,,11169133.0,ns,6553233
distr_high_reject_i16,ChaCha8Rng,Bitmask,,,11468977.0,ns,6668202
distr_high_reject_i16,ChaCha8Rng,Bitmask,,,11637565.0,ns,6783171
distr_high_reject_i16,ChaCha8Rng,Bitmask,,,11768020.0,ns,6898140
distr_high_reject_i16,ChaCha8Rng,Bitmask,,,11962316.0,ns,7013109
distr_high_reject_i16,ChaCha8Rng,Bitmask,,,12147233.0,ns,7128078
distr_high_reject_i16,ChaCha8Rng,Bitmask,,,12371406.0,ns,7243047
distr_high_reject_i16,ChaCha8Rng,Bitmask,,,12541647.0,ns,7358016
distr_high_reject_i16,ChaCha8Rng,Bitmask,,,12731303.0,ns,7472985
distr_high_reject_i16,ChaCha8Rng,Bitmask,,,12924967.0,ns,7587954
distr_high_reject_i16,ChaCha8Rng,Bitmask,,,13186520.0,ns,7702923
distr_high_reject_i16,ChaCha8Rng,Bitmask,,,13350018.0,ns,7817892
distr_high_reject_i16,ChaCha8Rng,Bitmask,,,13528354.0,ns,7932861
distr_high_reject_i16,ChaCha8Rng,Bitmask,,,13729512.0,ns,8047830
distr_high_reject_i16,ChaCha8Rng,Bitmask,,,13897979.0,ns,8162799
distr_high_reject_i16,ChaCha8Rng,Bitmask,,,14093727.0,ns,8277768
distr_high_reject_i16,ChaCha8Rng,Bitmask,,,14656476.0,ns,8392737
distr_high_reject_i16,ChaCha8Rng,Bitmask,,,14911176.0,ns,8507706
distr_high_reject_i16,ChaCha8Rng,Bitmask,,,15116883.0,ns,8622675
distr_high_reject_i16,ChaCha8Rng,Bitmask,,,15329804.0,ns,8737644
distr_high_reject_i16,ChaCha8Rng,Bitmask,,,15506576.0,ns,8852613
distr_high_reject_i16,ChaCha8Rng,Bitmask,,,15689391.0,ns,8967582
distr_high_reject_i16,ChaCha8Rng,Bitmask,,,15939381.0,ns,9082551
