group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
distr_high_reject_i16,ChaCha8Rng,Canon-Lemire,,,196990.0,ns,62992
distr_high_reject_i16,ChaCha8Rng,Canon-Lemire,,,389764.0,ns,125984
distr_high_reject_i16,ChaCha8Rng,Canon-Lemire,,,580423.0,ns,188976
distr_high_reject_i16,ChaCha8Rng,Canon-Lemire,,,785940.0,ns,251968
distr_high_reject_i16,ChaCha8Rng,Canon-Lemire,,,999832.0,ns,314960
distr_high_reject_i16,ChaCha8Rng,Canon-Lemire,,,1183788.0,ns,377952
distr_high_reject_i16,ChaCha8Rng,Canon-Lemire,,,1375499.0,ns,440944
distr_high_reject_i16,ChaCha8Rng,Canon-Lemire,,,1577800.0,ns,503936
distr_high_reject_i16,ChaCha8Rng,Canon-Lemire,,,1795078.0,ns,566928
distr_high_reject_i16,ChaCha8Rng,Canon-Lemire,,,1964488.0,ns,629920
distr_high_reject_i16,ChaCha8Rng,Canon-Lemire,,,2168552.0,ns,692912
distr_high_reject_i16,ChaCha8Rng,Canon-Lemire,,,2351005.0,ns,755904
distr_high_reject_i16,ChaCha8Rng,Canon-Lemire,,,2554708.0,ns,818896
distr_high_reject_i16,ChaCha8Rng,Canon-Lemire,,,2790472.0,ns,881888
distr_high_reject_i16,ChaCha8Rng,Canon-Lemire,,,2953329.0,ns,944880
distr_high_reject_i16,ChaCha8Rng,Canon-Lemire,,,3135892.0,ns,1007872
distr_high_reject_i16,ChaCha8Rng,Canon-Lemire,,,3341299.0,ns,1070864
distr_high_reject_i16,ChaCha8Rng,Canon-Lemire,,,3554440.0,ns,1133856
distr_high_reject_i16,ChaCha8Rng,Canon-Lemire,,,3758504.0,ns,1196848
distr_high_reject_i16,ChaCha8Rng,Canon-Lemire,,,3932963.0,ns,1259840
distr_high_reject_i16,ChaCha8Rng,Canon-Lemire,,,4115837.0,ns,1322832
distr_high_reject_i16,ChaCha8Rng,Canon-Lemire,,,4317236.0,ns,1385824
distr_high_reject_i16,ChaCha8Rng,Canon-Lemire,,,4520488.0,ns,1448816
distr_high_reject_i16,ChaCha8Rng,Canon-Lemire,,,4690549.0,ns,1511808
distr_high_reject_i16,ChaCha8Rng,Canon-Lemire,,,4894011.0,ns,1574800
