group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
distr_high_reject_i16,ChaCha8Rng,Canon-Unbiased,,,197742.0,ns,58139
distr_high_reject_i16,ChaCha8Rng,Canon-Unbiased,,,393601.0,ns,116278
distr_high_reject_i16,ChaCha8Rng,Canon-Unbiased,,,589970.0,ns,174417
distr_high_reject_i16,ChaCha8Rng,Canon-Unbiased,,,791670.0,ns,232556
distr_high_reject_i16,ChaCha8Rng,Canon-Unbiased,,,990083.0,ns,290695
distr_high_reject_i16,ChaCha8Rng,Canon-Unbiased,,,1183688.0,ns,348834
distr_high_reject_i16,ChaCha8Rng,Canon-Unbiased,,,1386420.0,ns,406973
distr_high_reject_i16,ChaCha8Rng,Canon-Unbiased,,,1607555.0,ns,465112
distr_high_reject_i16,ChaCha8Rng,Canon-Unbiased,,,1782234.0,ns,523251
distr_high_reject_i16,ChaCha8Rng,Canon-Unbiased,,,1998672.0,ns,581390
distr_high_reject_i16,ChaCha8Rng,Canon-Unbiased,,,2161077.0,ns,639529
distr_high_reject_i16,ChaCha8Rng,Canon-Unbiased,,,2368358.0,ns,697668
distr_high_reject_i16,ChaCha8Rng,Canon-Unbiased,,,2573654.0,ns,755807
distr_high_reject_i16,ChaCha8Rng,Canon-Unbiased,,,2775144.0,ns,813946
distr_high_reject_i16,ChaCha8Rng,Canon-Unbiased,,,2967045.0,ns,872085
distr_high_reject_i16,ChaCha8Rng,Canon-Unbiased,,,3157644.0,ns,930224
distr_high_reject_i16,ChaCha8Rng,Canon-Unbiased,,,3372488.0,ns,988363
distr_high_reject_i16,ChaCha8Rng,Canon-Unbiased,,,3553969.0,ns,1046502
distr_high_reject_i16,ChaCha8Rng,Canon-Unbiased,,,3746041.0,ns,1104641
distr_high_reject_i16,ChaCha8Rng,Canon-Unbiased,,,3948332.0,ns,1162780
distr_high_reject_i16,ChaCha8Rng,Canon-Unbiased,,,4147176.0,ns,1220919
distr_high_reject_i16,ChaCha8Rng,Canon-Unbiased,,,4369214.0,ns,1279058
distr_high_reject_i16,ChaCha8Rng,Canon-Unbiased,,,4536449.0,ns,1337197
distr_high_reject_i16,ChaCha8Rng,Canon-Unbiased,,,4741364.0,ns,1395336
distr_high_reject_i16,ChaCha8Rng,Canon-Unbiased,,,4933116.0,ns,1453475
distr_high_reject_i16,ChaCha8Rng,Canon-Unbiased,,,5142690.0,ns,1511614
