group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
distr_high_reject_i16,Pcg32,Old,,,197291.0,ns,156674
distr_high_reject_i16,Pcg32,Old,,,394502.0,ns,313348
distr_high_reject_i16,Pcg32,Old,,,593056.0,ns,470022
distr_high_reject_i16,Pcg32,Old,,,789015.0,ns,626696
distr_high_reject_i16,Pcg32,Old,,,987429.0,ns,783370
distr_high_reject_i16,Pcg32,Old,,,1181523.0,ns,940044
distr_high_reject_i16,Pcg32,Old,,,1374768.0,ns,1096718
distr_high_reject_i16,Pcg32,Old,,,1579313.0,ns,1253392
distr_high_reject_i16,Pcg32,Old,,,1781063.0,ns,1410066
distr_high_reject_i16,Pcg32,Old,,,1983303.0,ns,1566740
distr_high_reject_i16,Pcg32,Old,,,2174163.0,ns,1723414
distr_high_reject_i16,Pcg32,Old,,,2364521.0,ns,1880088
distr_high_reject_i16,Pcg32,Old,,,2567503.0,ns,2036762
distr_high_reject_i16,Pcg32,Old,,,2765486.0,ns,2193436
distr_high_reject_i16,Pcg32,Old,,,2962406.0,ns,2350110
distr_high_reject_i16,Pcg32,Old,,,3156521.0,ns,2506784
distr_high_reject_i16,Pcg32,Old,,,3355375.0,ns,2663458
distr_high_reject_i16,Pcg32,Old,,,3552526.0,ns,2820132
distr_high_reject_i16,Pcg32,Old,,,3744117.0,ns,2976806
distr_high_reject_i16,Pcg32,Old,,,3948992.0,ns,3133480
distr_high_reject_i16,Pcg32,Old,,,4141275.0,ns,3290154
distr_high_reject_i16,Pcg32,Old,,,4338637.0,ns,3446828
distr_high_reject_i16,Pcg32,Old,,,4536910.0,ns,3603502
distr_high_reject_i16,Pcg32,Old,,,4744420.0,ns,3760176
distr_high_reject_i16,Pcg32,Old,,,4931171.0,ns,3916850
distr_high_reject_i16,Pcg32,Old,,,5132520.0,ns,4073524
distr_high_reject_i16,Pcg32,Old,,,5325644.0,ns,4230198
distr_high_reject_i16,Pcg32,Old,,,5524618.0,ns,4386872
distr_high_reject_i16,Pcg32,Old,,,5708835.0,ns,4543546
distr_high_reject_i16,Pcg32,Old,,,5899745.0,ns,4700220
distr_high_reject_i16,Pcg32,Old,,,6104069.0,ns,4856894
distr_high_reject_i16,Pcg32,Old,,,6302854.0,ns,5013568
distr_high_reject_i16,Pcg32,Old,,,6499293.0,ns,5170242
distr_high_reject_i16,Pcg32,Old,,,6678550.0,ns,5326916
distr_high_reject_i16,Pcg32,Old,,,6880781.0,ns,5483590
distr_high_reject_i16,Pcg32,Old,,,7087400.0,ns,5640264
distr_high_reject_i16,Pcg32,Old,,,7267479.0,ns,5796938
distr_high_reject_i16,Pcg32,Old,,,7484507.0,ns,5953612
distr_high_reject_i16,Pcg32,Old,,,7664917.0,ns,6110286
distr_high_reject_i16,Pcg32,Old,,,7877857.0,ns,6266960
distr_high_reject_i16,Pcg32,Old,,,8059530.0,ns,6423634
distr_high_reject_i16,Pcg32,Old,,,8254186.0,ns,6580308
distr_high_reject_i16,Pcg32,Old,,,8454603.0,ns,6736982
distr_high_reject_i16,Pcg32,Old,,,8652636.0,ns,6893656
distr_high_reject_i16,Pcg32,Old,,,8838817.0,ns,7050330
distr_high_reject_i16,Pcg32,Old,,,9041338.0,ns,7207004
distr_high_reject_i16,Pcg32,Old,,,9240573.0,ns,7363678
