group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
distr_high_reject_i32,ChaCha8Rng,Canon-reduced,,,195908.0,ns,127877
distr_high_reject_i32,ChaCha8Rng,Canon-reduced,,,395515.0,ns,255754
distr_high_reject_i32,ChaCha8Rng,Canon-reduced,,,597565.0,ns,383631
distr_high_reject_i32,ChaCha8Rng,Canon-reduced,,,779186.0,ns,511508
distr_high_reject_i32,ChaCha8Rng,Canon-reduced,,,997377.0,ns,639385
distr_high_reject_i32,ChaCha8Rng,Canon-reduced,,,1193907.0,ns,767262
distr_high_reject_i32,ChaCha8Rng,Canon-reduced,,,1379957.0,ns,895139
distr_high_reject_i32,ChaCha8Rng,Canon-reduced,,,1590003.0,ns,1023016
distr_high_reject_i32,ChaCha8Rng,Canon-reduced,,,1789929.0,ns,1150893
distr_high_reject_i32,ChaCha8Rng,Canon-reduced,,,1981941.0,ns,1278770
distr_high_reject_i32,ChaCha8Rng,Canon-reduced,,,2165105.0,ns,1406647
distr_high_reject_i32,ChaCha8Rng,Canon-reduced,,,2377165.0,ns,1534524
distr_high_reject_i32,ChaCha8Rng,Canon-reduced,,,2581299.0,ns,1662401
distr_high_reject_i32,ChaCha8Rng,Canon-reduced,,,2760095.0,ns,1790278
distr_high_reject_i32,ChaCha8Rng,Canon-reduced,,,2973046.0,ns,1918155
distr_high_reject_i32,ChaCha8Rng,Canon-reduced,,,3179806.0,ns,2046032
distr_high_reject_i32,ChaCha8Rng,Canon-reduced,,,3357230.0,ns,2173909
distr_high_reject_i32,ChaCha8Rng,Canon-reduced,,,3564299.0,ns,2301786
distr_high_reject_i32,ChaCha8Rng,Canon-reduced,,,3752803.0,ns,2429663
distr_high_reject_i32,ChaCha8Rng,Canon-reduced,,,3934335.0,ns,2557540
distr_high_reject_i32,ChaCha8Rng,Canon-reduced,,,4148428.0,ns,2685417
distr_high_reject_i32,ChaCha8Rng,Canon-reduced,,,4355067.0,ns,2813294
distr_high_reject_i32,ChaCha8Rng,Canon-reduced,,,4541298.0,ns,2941171
distr_high_reject_i32,ChaCha8Rng,Canon-reduced,,,4748798.0,ns,3069048
distr_high_reject_i32,ChaCha8Rng,Canon-reduced,,,4928716.0,ns,3196925
distr_high_reject_i32,ChaCha8Rng,Canon-reduced,,,5147679.0,ns,3324802
distr_high_reject_i32,ChaCha8Rng,Canon-reduced,,,5324882.0,ns,3452679
distr_high_reject_i32,ChaCha8Rng,Canon-reduced,,,5551569.0,ns,3580556
distr_high_reject_i32,ChaCha8Rng,Canon-reduced,,,5719756.0,ns,3708433
distr_high_reject_i32,ChaCha8Rng,Canon-reduced,,,5919101.0,ns,3836310
distr_high_reject_i32,ChaCha8Rng,Canon-reduced,,,6170975.0,ns,3964187
distr_high_reject_i32,ChaCha8Rng,Canon-reduced,,,6289268.0,ns,4092064
distr_high_reject_i32,ChaCha8Rng,Canon-reduced,,,6500025.0,ns,4219941
distr_high_reject_i32,ChaCha8Rng,Canon-reduced,,,6714298.0,ns,4347818
distr_high_reject_i32,ChaCha8Rng,Canon-reduced,,,6897773.0,ns,4475695
distr_high_reject_i32,ChaCha8Rng,Canon-reduced,,,7109903.0,ns,4603572
distr_high_reject_i32,ChaCha8Rng,Canon-reduced,,,7300290.0,ns,4731449
distr_high_reject_i32,ChaCha8Rng,Canon-reduced,,,7517319.0,ns,4859326
distr_high_reject_i32,ChaCha8Rng,Canon-reduced,,,7709952.0,ns,4987203
distr_high_reject_i32,ChaCha8Rng,Canon-reduced,,,7923102.0,ns,5115080
distr_high_reject_i32,ChaCha8Rng,Canon-reduced,,,8103983.0,ns,5242957
distr_high_reject_i32,ChaCha8Rng,Canon-reduced,,,8307637.0,ns,5370834
distr_high_reject_i32,ChaCha8Rng,Canon-reduced,,,8492494.0,ns,5498711
distr_high_reject_i32,ChaCha8Rng,Canon-reduced,,,8698472.0,ns,5626588
distr_high_reject_i32,ChaCha8Rng,Canon-reduced,,,8866438.0,ns,5754465
distr_high_reject_i32,ChaCha8Rng,Canon-reduced,,,9037661.0,ns,5882342
distr_high_reject_i32,ChaCha8Rng,Canon-reduced,,,9252305.0,ns,6010219
distr_high_reject_i32,ChaCha8Rng,Canon-reduced,,,9484381.0,ns,6138096
distr_high_reject_i32,ChaCha8Rng,Canon-reduced,,,9652117.0,ns,6265973
distr_high_reject_i32,ChaCha8Rng,Canon-reduced,,,9852134.0,ns,6393850
distr_high_reject_i32,ChaCha8Rng,Canon-reduced,,,10043845.0,ns,6521727
distr_high_reject_i32,ChaCha8Rng,Canon-reduced,,,10243430.0,ns,6649604
distr_high_reject_i32,ChaCha8Rng,Canon-reduced,,,10448786.0,ns,6777481
distr_high_reject_i32,ChaCha8Rng,Canon-reduced,,,10629367.0,ns,6905358
distr_high_reject_i32,ChaCha8Rng,Canon-reduced,,,10828281.0,ns,7033235
distr_high_reject_i32,ChaCha8Rng,Canon-reduced,,,11015624.0,ns,7161112
distr_high_reject_i32,ChaCha8Rng,Canon-reduced,,,11224767.0,ns,7288989
distr_high_reject_i32,ChaCha8Rng,Canon-reduced,,,11413582.0,ns,7416866
distr_high_reject_i32,ChaCha8Rng,Canon-reduced,,,11590156.0,ns,7544743
distr_high_reject_i32,ChaCha8Rng,Canon-reduced,,,11803978.0,ns,7672620
distr_high_reject_i32,ChaCha8Rng,Canon-reduced,,,12003854.0,ns,7800497
distr_high_reject_i32,ChaCha8Rng,Canon-reduced,,,12228606.0,ns,7928374
distr_high_reject_i32,ChaCha8Rng,Canon-reduced,,,12420248.0,ns,8056251
distr_high_reject_i32,ChaCha8Rng,Canon-reduced,,,12566402.0,ns,8184128
distr_high_reject_i32,ChaCha8Rng,Canon-reduced,,,12735250.0,ns,8312005
distr_high_reject_i32,ChaCha8Rng,Canon-reduced,,,12943282.0,ns,8439882
distr_high_reject_i32,ChaCha8Rng,Canon-reduced,,,12996081.0,ns,8567759
distr_high_reject_i32,ChaCha8Rng,Canon-reduced,,,13263064.0,ns,8695636
distr_high_reject_i32,ChaCha8Rng,Canon-reduced,,,13537491.0,ns,8823513
distr_high_reject_i32,ChaCha8Rng,Canon-reduced,,,13769057.0,ns,8951390
distr_high_reject_i32,ChaCha8Rng,Canon-reduced,,,13934457.0,ns,9079267
distr_high_reject_i32,ChaCha8Rng,Canon-reduced,,,14153500.0,ns,9207144
distr_high_reject_i32,ChaCha8Rng,Canon-reduced,,,14343478.0,ns,9335021
distr_high_reject_i32,ChaCha8Rng,Canon-reduced,,,14566276.0,ns,9462898
distr_high_reject_i32,ChaCha8Rng,Canon-reduced,,,14735656.0,ns,9590775
distr_high_reject_i32,ChaCha8Rng,Canon-reduced,,,14949649.0,ns,9718652
distr_high_reject_i32,ChaCha8Rng,Canon-reduced,,,14950841.0,ns,9846529
distr_high_reject_i32,ChaCha8Rng,Canon-reduced,,,15099611.0,ns,9974406
distr_high_reject_i32,ChaCha8Rng,Canon-reduced,,,15233032.0,ns,10102283
distr_high_reject_i32,ChaCha8Rng,Canon-reduced,,,15634698.0,ns,10230160
distr_high_reject_i32,ChaCha8Rng,Canon-reduced,,,15918933.0,ns,10358037
distr_high_reject_i32,ChaCha8Rng,Canon-reduced,,,16090456.0,ns,10485914
distr_high_reject_i32,ChaCha8Rng,Canon-reduced,,,16264202.0,ns,10613791
distr_high_reject_i32,ChaCha8Rng,Canon-reduced,,,16427520.0,ns,10741668
distr_high_reject_i32,ChaCha8Rng,Canon-reduced,,,16691026.0,ns,10869545
distr_high_reject_i32,ChaCha8Rng,Canon-reduced,,,16932971.0,ns,10997422
distr_high_reject_i32,ChaCha8Rng,Canon-reduced,,,17092632.0,ns,11125299
distr_high_reject_i32,ChaCha8Rng,Canon-reduced,,,17284523.0,ns,11253176
distr_high_reject_i32,ChaCha8Rng,Canon-reduced,,,17538902.0,ns,11381053
distr_high_reject_i32,ChaCha8Rng,Canon-reduced,,,17712048.0,ns,11508930
distr_high_reject_i32,ChaCha8Rng,Canon-reduced,,,17881437.0,ns,11636807
distr_high_reject_i32,ChaCha8Rng,Canon-reduced,,,18096622.0,ns,11764684
distr_high_reject_i32,ChaCha8Rng,Canon-reduced,,,18257244.0,ns,11892561
distr_high_reject_i32,ChaCha8Rng,Canon-reduced,,,18462299.0,ns,12020438
distr_high_reject_i32,ChaCha8Rng,Canon-reduced,,,18692714.0,ns,12148315
distr_high_reject_i32,ChaCha8Rng,Canon-reduced,,,18882460.0,ns,12276192
