group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
distr_high_reject_i32,Pcg32,Canon64,,,196530.0,ns,936405
distr_high_reject_i32,Pcg32,Canon64,,,395805.0,ns,1872810
distr_high_reject_i32,Pcg32,Canon64,,,589469.0,ns,2809215
distr_high_reject_i32,Pcg32,Canon64,,,787572.0,ns,3745620
distr_high_reject_i32,Pcg32,Canon64,,,984122.0,ns,4682025
distr_high_reject_i32,Pcg32,Canon64,,,1179500.0,ns,5618430
distr_high_reject_i32,Pcg32,Canon64,,,1370500.0,ns,6554835
distr_high_reject_i32,Pcg32,Canon64,,,1570476.0,ns,7491240
distr_high_reject_i32,Pcg32,Canon64,,,1772176.0,ns,8427645
distr_high_reject_i32,Pcg32,Canon64,,,1994495.0,ns,9364050
distr_high_reject_i32,Pcg32,Canon64,,,2165486.0,ns,10300455
distr_high_reject_i32,Pcg32,Canon64,,,2360684.0,ns,11236860
distr_high_reject_i32,Pcg32,Canon64,,,2574315.0,ns,12173265
distr_high_reject_i32,Pcg32,Canon64,,,2796435.0,ns,13109670
distr_high_reject_i32,Pcg32,Canon64,,,2969088.0,ns,14046075
distr_high_reject_i32,Pcg32,Canon64,,,3178624.0,ns,14982480
distr_high_reject_i32,Pcg32,Canon64,,,3371476.0,ns,15918885
distr_high_reject_i32,Pcg32,Canon64,,,3550003.0,ns,16855290
distr_high_reject_i32,Pcg32,Canon64,,,3731254.0,ns,17791695
distr_high_reject_i32,Pcg32,Canon64,,,3914990.0,ns,18728100
distr_high_reject_i32,Pcg32,Canon64,,,4132790.0,ns,19664505
distr_high_reject_i32,Pcg32,Canon64,,,4324841.0,ns,20600910
distr_high_reject_i32,Pcg32,Canon64,,,4554243.0,ns,21537315
distr_high_reject_i32,Pcg32,Canon64,,,4732278.0,ns,22473720
distr_high_reject_i32,Pcg32,Canon64,,,4946111.0,ns,23410125
distr_high_reject_i32,Pcg32,Canon64,,,5153952.0,ns,24346530
distr_high_reject_i32,Pcg32,Canon64,,,5329352.0,ns,25282935
distr_high_reject_i32,Pcg32,Canon64,,,5533426.0,ns,26219340
distr_high_reject_i32,Pcg32,Canon64,,,5730648.0,ns,27155745
distr_high_reject_i32,Pcg32,Canon64,,,5881451.0,ns,28092150
distr_high_reject_i32,Pcg32,Canon64,,,6107908.0,ns,29028555
distr_high_reject_i32,Pcg32,Canon64,,,6352147.0,ns,29964960
distr_high_reject_i32,Pcg32,Canon64,,,6474458.0,ns,30901365
distr_high_reject_i32,Pcg32,Canon64,,,6729147.0,ns,31837770
distr_high_reject_i32,Pcg32,Canon64,,,6909627.0,ns,32774175
distr_high_reject_i32,Pcg32,Canon64,,,7130413.0,ns,33710580
distr_high_reject_i32,Pcg32,Canon64,,,7300883.0,ns,34646985
distr_high_reject_i32,Pcg32,Canon64,,,7533181.0,ns,35583390
distr_high_reject_i32,Pcg32,Canon64,,,7675258.0,ns,36519795
distr_high_reject_i32,Pcg32,Canon64,,,7908548.0,ns,37456200
