group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
distr_high_reject_i32,Pcg32,Old,,,197292.0,ns,32605
distr_high_reject_i32,Pcg32,Old,,,394913.0,ns,65210
distr_high_reject_i32,Pcg32,Old,,,589089.0,ns,97815
distr_high_reject_i32,Pcg32,Old,,,789206.0,ns,130420
distr_high_reject_i32,Pcg32,Old,,,981287.0,ns,163025
distr_high_reject_i32,Pcg32,Old,,,1174751.0,ns,195630
distr_high_reject_i32,Pcg32,Old,,,1379496.0,ns,228235
distr_high_reject_i32,Pcg32,Old,,,1572389.0,ns,260840
distr_high_reject_i32,Pcg32,Old,,,1770863.0,ns,293445
distr_high_reject_i32,Pcg32,Old,,,1984015.0,ns,326050
distr_high_reject_i32,Pcg32,Old,,,2172469.0,ns,358655
distr_high_reject_i32,Pcg32,Old,,,2364461.0,ns,391260
distr_high_reject_i32,Pcg32,Old,,,2564898.0,ns,423865
distr_high_reject_i32,Pcg32,Old,,,2760276.0,ns,456470
distr_high_reject_i32,Pcg32,Old,,,2951615.0,ns,489075
distr_high_reject_i32,Pcg32,Old,,,3153224.0,ns,521680
distr_high_reject_i32,Pcg32,Old,,,3355847.0,ns,554285
distr_high_reject_i32,Pcg32,Old,,,3555622.0,ns,586890
distr_high_reject_i32,Pcg32,Old,,,3739860.0,ns,619495
distr_high_reject_i32,Pcg32,Old,,,3929496.0,ns,652100
distr_high_reject_i32,Pcg32,Old,,,4129903.0,ns,684705
distr_high_reject_i32,Pcg32,Old,,,4325020.0,ns,717310
distr_high_reject_i32,Pcg32,Old,,,4526580.0,ns,749915
distr_high_reject_i32,Pcg32,Old,,,4727679.0,ns,782520
distr_high_reject_i32,Pcg32,Old,,,4919761.0,ns,815125
distr_high_reject_i32,Pcg32,Old,,,5113335.0,ns,847730
distr_high_reject_i32,Pcg32,Old,,,5320915.0,ns,880335
distr_high_reject_i32,Pcg32,Old,,,5513557.0,ns,912940
distr_high_reject_i32,Pcg32,Old,,,5697624.0,ns,945545
distr_high_reject_i32,Pcg32,Old,,,5909262.0,ns,978150
distr_high_reject_i32,Pcg32,Old,,,6107064.0,ns,1010755
distr_high_reject_i32,Pcg32,Old,,,6298776.0,ns,1043360
distr_high_reject_i32,Pcg32,Old,,,6490556.0,ns,1075965
distr_high_reject_i32,Pcg32,Old,,,6694110.0,ns,1108570
distr_high_reject_i32,Pcg32,Old,,,6882915.0,ns,1141175
distr_high_reject_i32,Pcg32,Old,,,7079114.0,ns,1173780
distr_high_reject_i32,Pcg32,Old,,,7280954.0,ns,1206385
distr_high_reject_i32,Pcg32,Old,,,7480349.0,ns,1238990
distr_high_reject_i32,Pcg32,Old,,,7674646.0,ns,1271595
distr_high_reject_i32,Pcg32,Old,,,7871286.0,ns,1304200
distr_high_reject_i32,Pcg32,Old,,,8038530.0,ns,1336805
distr_high_reject_i32,Pcg32,Old,,,8246021.0,ns,1369410
distr_high_reject_i32,Pcg32,Old,,,8422322.0,ns,1402015
distr_high_reject_i32,Pcg32,Old,,,8617860.0,ns,1434620
distr_high_reject_i32,Pcg32,Old,,,8811505.0,ns,1467225
distr_high_reject_i32,Pcg32,Old,,,9010460.0,ns,1499830
distr_high_reject_i32,Pcg32,Old,,,9208592.0,ns,1532435
distr_high_reject_i32,Pcg32,Old,,,9412556.0,ns,1565040
distr_high_reject_i32,Pcg32,Old,,,9573770.0,ns,1597645
distr_high_reject_i32,Pcg32,Old,,,9780369.0,ns,1630250
distr_high_reject_i32,Pcg32,Old,,,9969444.0,ns,1662855
distr_high_reject_i32,Pcg32,Old,,,10177196.0,ns,1695460
distr_high_reject_i32,Pcg32,Old,,,10375850.0,ns,1728065
distr_high_reject_i32,Pcg32,Old,,,10596515.0,ns,1760670
distr_high_reject_i32,Pcg32,Old,,,10753731.0,ns,1793275
distr_high_reject_i32,Pcg32,Old,,,10956963.0,ns,1825880
distr_high_reject_i32,Pcg32,Old,,,11134037.0,ns,1858485
distr_high_reject_i32,Pcg32,Old,,,11342078.0,ns,1891090
distr_high_reject_i32,Pcg32,Old,,,11535563.0,ns,1923695
distr_high_reject_i32,Pcg32,Old,,,11755206.0,ns,1956300
distr_high_reject_i32,Pcg32,Old,,,11933731.0,ns,1988905
distr_high_reject_i32,Pcg32,Old,,,12126264.0,ns,2021510
distr_high_reject_i32,Pcg32,Old,,,12340357.0,ns,2054115
distr_high_reject_i32,Pcg32,Old,,,12503715.0,ns,2086720
distr_high_reject_i32,Pcg32,Old,,,12719882.0,ns,2119325
distr_high_reject_i32,Pcg32,Old,,,12913746.0,ns,2151930
distr_high_reject_i32,Pcg32,Old,,,13120917.0,ns,2184535
distr_high_reject_i32,Pcg32,Old,,,13304803.0,ns,2217140
distr_high_reject_i32,Pcg32,Old,,,13492105.0,ns,2249745
distr_high_reject_i32,Pcg32,Old,,,13689366.0,ns,2282350
distr_high_reject_i32,Pcg32,Old,,,13905773.0,ns,2314955
distr_high_reject_i32,Pcg32,Old,,,14099478.0,ns,2347560
distr_high_reject_i32,Pcg32,Old,,,14281862.0,ns,2380165
distr_high_reject_i32,Pcg32,Old,,,14485365.0,ns,2412770
distr_high_reject_i32,Pcg32,Old,,,14667377.0,ns,2445375
distr_high_reject_i32,Pcg32,Old,,,14874577.0,ns,2477980
distr_high_reject_i32,Pcg32,Old,,,15081036.0,ns,2510585
distr_high_reject_i32,Pcg32,Old,,,15241698.0,ns,2543190
distr_high_reject_i32,Pcg32,Old,,,15453897.0,ns,2575795
distr_high_reject_i32,Pcg32,Old,,,15654555.0,ns,2608400
distr_high_reject_i32,Pcg32,Old,,,16782308.0,ns,2641005
distr_high_reject_i32,Pcg32,Old,,,16293548.0,ns,2673610
distr_high_reject_i32,Pcg32,Old,,,16284281.0,ns,2706215
distr_high_reject_i32,Pcg32,Old,,,16469639.0,ns,2738820
distr_high_reject_i32,Pcg32,Old,,,16668263.0,ns,2771425
distr_high_reject_i32,Pcg32,Old,,,16849845.0,ns,2804030
distr_high_reject_i32,Pcg32,Old,,,17044281.0,ns,2836635
distr_high_reject_i32,Pcg32,Old,,,17201106.0,ns,2869240
distr_high_reject_i32,Pcg32,Old,,,17428544.0,ns,2901845
distr_high_reject_i32,Pcg32,Old,,,17618021.0,ns,2934450
distr_high_reject_i32,Pcg32,Old,,,17809721.0,ns,2967055
distr_high_reject_i32,Pcg32,Old,,,18003185.0,ns,2999660
distr_high_reject_i32,Pcg32,Old,,,18189957.0,ns,3032265
distr_high_reject_i32,Pcg32,Old,,,18405383.0,ns,3064870
distr_high_reject_i32,Pcg32,Old,,,18582596.0,ns,3097475
distr_high_reject_i32,Pcg32,Old,,,18770750.0,ns,3130080
distr_high_reject_i32,Pcg32,Old,,,18967981.0,ns,3162685
distr_high_reject_i32,Pcg32,Old,,,19199808.0,ns,3195290
distr_high_reject_i32,Pcg32,Old,,,19371702.0,ns,3227895
distr_high_reject_i32,Pcg32,Old,,,19548183.0,ns,3260500
