group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
distr_high_reject_i32,Pcg64,Canon-Unbiased,,,198734.0,ns,136483
distr_high_reject_i32,Pcg64,Canon-Unbiased,,,394723.0,ns,272966
distr_high_reject_i32,Pcg64,Canon-Unbiased,,,593347.0,ns,409449
distr_high_reject_i32,Pcg64,Canon-Unbiased,,,789436.0,ns,545932
distr_high_reject_i32,Pcg64,Canon-Unbiased,,,987889.0,ns,682415
distr_high_reject_i32,Pcg64,Canon-Unbiased,,,1186323.0,ns,818898
distr_high_reject_i32,Pcg64,Canon-Unbiased,,,1382652.0,ns,955381
distr_high_reject_i32,Pcg64,Canon-Unbiased,,,1581045.0,ns,1091864
distr_high_reject_i32,Pcg64,Canon-Unbiased,,,1777295.0,ns,1228347
distr_high_reject_i32,Pcg64,Canon-Unbiased,,,1983944.0,ns,1364830
distr_high_reject_i32,Pcg64,Canon-Unbiased,,,2173991.0,ns,1501313
distr_high_reject_i32,Pcg64,Canon-Unbiased,,,2371975.0,ns,1637796
distr_high_reject_i32,Pcg64,Canon-Unbiased,,,2567834.0,ns,1774279
distr_high_reject_i32,Pcg64,Canon-Unbiased,,,2768401.0,ns,1910762
distr_high_reject_i32,Pcg64,Canon-Unbiased,,,2964350.0,ns,2047245
distr_high_reject_i32,Pcg64,Canon-Unbiased,,,3160619.0,ns,2183728
distr_high_reject_i32,Pcg64,Canon-Unbiased,,,3359523.0,ns,2320211
distr_high_reject_i32,Pcg64,Canon-Unbiased,,,3557696.0,ns,2456694
distr_high_reject_i32,Pcg64,Canon-Unbiased,,,3754667.0,ns,2593177
distr_high_reject_i32,Pcg64,Canon-Unbiased,,,3951849.0,ns,2729660
distr_high_reject_i32,Pcg64,Canon-Unbiased,,,4149110.0,ns,2866143
distr_high_reject_i32,Pcg64,Canon-Unbiased,,,4345700.0,ns,3002626
distr_high_reject_i32,Pcg64,Canon-Unbiased,,,4549403.0,ns,3139109
distr_high_reject_i32,Pcg64,Canon-Unbiased,,,4742457.0,ns,3275592
distr_high_reject_i32,Pcg64,Canon-Unbiased,,,4939126.0,ns,3412075
distr_high_reject_i32,Pcg64,Canon-Unbiased,,,5137690.0,ns,3548558
distr_high_reject_i32,Pcg64,Canon-Unbiased,,,5343618.0,ns,3685041
distr_high_reject_i32,Pcg64,Canon-Unbiased,,,5532484.0,ns,3821524
distr_high_reject_i32,Pcg64,Canon-Unbiased,,,5728182.0,ns,3958007
distr_high_reject_i32,Pcg64,Canon-Unbiased,,,5926756.0,ns,4094490
distr_high_reject_i32,Pcg64,Canon-Unbiased,,,6124608.0,ns,4230973
distr_high_reject_i32,Pcg64,Canon-Unbiased,,,6322781.0,ns,4367456
