group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
distr_high_reject_i32,SmallRng,Canon,,,195739.0,ns,210631
distr_high_reject_i32,SmallRng,Canon,,,391457.0,ns,421262
distr_high_reject_i32,SmallRng,Canon,,,590872.0,ns,631893
distr_high_reject_i32,SmallRng,Canon,,,807720.0,ns,842524
distr_high_reject_i32,SmallRng,Canon,,,984804.0,ns,1053155
distr_high_reject_i32,SmallRng,Canon,,,1179571.0,ns,1263786
distr_high_reject_i32,SmallRng,Canon,,,1371041.0,ns,1474417
distr_high_reject_i32,SmallRng,Canon,,,1596104.0,ns,1685048
distr_high_reject_i32,SmallRng,Canon,,,1792334.0,ns,1895679
distr_high_reject_i32,SmallRng,Canon,,,1989185.0,ns,2106310
distr_high_reject_i32,SmallRng,Canon,,,2192657.0,ns,2316941
distr_high_reject_i32,SmallRng,Canon,,,2381592.0,ns,2527572
distr_high_reject_i32,SmallRng,Canon,,,2562153.0,ns,2738203
distr_high_reject_i32,SmallRng,Canon,,,2796403.0,ns,2948834
distr_high_reject_i32,SmallRng,Canon,,,2950854.0,ns,3159465
distr_high_reject_i32,SmallRng,Canon,,,3148306.0,ns,3370096
distr_high_reject_i32,SmallRng,Canon,,,3348142.0,ns,3580727
distr_high_reject_i32,SmallRng,Canon,,,3573606.0,ns,3791358
distr_high_reject_i32,SmallRng,Canon,,,3728678.0,ns,4001989
distr_high_reject_i32,SmallRng,Canon,,,3950286.0,ns,4212620
distr_high_reject_i32,SmallRng,Canon,,,4139281.0,ns,4423251
distr_high_reject_i32,SmallRng,Canon,,,4332485.0,ns,4633882
distr_high_reject_i32,SmallRng,Canon,,,4545626.0,ns,4844513
distr_high_reject_i32,SmallRng,Canon,,,4724363.0,ns,5055144
distr_high_reject_i32,SmallRng,Canon,,,4916042.0,ns,5265775
distr_high_reject_i32,SmallRng,Canon,,,5134133.0,ns,5476406
distr_high_reject_i32,SmallRng,Canon,,,5328389.0,ns,5687037
distr_high_reject_i32,SmallRng,Canon,,,5544045.0,ns,5897668
distr_high_reject_i32,SmallRng,Canon,,,5724414.0,ns,6108299
distr_high_reject_i32,SmallRng,Canon,,,5917037.0,ns,6318930
distr_high_reject_i32,SmallRng,Canon,,,6172929.0,ns,6529561
distr_high_reject_i32,SmallRng,Canon,,,6314776.0,ns,6740192
distr_high_reject_i32,SmallRng,Canon,,,6495606.0,ns,6950823
distr_high_reject_i32,SmallRng,Canon,,,6750737.0,ns,7161454
