group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
distr_high_reject_i32,SmallRng,Old,,,198053.0,ns,33776
distr_high_reject_i32,SmallRng,Old,,,397678.0,ns,67552
distr_high_reject_i32,SmallRng,Old,,,593877.0,ns,101328
distr_high_reject_i32,SmallRng,Old,,,787873.0,ns,135104
distr_high_reject_i32,SmallRng,Old,,,986066.0,ns,168880
distr_high_reject_i32,SmallRng,Old,,,1185311.0,ns,202656
distr_high_reject_i32,SmallRng,Old,,,1380067.0,ns,236432
distr_high_reject_i32,SmallRng,Old,,,1613407.0,ns,270208
distr_high_reject_i32,SmallRng,Old,,,1776283.0,ns,303984
distr_high_reject_i32,SmallRng,Old,,,1978113.0,ns,337760
distr_high_reject_i32,SmallRng,Old,,,2172438.0,ns,371536
distr_high_reject_i32,SmallRng,Old,,,2365603.0,ns,405312
distr_high_reject_i32,SmallRng,Old,,,2565459.0,ns,439088
distr_high_reject_i32,SmallRng,Old,,,2763451.0,ns,472864
distr_high_reject_i32,SmallRng,Old,,,2961965.0,ns,506640
distr_high_reject_i32,SmallRng,Old,,,3152644.0,ns,540416
distr_high_reject_i32,SmallRng,Old,,,3362449.0,ns,574192
distr_high_reject_i32,SmallRng,Old,,,3548108.0,ns,607968
distr_high_reject_i32,SmallRng,Old,,,3751461.0,ns,641744
distr_high_reject_i32,SmallRng,Old,,,3951187.0,ns,675520
distr_high_reject_i32,SmallRng,Old,,,4187261.0,ns,709296
distr_high_reject_i32,SmallRng,Old,,,4347543.0,ns,743072
distr_high_reject_i32,SmallRng,Old,,,4545275.0,ns,776848
distr_high_reject_i32,SmallRng,Old,,,4740233.0,ns,810624
distr_high_reject_i32,SmallRng,Old,,,4926362.0,ns,844400
distr_high_reject_i32,SmallRng,Old,,,5138392.0,ns,878176
distr_high_reject_i32,SmallRng,Old,,,5336665.0,ns,911952
distr_high_reject_i32,SmallRng,Old,,,5535800.0,ns,945728
distr_high_reject_i32,SmallRng,Old,,,5757998.0,ns,979504
distr_high_reject_i32,SmallRng,Old,,,5931203.0,ns,1013280
distr_high_reject_i32,SmallRng,Old,,,6120029.0,ns,1047056
distr_high_reject_i32,SmallRng,Old,,,6315637.0,ns,1080832
distr_high_reject_i32,SmallRng,Old,,,6520533.0,ns,1114608
distr_high_reject_i32,SmallRng,Old,,,6715119.0,ns,1148384
distr_high_reject_i32,SmallRng,Old,,,6913824.0,ns,1182160
distr_high_reject_i32,SmallRng,Old,,,7144778.0,ns,1215936
distr_high_reject_i32,SmallRng,Old,,,7308767.0,ns,1249712
distr_high_reject_i32,SmallRng,Old,,,7502782.0,ns,1283488
distr_high_reject_i32,SmallRng,Old,,,7699573.0,ns,1317264
distr_high_reject_i32,SmallRng,Old,,,7909888.0,ns,1351040
distr_high_reject_i32,SmallRng,Old,,,8151873.0,ns,1384816
distr_high_reject_i32,SmallRng,Old,,,8302518.0,ns,1418592
distr_high_reject_i32,SmallRng,Old,,,8512062.0,ns,1452368
distr_high_reject_i32,SmallRng,Old,,,8696368.0,ns,1486144
distr_high_reject_i32,SmallRng,Old,,,8908608.0,ns,1519920
distr_high_reject_i32,SmallRng,Old,,,9120075.0,ns,1553696
distr_high_reject_i32,SmallRng,Old,,,9280368.0,ns,1587472
distr_high_reject_i32,SmallRng,Old,,,9478210.0,ns,1621248
distr_high_reject_i32,SmallRng,Old,,,9661586.0,ns,1655024
distr_high_reject_i32,SmallRng,Old,,,9922226.0,ns,1688800
distr_high_reject_i32,SmallRng,Old,,,10064544.0,ns,1722576
distr_high_reject_i32,SmallRng,Old,,,10272535.0,ns,1756352
