group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
distr_high_reject_i64,Bitmask,SmallRng,,,982850.0,ns,197710
distr_high_reject_i64,Bitmask,SmallRng,,,1969197.0,ns,395420
distr_high_reject_i64,Bitmask,SmallRng,,,2955424.0,ns,593130
distr_high_reject_i64,Bitmask,SmallRng,,,3954786.0,ns,790840
distr_high_reject_i64,Bitmask,SmallRng,,,4946152.0,ns,988550
distr_high_reject_i64,Bitmask,SmallRng,,,5989928.0,ns,1186260
distr_high_reject_i64,Bitmask,SmallRng,,,6908967.0,ns,1383970
distr_high_reject_i64,Bitmask,SmallRng,,,7927655.0,ns,1581680
distr_high_reject_i64,Bitmask,SmallRng,,,8867625.0,ns,1779390
distr_high_reject_i64,Bitmask,SmallRng,,,9857519.0,ns,1977100
distr_high_reject_i64,Bitmask,SmallRng,,,10881166.0,ns,2174810
distr_high_reject_i64,Bitmask,SmallRng,,,11870328.0,ns,2372520
distr_high_reject_i64,Bitmask,SmallRng,,,12830215.0,ns,2570230
distr_high_reject_i64,Bitmask,SmallRng,,,13882115.0,ns,2767940
distr_high_reject_i64,Bitmask,SmallRng,,,14784884.0,ns,2965650
distr_high_reject_i64,Bitmask,SmallRng,,,15778977.0,ns,3163360
distr_high_reject_i64,Bitmask,SmallRng,,,16821499.0,ns,3361070
distr_high_reject_i64,Bitmask,SmallRng,,,17738426.0,ns,3558780
distr_high_reject_i64,Bitmask,SmallRng,,,18823298.0,ns,3756490
distr_high_reject_i64,Bitmask,SmallRng,,,19748841.0,ns,3954200
distr_high_reject_i64,Bitmask,SmallRng,,,20746209.0,ns,4151910
distr_high_reject_i64,Bitmask,SmallRng,,,21738627.0,ns,4349620
distr_high_reject_i64,Bitmask,SmallRng,,,22738369.0,ns,4547330
distr_high_reject_i64,Bitmask,SmallRng,,,23659764.0,ns,4745040
distr_high_reject_i64,Bitmask,SmallRng,,,24724929.0,ns,4942750
distr_high_reject_i64,Bitmask,SmallRng,,,25689424.0,ns,5140460
distr_high_reject_i64,Bitmask,SmallRng,,,26635416.0,ns,5338170
distr_high_reject_i64,Bitmask,SmallRng,,,27723063.0,ns,5535880
distr_high_reject_i64,Bitmask,SmallRng,,,28660948.0,ns,5733590
distr_high_reject_i64,Bitmask,SmallRng,,,29663506.0,ns,5931300
distr_high_reject_i64,Bitmask,SmallRng,,,30621740.0,ns,6129010
distr_high_reject_i64,Bitmask,SmallRng,,,31627785.0,ns,6326720
distr_high_reject_i64,Bitmask,SmallRng,,,32558307.0,ns,6524430
distr_high_reject_i64,Bitmask,SmallRng,,,33527842.0,ns,6722140
distr_high_reject_i64,Bitmask,SmallRng,,,34557260.0,ns,6919850
distr_high_reject_i64,Bitmask,SmallRng,,,35553725.0,ns,7117560
distr_high_reject_i64,Bitmask,SmallRng,,,36503113.0,ns,7315270
distr_high_reject_i64,Bitmask,SmallRng,,,37511121.0,ns,7512980
distr_high_reject_i64,Bitmask,SmallRng,,,38521984.0,ns,7710690
distr_high_reject_i64,Bitmask,SmallRng,,,39516436.0,ns,7908400
distr_high_reject_i64,Bitmask,SmallRng,,,40473298.0,ns,8106110
distr_high_reject_i64,Bitmask,SmallRng,,,41475925.0,ns,8303820
distr_high_reject_i64,Bitmask,SmallRng,,,42527475.0,ns,8501530
distr_high_reject_i64,Bitmask,SmallRng,,,43583604.0,ns,8699240
distr_high_reject_i64,Bitmask,SmallRng,,,44432732.0,ns,8896950
distr_high_reject_i64,Bitmask,SmallRng,,,45432404.0,ns,9094660
distr_high_reject_i64,Bitmask,SmallRng,,,46342468.0,ns,9292370
distr_high_reject_i64,Bitmask,SmallRng,,,47348271.0,ns,9490080
distr_high_reject_i64,Bitmask,SmallRng,,,48358282.0,ns,9687790
distr_high_reject_i64,Bitmask,SmallRng,,,49352484.0,ns,9885500
distr_high_reject_i64,Bitmask,SmallRng,,,50369700.0,ns,10083210
distr_high_reject_i64,Bitmask,SmallRng,,,51365564.0,ns,10280920
distr_high_reject_i64,Bitmask,SmallRng,,,52261040.0,ns,10478630
distr_high_reject_i64,Bitmask,SmallRng,,,53383864.0,ns,10676340
distr_high_reject_i64,Bitmask,SmallRng,,,54308184.0,ns,10874050
distr_high_reject_i64,Bitmask,SmallRng,,,55283009.0,ns,11071760
distr_high_reject_i64,Bitmask,SmallRng,,,56238309.0,ns,11269470
distr_high_reject_i64,Bitmask,SmallRng,,,57272265.0,ns,11467180
distr_high_reject_i64,Bitmask,SmallRng,,,58253462.0,ns,11664890
distr_high_reject_i64,Bitmask,SmallRng,,,59204863.0,ns,11862600
