group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
distr_high_reject_i64,Canon,SmallRng,,,989162.0,ns,302413
distr_high_reject_i64,Canon,SmallRng,,,1976521.0,ns,604826
distr_high_reject_i64,Canon,SmallRng,,,2966685.0,ns,907239
distr_high_reject_i64,Canon,SmallRng,,,3963532.0,ns,1209652
distr_high_reject_i64,Canon,SmallRng,,,4956972.0,ns,1512065
distr_high_reject_i64,Canon,SmallRng,,,5938721.0,ns,1814478
distr_high_reject_i64,Canon,SmallRng,,,6935678.0,ns,2116891
distr_high_reject_i64,Canon,SmallRng,,,7917095.0,ns,2419304
distr_high_reject_i64,Canon,SmallRng,,,8904895.0,ns,2721717
distr_high_reject_i64,Canon,SmallRng,,,9905319.0,ns,3024130
distr_high_reject_i64,Canon,SmallRng,,,10880905.0,ns,3326543
distr_high_reject_i64,Canon,SmallRng,,,11876971.0,ns,3628956
distr_high_reject_i64,Canon,SmallRng,,,12870581.0,ns,3931369
distr_high_reject_i64,Canon,SmallRng,,,13877717.0,ns,4233782
distr_high_reject_i64,Canon,SmallRng,,,14851711.0,ns,4536195
distr_high_reject_i64,Canon,SmallRng,,,15838038.0,ns,4838608
distr_high_reject_i64,Canon,SmallRng,,,16800049.0,ns,5141021
distr_high_reject_i64,Canon,SmallRng,,,17784062.0,ns,5443434
distr_high_reject_i64,Canon,SmallRng,,,18764537.0,ns,5745847
distr_high_reject_i64,Canon,SmallRng,,,19753850.0,ns,6048260
distr_high_reject_i64,Canon,SmallRng,,,20737182.0,ns,6350673
distr_high_reject_i64,Canon,SmallRng,,,21735671.0,ns,6653086
distr_high_reject_i64,Canon,SmallRng,,,22709615.0,ns,6955499
distr_high_reject_i64,Canon,SmallRng,,,23728293.0,ns,7257912
distr_high_reject_i64,Canon,SmallRng,,,24728205.0,ns,7560325
distr_high_reject_i64,Canon,SmallRng,,,25715875.0,ns,7862738
distr_high_reject_i64,Canon,SmallRng,,,26719314.0,ns,8165151
distr_high_reject_i64,Canon,SmallRng,,,27703055.0,ns,8467564
distr_high_reject_i64,Canon,SmallRng,,,28747412.0,ns,8769977
distr_high_reject_i64,Canon,SmallRng,,,29758916.0,ns,9072390
distr_high_reject_i64,Canon,SmallRng,,,30904162.0,ns,9374803
distr_high_reject_i64,Canon,SmallRng,,,31784058.0,ns,9677216
distr_high_reject_i64,Canon,SmallRng,,,32792006.0,ns,9979629
distr_high_reject_i64,Canon,SmallRng,,,33692201.0,ns,10282042
distr_high_reject_i64,Canon,SmallRng,,,34693075.0,ns,10584455
distr_high_reject_i64,Canon,SmallRng,,,35644317.0,ns,10886868
distr_high_reject_i64,Canon,SmallRng,,,36620264.0,ns,11189281
distr_high_reject_i64,Canon,SmallRng,,,37637970.0,ns,11491694
distr_high_reject_i64,Canon,SmallRng,,,38621773.0,ns,11794107
distr_high_reject_i64,Canon,SmallRng,,,39607908.0,ns,12096520
distr_high_reject_i64,Canon,SmallRng,,,40592001.0,ns,12398933
distr_high_reject_i64,Canon,SmallRng,,,41600210.0,ns,12701346
distr_high_reject_i64,Canon,SmallRng,,,42618115.0,ns,13003759
distr_high_reject_i64,Canon,SmallRng,,,43581730.0,ns,13306172
distr_high_reject_i64,Canon,SmallRng,,,44528392.0,ns,13608585
distr_high_reject_i64,Canon,SmallRng,,,45509329.0,ns,13910998
distr_high_reject_i64,Canon,SmallRng,,,46454187.0,ns,14213411
distr_high_reject_i64,Canon,SmallRng,,,47526387.0,ns,14515824
distr_high_reject_i64,Canon,SmallRng,,,48489249.0,ns,14818237
distr_high_reject_i64,Canon,SmallRng,,,49510983.0,ns,15120650
distr_high_reject_i64,Canon,SmallRng,,,50524821.0,ns,15423063
distr_high_reject_i64,Canon,SmallRng,,,51505578.0,ns,15725476
distr_high_reject_i64,Canon,SmallRng,,,52527161.0,ns,16027889
distr_high_reject_i64,Canon,SmallRng,,,53531672.0,ns,16330302
distr_high_reject_i64,Canon,SmallRng,,,54489125.0,ns,16632715
distr_high_reject_i64,Canon,SmallRng,,,55450816.0,ns,16935128
distr_high_reject_i64,Canon,SmallRng,,,56434568.0,ns,17237541
distr_high_reject_i64,Canon,SmallRng,,,57487740.0,ns,17539954
distr_high_reject_i64,Canon,SmallRng,,,58466222.0,ns,17842367
distr_high_reject_i64,Canon,SmallRng,,,59402646.0,ns,18144780
distr_high_reject_i64,Canon,SmallRng,,,60322918.0,ns,18447193
distr_high_reject_i64,Canon,SmallRng,,,61334463.0,ns,18749606
distr_high_reject_i64,Canon,SmallRng,,,62426789.0,ns,19052019
distr_high_reject_i64,Canon,SmallRng,,,63325301.0,ns,19354432
distr_high_reject_i64,Canon,SmallRng,,,64238199.0,ns,19656845
distr_high_reject_i64,Canon,SmallRng,,,65264221.0,ns,19959258
distr_high_reject_i64,Canon,SmallRng,,,66272409.0,ns,20261671
distr_high_reject_i64,Canon,SmallRng,,,67274696.0,ns,20564084
distr_high_reject_i64,Canon,SmallRng,,,68295968.0,ns,20866497
distr_high_reject_i64,Canon,SmallRng,,,69288347.0,ns,21168910
distr_high_reject_i64,Canon,SmallRng,,,70305421.0,ns,21471323
distr_high_reject_i64,Canon,SmallRng,,,71262013.0,ns,21773736
distr_high_reject_i64,Canon,SmallRng,,,72136990.0,ns,22076149
distr_high_reject_i64,Canon,SmallRng,,,73141842.0,ns,22378562
distr_high_reject_i64,Canon,SmallRng,,,74072564.0,ns,22680975
distr_high_reject_i64,Canon,SmallRng,,,75077756.0,ns,22983388
distr_high_reject_i64,Canon,SmallRng,,,76262738.0,ns,23285801
distr_high_reject_i64,Canon,SmallRng,,,77164676.0,ns,23588214
distr_high_reject_i64,Canon,SmallRng,,,78025425.0,ns,23890627
distr_high_reject_i64,Canon,SmallRng,,,79027532.0,ns,24193040
distr_high_reject_i64,Canon,SmallRng,,,79951122.0,ns,24495453
distr_high_reject_i64,Canon,SmallRng,,,80995277.0,ns,24797866
distr_high_reject_i64,Canon,SmallRng,,,82510890.0,ns,25100279
distr_high_reject_i64,Canon,SmallRng,,,83207753.0,ns,25402692
distr_high_reject_i64,Canon,SmallRng,,,84139256.0,ns,25705105
distr_high_reject_i64,Canon,SmallRng,,,85133448.0,ns,26007518
distr_high_reject_i64,Canon,SmallRng,,,86088306.0,ns,26309931
