group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
distr_high_reject_i64,ChaCha8Rng,Canon-Lemire,,,197021.0,ns,35944
distr_high_reject_i64,ChaCha8Rng,Canon-Lemire,,,393811.0,ns,71888
distr_high_reject_i64,ChaCha8Rng,Canon-Lemire,,,590742.0,ns,107832
distr_high_reject_i64,ChaCha8Rng,Canon-Lemire,,,784676.0,ns,143776
distr_high_reject_i64,ChaCha8Rng,Canon-Lemire,,,989843.0,ns,179720
distr_high_reject_i64,ChaCha8Rng,Canon-Lemire,,,1184379.0,ns,215664
distr_high_reject_i64,ChaCha8Rng,Canon-Lemire,,,1385217.0,ns,251608
distr_high_reject_i64,ChaCha8Rng,Canon-Lemire,,,1578131.0,ns,287552
distr_high_reject_i64,ChaCha8Rng,Canon-Lemire,,,1770121.0,ns,323496
distr_high_reject_i64,ChaCha8Rng,Canon-Lemire,,,1978394.0,ns,359440
distr_high_reject_i64,ChaCha8Rng,Canon-Lemire,,,2170806.0,ns,395384
distr_high_reject_i64,ChaCha8Rng,Canon-Lemire,,,2365422.0,ns,431328
distr_high_reject_i64,ChaCha8Rng,Canon-Lemire,,,2575858.0,ns,467272
distr_high_reject_i64,ChaCha8Rng,Canon-Lemire,,,2762309.0,ns,503216
distr_high_reject_i64,ChaCha8Rng,Canon-Lemire,,,2960041.0,ns,539160
distr_high_reject_i64,ChaCha8Rng,Canon-Lemire,,,3157232.0,ns,575104
distr_high_reject_i64,ChaCha8Rng,Canon-Lemire,,,3360385.0,ns,611048
distr_high_reject_i64,ChaCha8Rng,Canon-Lemire,,,3547287.0,ns,646992
distr_high_reject_i64,ChaCha8Rng,Canon-Lemire,,,3748545.0,ns,682936
distr_high_reject_i64,ChaCha8Rng,Canon-Lemire,,,3951768.0,ns,718880
distr_high_reject_i64,ChaCha8Rng,Canon-Lemire,,,4112882.0,ns,754824
distr_high_reject_i64,ChaCha8Rng,Canon-Lemire,,,4332254.0,ns,790768
distr_high_reject_i64,ChaCha8Rng,Canon-Lemire,,,4557298.0,ns,826712
distr_high_reject_i64,ChaCha8Rng,Canon-Lemire,,,4737407.0,ns,862656
distr_high_reject_i64,ChaCha8Rng,Canon-Lemire,,,4935249.0,ns,898600
distr_high_reject_i64,ChaCha8Rng,Canon-Lemire,,,5087977.0,ns,934544
distr_high_reject_i64,ChaCha8Rng,Canon-Lemire,,,5318150.0,ns,970488
distr_high_reject_i64,ChaCha8Rng,Canon-Lemire,,,5494643.0,ns,1006432
distr_high_reject_i64,ChaCha8Rng,Canon-Lemire,,,5714346.0,ns,1042376
distr_high_reject_i64,ChaCha8Rng,Canon-Lemire,,,5906417.0,ns,1078320
distr_high_reject_i64,ChaCha8Rng,Canon-Lemire,,,6117194.0,ns,1114264
distr_high_reject_i64,ChaCha8Rng,Canon-Lemire,,,6299376.0,ns,1150208
distr_high_reject_i64,ChaCha8Rng,Canon-Lemire,,,6497409.0,ns,1186152
distr_high_reject_i64,ChaCha8Rng,Canon-Lemire,,,6696254.0,ns,1222096
distr_high_reject_i64,ChaCha8Rng,Canon-Lemire,,,6910266.0,ns,1258040
distr_high_reject_i64,ChaCha8Rng,Canon-Lemire,,,7112206.0,ns,1293984
distr_high_reject_i64,ChaCha8Rng,Canon-Lemire,,,7288188.0,ns,1329928
distr_high_reject_i64,ChaCha8Rng,Canon-Lemire,,,7494767.0,ns,1365872
distr_high_reject_i64,ChaCha8Rng,Canon-Lemire,,,7667422.0,ns,1401816
distr_high_reject_i64,ChaCha8Rng,Canon-Lemire,,,7866757.0,ns,1437760
distr_high_reject_i64,ChaCha8Rng,Canon-Lemire,,,8082813.0,ns,1473704
distr_high_reject_i64,ChaCha8Rng,Canon-Lemire,,,8266058.0,ns,1509648
distr_high_reject_i64,ChaCha8Rng,Canon-Lemire,,,8466075.0,ns,1545592
distr_high_reject_i64,ChaCha8Rng,Canon-Lemire,,,8666853.0,ns,1581536
distr_high_reject_i64,ChaCha8Rng,Canon-Lemire,,,8862601.0,ns,1617480
distr_high_reject_i64,ChaCha8Rng,Canon-Lemire,,,9053971.0,ns,1653424
distr_high_reject_i64,ChaCha8Rng,Canon-Lemire,,,9245321.0,ns,1689368
distr_high_reject_i64,ChaCha8Rng,Canon-Lemire,,,9454616.0,ns,1725312
distr_high_reject_i64,ChaCha8Rng,Canon-Lemire,,,9635747.0,ns,1761256
distr_high_reject_i64,ChaCha8Rng,Canon-Lemire,,,9826235.0,ns,1797200
distr_high_reject_i64,ChaCha8Rng,Canon-Lemire,,,10009300.0,ns,1833144
distr_high_reject_i64,ChaCha8Rng,Canon-Lemire,,,10213363.0,ns,1869088
distr_high_reject_i64,ChaCha8Rng,Canon-Lemire,,,10405305.0,ns,1905032
distr_high_reject_i64,ChaCha8Rng,Canon-Lemire,,,10611993.0,ns,1940976
distr_high_reject_i64,ChaCha8Rng,Canon-Lemire,,,10800699.0,ns,1976920
distr_high_reject_i64,ChaCha8Rng,Canon-Lemire,,,10984505.0,ns,2012864
distr_high_reject_i64,ChaCha8Rng,Canon-Lemire,,,11210360.0,ns,2048808
distr_high_reject_i64,ChaCha8Rng,Canon-Lemire,,,11379398.0,ns,2084752
distr_high_reject_i64,ChaCha8Rng,Canon-Lemire,,,11588191.0,ns,2120696
distr_high_reject_i64,ChaCha8Rng,Canon-Lemire,,,11737272.0,ns,2156640
distr_high_reject_i64,ChaCha8Rng,Canon-Lemire,,,11976622.0,ns,2192584
distr_high_reject_i64,ChaCha8Rng,Canon-Lemire,,,12158555.0,ns,2228528
distr_high_reject_i64,ChaCha8Rng,Canon-Lemire,,,12421469.0,ns,2264472
distr_high_reject_i64,ChaCha8Rng,Canon-Lemire,,,12567254.0,ns,2300416
distr_high_reject_i64,ChaCha8Rng,Canon-Lemire,,,12775726.0,ns,2336360
distr_high_reject_i64,ChaCha8Rng,Canon-Lemire,,,12942831.0,ns,2372304
distr_high_reject_i64,ChaCha8Rng,Canon-Lemire,,,13138630.0,ns,2408248
distr_high_reject_i64,ChaCha8Rng,Canon-Lemire,,,13352813.0,ns,2444192
distr_high_reject_i64,ChaCha8Rng,Canon-Lemire,,,13534114.0,ns,2480136
distr_high_reject_i64,ChaCha8Rng,Canon-Lemire,,,13724654.0,ns,2516080
distr_high_reject_i64,ChaCha8Rng,Canon-Lemire,,,13918548.0,ns,2552024
distr_high_reject_i64,ChaCha8Rng,Canon-Lemire,,,14123013.0,ns,2587968
distr_high_reject_i64,ChaCha8Rng,Canon-Lemire,,,14317919.0,ns,2623912
distr_high_reject_i64,ChaCha8Rng,Canon-Lemire,,,14508968.0,ns,2659856
distr_high_reject_i64,ChaCha8Rng,Canon-Lemire,,,14704146.0,ns,2695800
distr_high_reject_i64,ChaCha8Rng,Canon-Lemire,,,14911246.0,ns,2731744
distr_high_reject_i64,ChaCha8Rng,Canon-Lemire,,,15084702.0,ns,2767688
distr_high_reject_i64,ChaCha8Rng,Canon-Lemire,,,15290320.0,ns,2803632
distr_high_reject_i64,ChaCha8Rng,Canon-Lemire,,,15477302.0,ns,2839576
distr_high_reject_i64,ChaCha8Rng,Canon-Lemire,,,15713547.0,ns,2875520
distr_high_reject_i64,ChaCha8Rng,Canon-Lemire,,,15882965.0,ns,2911464
distr_high_reject_i64,ChaCha8Rng,Canon-Lemire,,,16060820.0,ns,2947408
distr_high_reject_i64,ChaCha8Rng,Canon-Lemire,,,16241280.0,ns,2983352
distr_high_reject_i64,ChaCha8Rng,Canon-Lemire,,,16473386.0,ns,3019296
distr_high_reject_i64,ChaCha8Rng,Canon-Lemire,,,16645120.0,ns,3055240
distr_high_reject_i64,ChaCha8Rng,Canon-Lemire,,,16896232.0,ns,3091184
distr_high_reject_i64,ChaCha8Rng,Canon-Lemire,,,17028952.0,ns,3127128
distr_high_reject_i64,ChaCha8Rng,Canon-Lemire,,,17280426.0,ns,3163072
distr_high_reject_i64,ChaCha8Rng,Canon-Lemire,,,17472327.0,ns,3199016
distr_high_reject_i64,ChaCha8Rng,Canon-Lemire,,,17634782.0,ns,3234960
distr_high_reject_i64,ChaCha8Rng,Canon-Lemire,,,17888259.0,ns,3270904
distr_high_reject_i64,ChaCha8Rng,Canon-Lemire,,,18072467.0,ns,3306848
distr_high_reject_i64,ChaCha8Rng,Canon-Lemire,,,18296759.0,ns,3342792
distr_high_reject_i64,ChaCha8Rng,Canon-Lemire,,,18426944.0,ns,3378736
distr_high_reject_i64,ChaCha8Rng,Canon-Lemire,,,18598527.0,ns,3414680
distr_high_reject_i64,ChaCha8Rng,Canon-Lemire,,,18799986.0,ns,3450624
distr_high_reject_i64,ChaCha8Rng,Canon-Lemire,,,19013898.0,ns,3486568
distr_high_reject_i64,ChaCha8Rng,Canon-Lemire,,,19177035.0,ns,3522512
distr_high_reject_i64,ChaCha8Rng,Canon-Lemire,,,19397490.0,ns,3558456
distr_high_reject_i64,ChaCha8Rng,Canon-Lemire,,,19577499.0,ns,3594400
