group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
distr_high_reject_i64,ChaCha8Rng,Canon-reduced,,,196520.0,ns,37898
distr_high_reject_i64,ChaCha8Rng,Canon-reduced,,,396447.0,ns,75796
distr_high_reject_i64,ChaCha8Rng,Canon-reduced,,,595581.0,ns,113694
distr_high_reject_i64,ChaCha8Rng,Canon-reduced,,,788854.0,ns,151592
distr_high_reject_i64,ChaCha8Rng,Canon-reduced,,,987639.0,ns,189490
distr_high_reject_i64,ChaCha8Rng,Canon-reduced,,,1186955.0,ns,227388
distr_high_reject_i64,ChaCha8Rng,Canon-reduced,,,1386830.0,ns,265286
distr_high_reject_i64,ChaCha8Rng,Canon-reduced,,,1585174.0,ns,303184
distr_high_reject_i64,ChaCha8Rng,Canon-reduced,,,1796161.0,ns,341082
distr_high_reject_i64,ChaCha8Rng,Canon-reduced,,,1991208.0,ns,378980
distr_high_reject_i64,ChaCha8Rng,Canon-reduced,,,2168541.0,ns,416878
distr_high_reject_i64,ChaCha8Rng,Canon-reduced,,,2378868.0,ns,454776
distr_high_reject_i64,ChaCha8Rng,Canon-reduced,,,2569397.0,ns,492674
distr_high_reject_i64,ChaCha8Rng,Canon-reduced,,,2766988.0,ns,530572
distr_high_reject_i64,ChaCha8Rng,Canon-reduced,,,2962847.0,ns,568470
distr_high_reject_i64,ChaCha8Rng,Canon-reduced,,,3168323.0,ns,606368
distr_high_reject_i64,ChaCha8Rng,Canon-reduced,,,3357630.0,ns,644266
distr_high_reject_i64,ChaCha8Rng,Canon-reduced,,,3556835.0,ns,682164
distr_high_reject_i64,ChaCha8Rng,Canon-reduced,,,3757652.0,ns,720062
distr_high_reject_i64,ChaCha8Rng,Canon-reduced,,,3971645.0,ns,757960
distr_high_reject_i64,ChaCha8Rng,Canon-reduced,,,4161603.0,ns,795858
distr_high_reject_i64,ChaCha8Rng,Canon-reduced,,,4364474.0,ns,833756
distr_high_reject_i64,ChaCha8Rng,Canon-reduced,,,4549984.0,ns,871654
distr_high_reject_i64,ChaCha8Rng,Canon-reduced,,,4757324.0,ns,909552
distr_high_reject_i64,ChaCha8Rng,Canon-reduced,,,4956268.0,ns,947450
distr_high_reject_i64,ChaCha8Rng,Canon-reduced,,,5213543.0,ns,985348
distr_high_reject_i64,ChaCha8Rng,Canon-reduced,,,5349740.0,ns,1023246
distr_high_reject_i64,ChaCha8Rng,Canon-reduced,,,5548774.0,ns,1061144
distr_high_reject_i64,ChaCha8Rng,Canon-reduced,,,5743450.0,ns,1099042
distr_high_reject_i64,ChaCha8Rng,Canon-reduced,,,5952704.0,ns,1136940
distr_high_reject_i64,ChaCha8Rng,Canon-reduced,,,6148593.0,ns,1174838
distr_high_reject_i64,ChaCha8Rng,Canon-reduced,,,6324354.0,ns,1212736
distr_high_reject_i64,ChaCha8Rng,Canon-reduced,,,6536604.0,ns,1250634
distr_high_reject_i64,ChaCha8Rng,Canon-reduced,,,6723965.0,ns,1288532
distr_high_reject_i64,ChaCha8Rng,Canon-reduced,,,6929102.0,ns,1326430
distr_high_reject_i64,ChaCha8Rng,Canon-reduced,,,7111786.0,ns,1364328
distr_high_reject_i64,ChaCha8Rng,Canon-reduced,,,7308597.0,ns,1402226
distr_high_reject_i64,ChaCha8Rng,Canon-reduced,,,7550673.0,ns,1440124
distr_high_reject_i64,ChaCha8Rng,Canon-reduced,,,7727725.0,ns,1478022
distr_high_reject_i64,ChaCha8Rng,Canon-reduced,,,7928323.0,ns,1515920
distr_high_reject_i64,ChaCha8Rng,Canon-reduced,,,8115675.0,ns,1553818
distr_high_reject_i64,ChaCha8Rng,Canon-reduced,,,8294171.0,ns,1591716
distr_high_reject_i64,ChaCha8Rng,Canon-reduced,,,8523884.0,ns,1629614
distr_high_reject_i64,ChaCha8Rng,Canon-reduced,,,8710124.0,ns,1667512
distr_high_reject_i64,ChaCha8Rng,Canon-reduced,,,8913236.0,ns,1705410
distr_high_reject_i64,ChaCha8Rng,Canon-reduced,,,9086362.0,ns,1743308
distr_high_reject_i64,ChaCha8Rng,Canon-reduced,,,9287321.0,ns,1781206
distr_high_reject_i64,ChaCha8Rng,Canon-reduced,,,9512836.0,ns,1819104
distr_high_reject_i64,ChaCha8Rng,Canon-reduced,,,9687894.0,ns,1857002
distr_high_reject_i64,ChaCha8Rng,Canon-reduced,,,9895055.0,ns,1894900
distr_high_reject_i64,ChaCha8Rng,Canon-reduced,,,10106052.0,ns,1932798
distr_high_reject_i64,ChaCha8Rng,Canon-reduced,,,10343578.0,ns,1970696
distr_high_reject_i64,ChaCha8Rng,Canon-reduced,,,10493110.0,ns,2008594
distr_high_reject_i64,ChaCha8Rng,Canon-reduced,,,10676726.0,ns,2046492
distr_high_reject_i64,ChaCha8Rng,Canon-reduced,,,10858598.0,ns,2084390
distr_high_reject_i64,ChaCha8Rng,Canon-reduced,,,11098430.0,ns,2122288
distr_high_reject_i64,ChaCha8Rng,Canon-reduced,,,11291974.0,ns,2160186
distr_high_reject_i64,ChaCha8Rng,Canon-reduced,,,11478134.0,ns,2198084
distr_high_reject_i64,ChaCha8Rng,Canon-reduced,,,11672379.0,ns,2235982
distr_high_reject_i64,ChaCha8Rng,Canon-reduced,,,11851978.0,ns,2273880
distr_high_reject_i64,ChaCha8Rng,Canon-reduced,,,12063606.0,ns,2311778
distr_high_reject_i64,ChaCha8Rng,Canon-reduced,,,12305912.0,ns,2349676
distr_high_reject_i64,ChaCha8Rng,Canon-reduced,,,12461696.0,ns,2387574
distr_high_reject_i64,ChaCha8Rng,Canon-reduced,,,12684524.0,ns,2425472
distr_high_reject_i64,ChaCha8Rng,Canon-reduced,,,12885283.0,ns,2463370
distr_high_reject_i64,ChaCha8Rng,Canon-reduced,,,13019335.0,ns,2501268
distr_high_reject_i64,ChaCha8Rng,Canon-reduced,,,13220604.0,ns,2539166
distr_high_reject_i64,ChaCha8Rng,Canon-reduced,,,13454344.0,ns,2577064
distr_high_reject_i64,ChaCha8Rng,Canon-reduced,,,13656965.0,ns,2614962
distr_high_reject_i64,ChaCha8Rng,Canon-reduced,,,13858776.0,ns,2652860
distr_high_reject_i64,ChaCha8Rng,Canon-reduced,,,14053160.0,ns,2690758
distr_high_reject_i64,ChaCha8Rng,Canon-reduced,,,14259800.0,ns,2728656
distr_high_reject_i64,ChaCha8Rng,Canon-reduced,,,14437665.0,ns,2766554
distr_high_reject_i64,ChaCha8Rng,Canon-reduced,,,14661005.0,ns,2804452
distr_high_reject_i64,ChaCha8Rng,Canon-reduced,,,14849330.0,ns,2842350
distr_high_reject_i64,ChaCha8Rng,Canon-reduced,,,15072119.0,ns,2880248
distr_high_reject_i64,ChaCha8Rng,Canon-reduced,,,15251557.0,ns,2918146
distr_high_reject_i64,ChaCha8Rng,Canon-reduced,,,15449218.0,ns,2956044
distr_high_reject_i64,ChaCha8Rng,Canon-reduced,,,15646160.0,ns,2993942
distr_high_reject_i64,ChaCha8Rng,Canon-reduced,,,15850895.0,ns,3031840
distr_high_reject_i64,ChaCha8Rng,Canon-reduced,,,16053376.0,ns,3069738
