group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
distr_high_reject_i64,Pcg32,Canon-reduced,,,196830.0,ns,39520
distr_high_reject_i64,Pcg32,Canon-reduced,,,392829.0,ns,79040
distr_high_reject_i64,Pcg32,Canon-reduced,,,593256.0,ns,118560
distr_high_reject_i64,Pcg32,Canon-reduced,,,790258.0,ns,158080
distr_high_reject_i64,Pcg32,Canon-reduced,,,983471.0,ns,197600
distr_high_reject_i64,Pcg32,Canon-reduced,,,1215247.0,ns,237120
distr_high_reject_i64,Pcg32,Canon-reduced,,,1378154.0,ns,276640
distr_high_reject_i64,Pcg32,Canon-reduced,,,1581968.0,ns,316160
distr_high_reject_i64,Pcg32,Canon-reduced,,,1778638.0,ns,355680
distr_high_reject_i64,Pcg32,Canon-reduced,,,1964607.0,ns,395200
distr_high_reject_i64,Pcg32,Canon-reduced,,,2168632.0,ns,434720
distr_high_reject_i64,Pcg32,Canon-reduced,,,2359220.0,ns,474240
distr_high_reject_i64,Pcg32,Canon-reduced,,,2564647.0,ns,513760
distr_high_reject_i64,Pcg32,Canon-reduced,,,2759154.0,ns,553280
distr_high_reject_i64,Pcg32,Canon-reduced,,,2952107.0,ns,592800
distr_high_reject_i64,Pcg32,Canon-reduced,,,3152133.0,ns,632320
distr_high_reject_i64,Pcg32,Canon-reduced,,,3357339.0,ns,671840
distr_high_reject_i64,Pcg32,Canon-reduced,,,3543479.0,ns,711360
distr_high_reject_i64,Pcg32,Canon-reduced,,,3739278.0,ns,750880
distr_high_reject_i64,Pcg32,Canon-reduced,,,3943893.0,ns,790400
distr_high_reject_i64,Pcg32,Canon-reduced,,,4173345.0,ns,829920
distr_high_reject_i64,Pcg32,Canon-reduced,,,4354997.0,ns,869440
distr_high_reject_i64,Pcg32,Canon-reduced,,,4531769.0,ns,908960
distr_high_reject_i64,Pcg32,Canon-reduced,,,4730954.0,ns,948480
distr_high_reject_i64,Pcg32,Canon-reduced,,,4927284.0,ns,988000
distr_high_reject_i64,Pcg32,Canon-reduced,,,5114316.0,ns,1027520
distr_high_reject_i64,Pcg32,Canon-reduced,,,5322278.0,ns,1067040
distr_high_reject_i64,Pcg32,Canon-reduced,,,5508989.0,ns,1106560
distr_high_reject_i64,Pcg32,Canon-reduced,,,5745063.0,ns,1146080
distr_high_reject_i64,Pcg32,Canon-reduced,,,5907169.0,ns,1185600
distr_high_reject_i64,Pcg32,Canon-reduced,,,6088500.0,ns,1225120
distr_high_reject_i64,Pcg32,Canon-reduced,,,6284849.0,ns,1264640
distr_high_reject_i64,Pcg32,Canon-reduced,,,6476680.0,ns,1304160
distr_high_reject_i64,Pcg32,Canon-reduced,,,6693979.0,ns,1343680
distr_high_reject_i64,Pcg32,Canon-reduced,,,6965300.0,ns,1383200
distr_high_reject_i64,Pcg32,Canon-reduced,,,7064187.0,ns,1422720
distr_high_reject_i64,Pcg32,Canon-reduced,,,7269743.0,ns,1462240
distr_high_reject_i64,Pcg32,Canon-reduced,,,7442548.0,ns,1501760
distr_high_reject_i64,Pcg32,Canon-reduced,,,7642915.0,ns,1541280
distr_high_reject_i64,Pcg32,Canon-reduced,,,7846609.0,ns,1580800
distr_high_reject_i64,Pcg32,Canon-reduced,,,8075670.0,ns,1620320
distr_high_reject_i64,Pcg32,Canon-reduced,,,8239889.0,ns,1659840
distr_high_reject_i64,Pcg32,Canon-reduced,,,8435157.0,ns,1699360
distr_high_reject_i64,Pcg32,Canon-reduced,,,8628681.0,ns,1738880
distr_high_reject_i64,Pcg32,Canon-reduced,,,8859045.0,ns,1778400
distr_high_reject_i64,Pcg32,Canon-reduced,,,9024406.0,ns,1817920
distr_high_reject_i64,Pcg32,Canon-reduced,,,9215595.0,ns,1857440
distr_high_reject_i64,Pcg32,Canon-reduced,,,9392078.0,ns,1896960
distr_high_reject_i64,Pcg32,Canon-reduced,,,9606772.0,ns,1936480
distr_high_reject_i64,Pcg32,Canon-reduced,,,9829852.0,ns,1976000
distr_high_reject_i64,Pcg32,Canon-reduced,,,9987178.0,ns,2015520
distr_high_reject_i64,Pcg32,Canon-reduced,,,10199367.0,ns,2055040
distr_high_reject_i64,Pcg32,Canon-reduced,,,10375940.0,ns,2094560
distr_high_reject_i64,Pcg32,Canon-reduced,,,10623746.0,ns,2134080
distr_high_reject_i64,Pcg32,Canon-reduced,,,10772786.0,ns,2173600
distr_high_reject_i64,Pcg32,Canon-reduced,,,10973024.0,ns,2213120
distr_high_reject_i64,Pcg32,Canon-reduced,,,11198518.0,ns,2252640
distr_high_reject_i64,Pcg32,Canon-reduced,,,11369380.0,ns,2292160
distr_high_reject_i64,Pcg32,Canon-reduced,,,11554888.0,ns,2331680
distr_high_reject_i64,Pcg32,Canon-reduced,,,11745758.0,ns,2371200
distr_high_reject_i64,Pcg32,Canon-reduced,,,11984598.0,ns,2410720
distr_high_reject_i64,Pcg32,Canon-reduced,,,12152624.0,ns,2450240
distr_high_reject_i64,Pcg32,Canon-reduced,,,12343152.0,ns,2489760
distr_high_reject_i64,Pcg32,Canon-reduced,,,12584717.0,ns,2529280
distr_high_reject_i64,Pcg32,Canon-reduced,,,12747303.0,ns,2568800
distr_high_reject_i64,Pcg32,Canon-reduced,,,12932872.0,ns,2608320
distr_high_reject_i64,Pcg32,Canon-reduced,,,13164619.0,ns,2647840
distr_high_reject_i64,Pcg32,Canon-reduced,,,13317085.0,ns,2687360
distr_high_reject_i64,Pcg32,Canon-reduced,,,13492957.0,ns,2726880
distr_high_reject_i64,Pcg32,Canon-reduced,,,13756383.0,ns,2766400
distr_high_reject_i64,Pcg32,Canon-reduced,,,13901566.0,ns,2805920
distr_high_reject_i64,Pcg32,Canon-reduced,,,14081685.0,ns,2845440
distr_high_reject_i64,Pcg32,Canon-reduced,,,14321415.0,ns,2884960
distr_high_reject_i64,Pcg32,Canon-reduced,,,14481356.0,ns,2924480
distr_high_reject_i64,Pcg32,Canon-reduced,,,14676404.0,ns,2964000
distr_high_reject_i64,Pcg32,Canon-reduced,,,14915364.0,ns,3003520
distr_high_reject_i64,Pcg32,Canon-reduced,,,15071027.0,ns,3043040
distr_high_reject_i64,Pcg32,Canon-reduced,,,15304396.0,ns,3082560
distr_high_reject_i64,Pcg32,Canon-reduced,,,15449970.0,ns,3122080
distr_high_reject_i64,Pcg32,Canon-reduced,,,15653954.0,ns,3161600
distr_high_reject_i64,Pcg32,Canon-reduced,,,15896291.0,ns,3201120
distr_high_reject_i64,Pcg32,Canon-reduced,,,16047094.0,ns,3240640
distr_high_reject_i64,Pcg32,Canon-reduced,,,16275154.0,ns,3280160
distr_high_reject_i64,Pcg32,Canon-reduced,,,16443029.0,ns,3319680
distr_high_reject_i64,Pcg32,Canon-reduced,,,16636073.0,ns,3359200
distr_high_reject_i64,Pcg32,Canon-reduced,,,16861327.0,ns,3398720
distr_high_reject_i64,Pcg32,Canon-reduced,,,17023762.0,ns,3438240
distr_high_reject_i64,Pcg32,Canon-reduced,,,17254186.0,ns,3477760
distr_high_reject_i64,Pcg32,Canon-reduced,,,17416612.0,ns,3517280
distr_high_reject_i64,Pcg32,Canon-reduced,,,17619504.0,ns,3556800
distr_high_reject_i64,Pcg32,Canon-reduced,,,17850618.0,ns,3596320
distr_high_reject_i64,Pcg32,Canon-reduced,,,18008576.0,ns,3635840
distr_high_reject_i64,Pcg32,Canon-reduced,,,18227518.0,ns,3675360
distr_high_reject_i64,Pcg32,Canon-reduced,,,18390415.0,ns,3714880
distr_high_reject_i64,Pcg32,Canon-reduced,,,18641026.0,ns,3754400
distr_high_reject_i64,Pcg32,Canon-reduced,,,18791930.0,ns,3793920
distr_high_reject_i64,Pcg32,Canon-reduced,,,19015100.0,ns,3833440
distr_high_reject_i64,Pcg32,Canon-reduced,,,19175062.0,ns,3872960
distr_high_reject_i64,Pcg32,Canon-reduced,,,19409293.0,ns,3912480
distr_high_reject_i64,Pcg32,Canon-reduced,,,19569975.0,ns,3952000
