group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
distr_high_reject_i64,Pcg64,Lemire,,,198613.0,ns,25956
distr_high_reject_i64,Pcg64,Lemire,,,391918.0,ns,51912
distr_high_reject_i64,Pcg64,Lemire,,,590131.0,ns,77868
distr_high_reject_i64,Pcg64,Lemire,,,787933.0,ns,103824
distr_high_reject_i64,Pcg64,Lemire,,,989854.0,ns,129780
distr_high_reject_i64,Pcg64,Lemire,,,1187706.0,ns,155736
distr_high_reject_i64,Pcg64,Lemire,,,1376130.0,ns,181692
distr_high_reject_i64,Pcg64,Lemire,,,1586636.0,ns,207648
distr_high_reject_i64,Pcg64,Lemire,,,1776313.0,ns,233604
distr_high_reject_i64,Pcg64,Lemire,,,1985437.0,ns,259560
distr_high_reject_i64,Pcg64,Lemire,,,2164544.0,ns,285516
distr_high_reject_i64,Pcg64,Lemire,,,2366064.0,ns,311472
distr_high_reject_i64,Pcg64,Lemire,,,2558987.0,ns,337428
distr_high_reject_i64,Pcg64,Lemire,,,2750497.0,ns,363384
distr_high_reject_i64,Pcg64,Lemire,,,2959701.0,ns,389340
distr_high_reject_i64,Pcg64,Lemire,,,3155890.0,ns,415296
distr_high_reject_i64,Pcg64,Lemire,,,3350016.0,ns,441252
distr_high_reject_i64,Pcg64,Lemire,,,3547747.0,ns,467208
distr_high_reject_i64,Pcg64,Lemire,,,3740250.0,ns,493164
distr_high_reject_i64,Pcg64,Lemire,,,3924998.0,ns,519120
distr_high_reject_i64,Pcg64,Lemire,,,4142888.0,ns,545076
distr_high_reject_i64,Pcg64,Lemire,,,4327395.0,ns,571032
distr_high_reject_i64,Pcg64,Lemire,,,4526440.0,ns,596988
distr_high_reject_i64,Pcg64,Lemire,,,4714373.0,ns,622944
distr_high_reject_i64,Pcg64,Lemire,,,4930390.0,ns,648900
distr_high_reject_i64,Pcg64,Lemire,,,5125076.0,ns,674856
distr_high_reject_i64,Pcg64,Lemire,,,5320605.0,ns,700812
distr_high_reject_i64,Pcg64,Lemire,,,5532062.0,ns,726768
distr_high_reject_i64,Pcg64,Lemire,,,5738070.0,ns,752724
distr_high_reject_i64,Pcg64,Lemire,,,5900115.0,ns,778680
distr_high_reject_i64,Pcg64,Lemire,,,6148853.0,ns,804636
distr_high_reject_i64,Pcg64,Lemire,,,6314585.0,ns,830592
distr_high_reject_i64,Pcg64,Lemire,,,6495967.0,ns,856548
distr_high_reject_i64,Pcg64,Lemire,,,6704941.0,ns,882504
distr_high_reject_i64,Pcg64,Lemire,,,6904766.0,ns,908460
distr_high_reject_i64,Pcg64,Lemire,,,7103029.0,ns,934416
distr_high_reject_i64,Pcg64,Lemire,,,7280724.0,ns,960372
distr_high_reject_i64,Pcg64,Lemire,,,7471383.0,ns,986328
distr_high_reject_i64,Pcg64,Lemire,,,7678282.0,ns,1012284
distr_high_reject_i64,Pcg64,Lemire,,,7870383.0,ns,1038240
distr_high_reject_i64,Pcg64,Lemire,,,8059490.0,ns,1064196
distr_high_reject_i64,Pcg64,Lemire,,,8253555.0,ns,1090152
