group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
distr_high_reject_i64,SmallRng,Canon-Unbiased,,,196830.0,ns,45530
distr_high_reject_i64,SmallRng,Canon-Unbiased,,,393521.0,ns,91060
distr_high_reject_i64,SmallRng,Canon-Unbiased,,,592996.0,ns,136590
distr_high_reject_i64,SmallRng,Canon-Unbiased,,,787312.0,ns,182120
distr_high_reject_i64,SmallRng,Canon-Unbiased,,,988210.0,ns,227650
distr_high_reject_i64,SmallRng,Canon-Unbiased,,,1183878.0,ns,273180
distr_high_reject_i64,SmallRng,Canon-Unbiased,,,1378705.0,ns,318710
distr_high_reject_i64,SmallRng,Canon-Unbiased,,,1578341.0,ns,364240
distr_high_reject_i64,SmallRng,Canon-Unbiased,,,1776423.0,ns,409770
distr_high_reject_i64,SmallRng,Canon-Unbiased,,,1977552.0,ns,455300
distr_high_reject_i64,SmallRng,Canon-Unbiased,,,2180163.0,ns,500830
distr_high_reject_i64,SmallRng,Canon-Unbiased,,,2368548.0,ns,546360
distr_high_reject_i64,SmallRng,Canon-Unbiased,,,2574034.0,ns,591890
distr_high_reject_i64,SmallRng,Canon-Unbiased,,,2759715.0,ns,637420
distr_high_reject_i64,SmallRng,Canon-Unbiased,,,2959461.0,ns,682950
distr_high_reject_i64,SmallRng,Canon-Unbiased,,,3160088.0,ns,728480
distr_high_reject_i64,SmallRng,Canon-Unbiased,,,3362559.0,ns,774010
distr_high_reject_i64,SmallRng,Canon-Unbiased,,,3556485.0,ns,819540
distr_high_reject_i64,SmallRng,Canon-Unbiased,,,3749477.0,ns,865070
distr_high_reject_i64,SmallRng,Canon-Unbiased,,,3947470.0,ns,910600
distr_high_reject_i64,SmallRng,Canon-Unbiased,,,4136976.0,ns,956130
distr_high_reject_i64,SmallRng,Canon-Unbiased,,,4355067.0,ns,1001660
distr_high_reject_i64,SmallRng,Canon-Unbiased,,,4539264.0,ns,1047190
distr_high_reject_i64,SmallRng,Canon-Unbiased,,,4744610.0,ns,1092720
distr_high_reject_i64,SmallRng,Canon-Unbiased,,,4944226.0,ns,1138250
distr_high_reject_i64,SmallRng,Canon-Unbiased,,,5131849.0,ns,1183780
distr_high_reject_i64,SmallRng,Canon-Unbiased,,,5328940.0,ns,1229310
distr_high_reject_i64,SmallRng,Canon-Unbiased,,,5527163.0,ns,1274840
distr_high_reject_i64,SmallRng,Canon-Unbiased,,,5721008.0,ns,1320370
distr_high_reject_i64,SmallRng,Canon-Unbiased,,,5914613.0,ns,1365900
distr_high_reject_i64,SmallRng,Canon-Unbiased,,,6116032.0,ns,1411430
distr_high_reject_i64,SmallRng,Canon-Unbiased,,,6314796.0,ns,1456960
distr_high_reject_i64,SmallRng,Canon-Unbiased,,,6508300.0,ns,1502490
distr_high_reject_i64,SmallRng,Canon-Unbiased,,,6698889.0,ns,1548020
distr_high_reject_i64,SmallRng,Canon-Unbiased,,,6880631.0,ns,1593550
distr_high_reject_i64,SmallRng,Canon-Unbiased,,,7083082.0,ns,1639080
distr_high_reject_i64,SmallRng,Canon-Unbiased,,,7294820.0,ns,1684610
distr_high_reject_i64,SmallRng,Canon-Unbiased,,,7478657.0,ns,1730140
distr_high_reject_i64,SmallRng,Canon-Unbiased,,,7686557.0,ns,1775670
distr_high_reject_i64,SmallRng,Canon-Unbiased,,,7881424.0,ns,1821200
distr_high_reject_i64,SmallRng,Canon-Unbiased,,,8076672.0,ns,1866730
distr_high_reject_i64,SmallRng,Canon-Unbiased,,,8269655.0,ns,1912260
distr_high_reject_i64,SmallRng,Canon-Unbiased,,,8449744.0,ns,1957790
distr_high_reject_i64,SmallRng,Canon-Unbiased,,,8655973.0,ns,2003320
distr_high_reject_i64,SmallRng,Canon-Unbiased,,,8851681.0,ns,2048850
distr_high_reject_i64,SmallRng,Canon-Unbiased,,,9043912.0,ns,2094380
distr_high_reject_i64,SmallRng,Canon-Unbiased,,,9257465.0,ns,2139910
distr_high_reject_i64,SmallRng,Canon-Unbiased,,,9462711.0,ns,2185440
distr_high_reject_i64,SmallRng,Canon-Unbiased,,,9631187.0,ns,2230970
distr_high_reject_i64,SmallRng,Canon-Unbiased,,,9829181.0,ns,2276500
distr_high_reject_i64,SmallRng,Canon-Unbiased,,,10059905.0,ns,2322030
distr_high_reject_i64,SmallRng,Canon-Unbiased,,,10223633.0,ns,2367560
distr_high_reject_i64,SmallRng,Canon-Unbiased,,,10422838.0,ns,2413090
distr_high_reject_i64,SmallRng,Canon-Unbiased,,,10618787.0,ns,2458620
distr_high_reject_i64,SmallRng,Canon-Unbiased,,,10820296.0,ns,2504150
distr_high_reject_i64,SmallRng,Canon-Unbiased,,,11016916.0,ns,2549680
distr_high_reject_i64,SmallRng,Canon-Unbiased,,,11208777.0,ns,2595210
distr_high_reject_i64,SmallRng,Canon-Unbiased,,,11404967.0,ns,2640740
distr_high_reject_i64,SmallRng,Canon-Unbiased,,,11596418.0,ns,2686270
distr_high_reject_i64,SmallRng,Canon-Unbiased,,,11795782.0,ns,2731800
distr_high_reject_i64,SmallRng,Canon-Unbiased,,,11992983.0,ns,2777330
distr_high_reject_i64,SmallRng,Canon-Unbiased,,,12183261.0,ns,2822860
distr_high_reject_i64,SmallRng,Canon-Unbiased,,,12381184.0,ns,2868390
distr_high_reject_i64,SmallRng,Canon-Unbiased,,,12567355.0,ns,2913920
distr_high_reject_i64,SmallRng,Canon-Unbiased,,,12769936.0,ns,2959450
distr_high_reject_i64,SmallRng,Canon-Unbiased,,,12971555.0,ns,3004980
distr_high_reject_i64,SmallRng,Canon-Unbiased,,,13158187.0,ns,3050510
distr_high_reject_i64,SmallRng,Canon-Unbiased,,,13363533.0,ns,3096040
distr_high_reject_i64,SmallRng,Canon-Unbiased,,,13548832.0,ns,3141570
distr_high_reject_i64,SmallRng,Canon-Unbiased,,,13757194.0,ns,3187100
distr_high_reject_i64,SmallRng,Canon-Unbiased,,,13934358.0,ns,3232630
distr_high_reject_i64,SmallRng,Canon-Unbiased,,,14152899.0,ns,3278160
distr_high_reject_i64,SmallRng,Canon-Unbiased,,,14328769.0,ns,3323690
distr_high_reject_i64,SmallRng,Canon-Unbiased,,,14549876.0,ns,3369220
distr_high_reject_i64,SmallRng,Canon-Unbiased,,,14727340.0,ns,3414750
distr_high_reject_i64,SmallRng,Canon-Unbiased,,,14923519.0,ns,3460280
distr_high_reject_i64,SmallRng,Canon-Unbiased,,,15184671.0,ns,3505810
distr_high_reject_i64,SmallRng,Canon-Unbiased,,,15353819.0,ns,3551340
distr_high_reject_i64,SmallRng,Canon-Unbiased,,,15560419.0,ns,3596870
distr_high_reject_i64,SmallRng,Canon-Unbiased,,,15706984.0,ns,3642400
distr_high_reject_i64,SmallRng,Canon-Unbiased,,,15925496.0,ns,3687930
distr_high_reject_i64,SmallRng,Canon-Unbiased,,,16103300.0,ns,3733460
distr_high_reject_i64,SmallRng,Canon-Unbiased,,,16307564.0,ns,3778990
distr_high_reject_i64,SmallRng,Canon-Unbiased,,,16499485.0,ns,3824520
distr_high_reject_i64,SmallRng,Canon-Unbiased,,,16692559.0,ns,3870050
distr_high_reject_i64,SmallRng,Canon-Unbiased,,,16866647.0,ns,3915580
distr_high_reject_i64,SmallRng,Canon-Unbiased,,,17093514.0,ns,3961110
distr_high_reject_i64,SmallRng,Canon-Unbiased,,,17292077.0,ns,4006640
distr_high_reject_i64,SmallRng,Canon-Unbiased,,,17466676.0,ns,4052170
