group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
distr_high_reject_i8,ChaCha8Rng,Old,,,195779.0,ns,110510
distr_high_reject_i8,ChaCha8Rng,Old,,,392439.0,ns,221020
distr_high_reject_i8,ChaCha8Rng,Old,,,555175.0,ns,331530
distr_high_reject_i8,ChaCha8Rng,Old,,,790037.0,ns,442040
distr_high_reject_i8,ChaCha8Rng,Old,,,970517.0,ns,552550
distr_high_reject_i8,ChaCha8Rng,Old,,,1163039.0,ns,663060
distr_high_reject_i8,ChaCha8Rng,Old,,,1357665.0,ns,773570
distr_high_reject_i8,ChaCha8Rng,Old,,,1549877.0,ns,884080
distr_high_reject_i8,ChaCha8Rng,Old,,,1744303.0,ns,994590
distr_high_reject_i8,ChaCha8Rng,Old,,,1936335.0,ns,1105100
distr_high_reject_i8,ChaCha8Rng,Old,,,2131261.0,ns,1215610
distr_high_reject_i8,ChaCha8Rng,Old,,,2323262.0,ns,1326120
distr_high_reject_i8,ChaCha8Rng,Old,,,2507329.0,ns,1436630
distr_high_reject_i8,ChaCha8Rng,Old,,,2696165.0,ns,1547140
distr_high_reject_i8,ChaCha8Rng,Old,,,2955632.0,ns,1657650
distr_high_reject_i8,ChaCha8Rng,Old,,,3097701.0,ns,1768160
distr_high_reject_i8,ChaCha8Rng,Old,,,3286506.0,ns,1878670
distr_high_reject_i8,ChaCha8Rng,Old,,,3492243.0,ns,1989180
distr_high_reject_i8,ChaCha8Rng,Old,,,3688173.0,ns,2099690
distr_high_reject_i8,ChaCha8Rng,Old,,,3879933.0,ns,2210200
distr_high_reject_i8,ChaCha8Rng,Old,,,4040305.0,ns,2320710
distr_high_reject_i8,ChaCha8Rng,Old,,,4204744.0,ns,2431220
distr_high_reject_i8,ChaCha8Rng,Old,,,4436270.0,ns,2541730
distr_high_reject_i8,ChaCha8Rng,Old,,,4670461.0,ns,2652240
distr_high_reject_i8,ChaCha8Rng,Old,,,4911565.0,ns,2762750
distr_high_reject_i8,ChaCha8Rng,Old,,,5069292.0,ns,2873260
distr_high_reject_i8,ChaCha8Rng,Old,,,5247026.0,ns,2983770
distr_high_reject_i8,ChaCha8Rng,Old,,,5461250.0,ns,3094280
distr_high_reject_i8,ChaCha8Rng,Old,,,5684700.0,ns,3204790
distr_high_reject_i8,ChaCha8Rng,Old,,,5863045.0,ns,3315300
distr_high_reject_i8,ChaCha8Rng,Old,,,6093178.0,ns,3425810
distr_high_reject_i8,ChaCha8Rng,Old,,,6270923.0,ns,3536320
distr_high_reject_i8,ChaCha8Rng,Old,,,6464758.0,ns,3646830
distr_high_reject_i8,ChaCha8Rng,Old,,,6706613.0,ns,3757340
distr_high_reject_i8,ChaCha8Rng,Old,,,6924262.0,ns,3867850
distr_high_reject_i8,ChaCha8Rng,Old,,,7046253.0,ns,3978360
