group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
distr_high_reject_i8,Pcg32,Canon-reduced,,,199185.0,ns,94594
distr_high_reject_i8,Pcg32,Canon-reduced,,,394904.0,ns,189188
distr_high_reject_i8,Pcg32,Canon-reduced,,,591674.0,ns,283782
distr_high_reject_i8,Pcg32,Canon-reduced,,,785679.0,ns,378376
distr_high_reject_i8,Pcg32,Canon-reduced,,,984172.0,ns,472970
distr_high_reject_i8,Pcg32,Canon-reduced,,,1179861.0,ns,567564
distr_high_reject_i8,Pcg32,Canon-reduced,,,1377413.0,ns,662158
distr_high_reject_i8,Pcg32,Canon-reduced,,,1573853.0,ns,756752
distr_high_reject_i8,Pcg32,Canon-reduced,,,1770382.0,ns,851346
distr_high_reject_i8,Pcg32,Canon-reduced,,,1972633.0,ns,945940
distr_high_reject_i8,Pcg32,Canon-reduced,,,2166438.0,ns,1040534
distr_high_reject_i8,Pcg32,Canon-reduced,,,2362647.0,ns,1135128
distr_high_reject_i8,Pcg32,Canon-reduced,,,2555870.0,ns,1229722
distr_high_reject_i8,Pcg32,Canon-reduced,,,2762099.0,ns,1324316
distr_high_reject_i8,Pcg32,Canon-reduced,,,2960884.0,ns,1418910
distr_high_reject_i8,Pcg32,Canon-reduced,,,3147524.0,ns,1513504
distr_high_reject_i8,Pcg32,Canon-reduced,,,3349184.0,ns,1608098
distr_high_reject_i8,Pcg32,Canon-reduced,,,3550672.0,ns,1702692
distr_high_reject_i8,Pcg32,Canon-reduced,,,3739118.0,ns,1797286
distr_high_reject_i8,Pcg32,Canon-reduced,,,3937882.0,ns,1891880
distr_high_reject_i8,Pcg32,Canon-reduced,,,4134292.0,ns,1986474
distr_high_reject_i8,Pcg32,Canon-reduced,,,4331994.0,ns,2081068
distr_high_reject_i8,Pcg32,Canon-reduced,,,4533654.0,ns,2175662
distr_high_reject_i8,Pcg32,Canon-reduced,,,4730444.0,ns,2270256
distr_high_reject_i8,Pcg32,Canon-reduced,,,4938215.0,ns,2364850
distr_high_reject_i8,Pcg32,Canon-reduced,,,5125097.0,ns,2459444
distr_high_reject_i8,Pcg32,Canon-reduced,,,5319032.0,ns,2554038
distr_high_reject_i8,Pcg32,Canon-reduced,,,5521693.0,ns,2648632
distr_high_reject_i8,Pcg32,Canon-reduced,,,5714356.0,ns,2743226
distr_high_reject_i8,Pcg32,Canon-reduced,,,5911276.0,ns,2837820
distr_high_reject_i8,Pcg32,Canon-reduced,,,6101314.0,ns,2932414
distr_high_reject_i8,Pcg32,Canon-reduced,,,6299888.0,ns,3027008
distr_high_reject_i8,Pcg32,Canon-reduced,,,6491819.0,ns,3121602
distr_high_reject_i8,Pcg32,Canon-reduced,,,6686626.0,ns,3216196
distr_high_reject_i8,Pcg32,Canon-reduced,,,6881652.0,ns,3310790
distr_high_reject_i8,Pcg32,Canon-reduced,,,7075247.0,ns,3405384
distr_high_reject_i8,Pcg32,Canon-reduced,,,7277387.0,ns,3499978
distr_high_reject_i8,Pcg32,Canon-reduced,,,7473306.0,ns,3594572
distr_high_reject_i8,Pcg32,Canon-reduced,,,7655830.0,ns,3689166
distr_high_reject_i8,Pcg32,Canon-reduced,,,7850587.0,ns,3783760
distr_high_reject_i8,Pcg32,Canon-reduced,,,8054962.0,ns,3878354
distr_high_reject_i8,Pcg32,Canon-reduced,,,8251301.0,ns,3972948
distr_high_reject_i8,Pcg32,Canon-reduced,,,8455585.0,ns,4067542
distr_high_reject_i8,Pcg32,Canon-reduced,,,8629373.0,ns,4162136
distr_high_reject_i8,Pcg32,Canon-reduced,,,8848044.0,ns,4256730
distr_high_reject_i8,Pcg32,Canon-reduced,,,9027862.0,ns,4351324
distr_high_reject_i8,Pcg32,Canon-reduced,,,9226536.0,ns,4445918
distr_high_reject_i8,Pcg32,Canon-reduced,,,9428937.0,ns,4540512
distr_high_reject_i8,Pcg32,Canon-reduced,,,9615047.0,ns,4635106
distr_high_reject_i8,Pcg32,Canon-reduced,,,9815565.0,ns,4729700
distr_high_reject_i8,Pcg32,Canon-reduced,,,10004341.0,ns,4824294
distr_high_reject_i8,Pcg32,Canon-reduced,,,10214797.0,ns,4918888
