group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
distr_high_reject_i8,Pcg32,Canon,,,197512.0,ns,95604
distr_high_reject_i8,Pcg32,Canon,,,396366.0,ns,191208
distr_high_reject_i8,Pcg32,Canon,,,592485.0,ns,286812
distr_high_reject_i8,Pcg32,Canon,,,791039.0,ns,382416
distr_high_reject_i8,Pcg32,Canon,,,988511.0,ns,478020
distr_high_reject_i8,Pcg32,Canon,,,1190260.0,ns,573624
distr_high_reject_i8,Pcg32,Canon,,,1384797.0,ns,669228
distr_high_reject_i8,Pcg32,Canon,,,1581005.0,ns,764832
distr_high_reject_i8,Pcg32,Canon,,,1779629.0,ns,860436
distr_high_reject_i8,Pcg32,Canon,,,1978103.0,ns,956040
distr_high_reject_i8,Pcg32,Canon,,,2175104.0,ns,1051644
distr_high_reject_i8,Pcg32,Canon,,,2373839.0,ns,1147248
distr_high_reject_i8,Pcg32,Canon,,,2569857.0,ns,1242852
distr_high_reject_i8,Pcg32,Canon,,,2768451.0,ns,1338456
distr_high_reject_i8,Pcg32,Canon,,,2965933.0,ns,1434060
distr_high_reject_i8,Pcg32,Canon,,,3163545.0,ns,1529664
distr_high_reject_i8,Pcg32,Canon,,,3362058.0,ns,1625268
distr_high_reject_i8,Pcg32,Canon,,,3558438.0,ns,1720872
distr_high_reject_i8,Pcg32,Canon,,,3757162.0,ns,1816476
distr_high_reject_i8,Pcg32,Canon,,,3954603.0,ns,1912080
distr_high_reject_i8,Pcg32,Canon,,,4152015.0,ns,2007684
distr_high_reject_i8,Pcg32,Canon,,,4350889.0,ns,2103288
distr_high_reject_i8,Pcg32,Canon,,,4548451.0,ns,2198892
distr_high_reject_i8,Pcg32,Canon,,,4745402.0,ns,2294496
distr_high_reject_i8,Pcg32,Canon,,,4943214.0,ns,2390100
distr_high_reject_i8,Pcg32,Canon,,,5139994.0,ns,2485704
distr_high_reject_i8,Pcg32,Canon,,,5338188.0,ns,2581308
distr_high_reject_i8,Pcg32,Canon,,,5537173.0,ns,2676912
distr_high_reject_i8,Pcg32,Canon,,,5734924.0,ns,2772516
distr_high_reject_i8,Pcg32,Canon,,,5935331.0,ns,2868120
distr_high_reject_i8,Pcg32,Canon,,,6129297.0,ns,2963724
distr_high_reject_i8,Pcg32,Canon,,,6326869.0,ns,3059328
distr_high_reject_i8,Pcg32,Canon,,,6523329.0,ns,3154932
distr_high_reject_i8,Pcg32,Canon,,,6723816.0,ns,3250536
distr_high_reject_i8,Pcg32,Canon,,,7040502.0,ns,3346140
distr_high_reject_i8,Pcg32,Canon,,,7074155.0,ns,3441744
distr_high_reject_i8,Pcg32,Canon,,,7321991.0,ns,3537348
distr_high_reject_i8,Pcg32,Canon,,,7512781.0,ns,3632952
distr_high_reject_i8,Pcg32,Canon,,,7713559.0,ns,3728556
distr_high_reject_i8,Pcg32,Canon,,,7907564.0,ns,3824160
distr_high_reject_i8,Pcg32,Canon,,,8107169.0,ns,3919764
distr_high_reject_i8,Pcg32,Canon,,,8309851.0,ns,4015368
distr_high_reject_i8,Pcg32,Canon,,,8502454.0,ns,4110972
distr_high_reject_i8,Pcg32,Canon,,,8700366.0,ns,4206576
distr_high_reject_i8,Pcg32,Canon,,,8898539.0,ns,4302180
distr_high_reject_i8,Pcg32,Canon,,,9095079.0,ns,4397784
distr_high_reject_i8,Pcg32,Canon,,,9291548.0,ns,4493388
distr_high_reject_i8,Pcg32,Canon,,,9493118.0,ns,4588992
distr_high_reject_i8,Pcg32,Canon,,,9695630.0,ns,4684596
distr_high_reject_i8,Pcg32,Canon,,,9884595.0,ns,4780200
distr_high_reject_i8,Pcg32,Canon,,,10085473.0,ns,4875804
distr_high_reject_i8,Pcg32,Canon,,,10257918.0,ns,4971408
distr_high_reject_i8,Pcg32,Canon,,,10481979.0,ns,5067012
distr_high_reject_i8,Pcg32,Canon,,,10694139.0,ns,5162616
distr_high_reject_i8,Pcg32,Canon,,,10868397.0,ns,5258220
distr_high_reject_i8,Pcg32,Canon,,,11071600.0,ns,5353824
distr_high_reject_i8,Pcg32,Canon,,,11268861.0,ns,5449428
distr_high_reject_i8,Pcg32,Canon,,,11475249.0,ns,5545032
distr_high_reject_i8,Pcg32,Canon,,,11663253.0,ns,5640636
distr_high_reject_i8,Pcg32,Canon,,,11865864.0,ns,5736240
distr_high_reject_i8,Pcg32,Canon,,,12062775.0,ns,5831844
distr_high_reject_i8,Pcg32,Canon,,,12259285.0,ns,5927448
distr_high_reject_i8,Pcg32,Canon,,,12455655.0,ns,6023052
distr_high_reject_i8,Pcg32,Canon,,,12653647.0,ns,6118656
distr_high_reject_i8,Pcg32,Canon,,,12852201.0,ns,6214260
distr_high_reject_i8,Pcg32,Canon,,,13052968.0,ns,6309864
distr_high_reject_i8,Pcg32,Canon,,,13251031.0,ns,6405468
distr_high_reject_i8,Pcg32,Canon,,,13446469.0,ns,6501072
distr_high_reject_i8,Pcg32,Canon,,,13647087.0,ns,6596676
distr_high_reject_i8,Pcg32,Canon,,,13848726.0,ns,6692280
distr_high_reject_i8,Pcg32,Canon,,,14038803.0,ns,6787884
distr_high_reject_i8,Pcg32,Canon,,,14236286.0,ns,6883488
distr_high_reject_i8,Pcg32,Canon,,,14437044.0,ns,6979092
distr_high_reject_i8,Pcg32,Canon,,,14634015.0,ns,7074696
distr_high_reject_i8,Pcg32,Canon,,,14836706.0,ns,7170300
distr_high_reject_i8,Pcg32,Canon,,,15025912.0,ns,7265904
distr_high_reject_i8,Pcg32,Canon,,,15222703.0,ns,7361508
distr_high_reject_i8,Pcg32,Canon,,,15421707.0,ns,7457112
distr_high_reject_i8,Pcg32,Canon,,,15619599.0,ns,7552716
distr_high_reject_i8,Pcg32,Canon,,,15815979.0,ns,7648320
distr_high_reject_i8,Pcg32,Canon,,,16013731.0,ns,7743924
distr_high_reject_i8,Pcg32,Canon,,,16210993.0,ns,7839528
distr_high_reject_i8,Pcg32,Canon,,,16418884.0,ns,7935132
distr_high_reject_i8,Pcg32,Canon,,,16606377.0,ns,8030736
distr_high_reject_i8,Pcg32,Canon,,,16804520.0,ns,8126340
distr_high_reject_i8,Pcg32,Canon,,,17010237.0,ns,8221944
distr_high_reject_i8,Pcg32,Canon,,,17196437.0,ns,8317548
distr_high_reject_i8,Pcg32,Canon,,,17400732.0,ns,8413152
distr_high_reject_i8,Pcg32,Canon,,,17594316.0,ns,8508756
distr_high_reject_i8,Pcg32,Canon,,,17796236.0,ns,8604360
distr_high_reject_i8,Pcg32,Canon,,,17990852.0,ns,8699964
distr_high_reject_i8,Pcg32,Canon,,,18188314.0,ns,8795568
distr_high_reject_i8,Pcg32,Canon,,,18386938.0,ns,8891172
distr_high_reject_i8,Pcg32,Canon,,,18596612.0,ns,8986776
distr_high_reject_i8,Pcg32,Canon,,,18774628.0,ns,9082380
