group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
distr_high_reject_i8,Pcg64,Canon-Unbiased,,,197191.0,ns,117467
distr_high_reject_i8,Pcg64,Canon-Unbiased,,,394372.0,ns,234934
distr_high_reject_i8,Pcg64,Canon-Unbiased,,,592856.0,ns,352401
distr_high_reject_i8,Pcg64,Canon-Unbiased,,,789807.0,ns,469868
distr_high_reject_i8,Pcg64,Canon-Unbiased,,,986938.0,ns,587335
distr_high_reject_i8,Pcg64,Canon-Unbiased,,,1184249.0,ns,704802
distr_high_reject_i8,Pcg64,Canon-Unbiased,,,1381541.0,ns,822269
distr_high_reject_i8,Pcg64,Canon-Unbiased,,,1580004.0,ns,939736
distr_high_reject_i8,Pcg64,Canon-Unbiased,,,1777044.0,ns,1057203
distr_high_reject_i8,Pcg64,Canon-Unbiased,,,1979907.0,ns,1174670
distr_high_reject_i8,Pcg64,Canon-Unbiased,,,2174453.0,ns,1292137
distr_high_reject_i8,Pcg64,Canon-Unbiased,,,2367175.0,ns,1409604
distr_high_reject_i8,Pcg64,Canon-Unbiased,,,2567432.0,ns,1527071
distr_high_reject_i8,Pcg64,Canon-Unbiased,,,2763522.0,ns,1644538
distr_high_reject_i8,Pcg64,Canon-Unbiased,,,2961694.0,ns,1762005
distr_high_reject_i8,Pcg64,Canon-Unbiased,,,3163144.0,ns,1879472
distr_high_reject_i8,Pcg64,Canon-Unbiased,,,3351098.0,ns,1996939
distr_high_reject_i8,Pcg64,Canon-Unbiased,,,3551564.0,ns,2114406
distr_high_reject_i8,Pcg64,Canon-Unbiased,,,3754757.0,ns,2231873
distr_high_reject_i8,Pcg64,Canon-Unbiased,,,3941990.0,ns,2349340
distr_high_reject_i8,Pcg64,Canon-Unbiased,,,4149561.0,ns,2466807
distr_high_reject_i8,Pcg64,Canon-Unbiased,,,4338626.0,ns,2584274
distr_high_reject_i8,Pcg64,Canon-Unbiased,,,4540546.0,ns,2701741
distr_high_reject_i8,Pcg64,Canon-Unbiased,,,4725174.0,ns,2819208
distr_high_reject_i8,Pcg64,Canon-Unbiased,,,4934708.0,ns,2936675
distr_high_reject_i8,Pcg64,Canon-Unbiased,,,5130567.0,ns,3054142
distr_high_reject_i8,Pcg64,Canon-Unbiased,,,5324872.0,ns,3171609
distr_high_reject_i8,Pcg64,Canon-Unbiased,,,5517826.0,ns,3289076
distr_high_reject_i8,Pcg64,Canon-Unbiased,,,5715939.0,ns,3406543
distr_high_reject_i8,Pcg64,Canon-Unbiased,,,5917288.0,ns,3524010
distr_high_reject_i8,Pcg64,Canon-Unbiased,,,6120570.0,ns,3641477
distr_high_reject_i8,Pcg64,Canon-Unbiased,,,6315678.0,ns,3758944
distr_high_reject_i8,Pcg64,Canon-Unbiased,,,6511757.0,ns,3876411
distr_high_reject_i8,Pcg64,Canon-Unbiased,,,6702837.0,ns,3993878
distr_high_reject_i8,Pcg64,Canon-Unbiased,,,6904496.0,ns,4111345
distr_high_reject_i8,Pcg64,Canon-Unbiased,,,7092659.0,ns,4228812
distr_high_reject_i8,Pcg64,Canon-Unbiased,,,7286354.0,ns,4346279
distr_high_reject_i8,Pcg64,Canon-Unbiased,,,7486221.0,ns,4463746
distr_high_reject_i8,Pcg64,Canon-Unbiased,,,7669676.0,ns,4581213
distr_high_reject_i8,Pcg64,Canon-Unbiased,,,7876375.0,ns,4698680
distr_high_reject_i8,Pcg64,Canon-Unbiased,,,8051014.0,ns,4816147
distr_high_reject_i8,Pcg64,Canon-Unbiased,,,8248004.0,ns,4933614
distr_high_reject_i8,Pcg64,Canon-Unbiased,,,8453040.0,ns,5051081
distr_high_reject_i8,Pcg64,Canon-Unbiased,,,8646003.0,ns,5168548
distr_high_reject_i8,Pcg64,Canon-Unbiased,,,8838876.0,ns,5286015
distr_high_reject_i8,Pcg64,Canon-Unbiased,,,9046277.0,ns,5403482
distr_high_reject_i8,Pcg64,Canon-Unbiased,,,9228209.0,ns,5520949
distr_high_reject_i8,Pcg64,Canon-Unbiased,,,9435639.0,ns,5638416
distr_high_reject_i8,Pcg64,Canon-Unbiased,,,9621300.0,ns,5755883
distr_high_reject_i8,Pcg64,Canon-Unbiased,,,9820635.0,ns,5873350
distr_high_reject_i8,Pcg64,Canon-Unbiased,,,10014760.0,ns,5990817
distr_high_reject_i8,Pcg64,Canon-Unbiased,,,10216620.0,ns,6108284
distr_high_reject_i8,Pcg64,Canon-Unbiased,,,10406217.0,ns,6225751
distr_high_reject_i8,Pcg64,Canon-Unbiased,,,10610541.0,ns,6343218
distr_high_reject_i8,Pcg64,Canon-Unbiased,,,10794738.0,ns,6460685
distr_high_reject_i8,Pcg64,Canon-Unbiased,,,11002559.0,ns,6578152
distr_high_reject_i8,Pcg64,Canon-Unbiased,,,11186836.0,ns,6695619
distr_high_reject_i8,Pcg64,Canon-Unbiased,,,11391521.0,ns,6813086
distr_high_reject_i8,Pcg64,Canon-Unbiased,,,11584084.0,ns,6930553
distr_high_reject_i8,Pcg64,Canon-Unbiased,,,11784140.0,ns,7048020
distr_high_reject_i8,Pcg64,Canon-Unbiased,,,11981411.0,ns,7165487
distr_high_reject_i8,Pcg64,Canon-Unbiased,,,12207667.0,ns,7282954
distr_high_reject_i8,Pcg64,Canon-Unbiased,,,12419806.0,ns,7400421
distr_high_reject_i8,Pcg64,Canon-Unbiased,,,12588003.0,ns,7517888
distr_high_reject_i8,Pcg64,Canon-Unbiased,,,12787348.0,ns,7635355
distr_high_reject_i8,Pcg64,Canon-Unbiased,,,12988647.0,ns,7752822
distr_high_reject_i8,Pcg64,Canon-Unbiased,,,13164628.0,ns,7870289
distr_high_reject_i8,Pcg64,Canon-Unbiased,,,13360678.0,ns,7987756
distr_high_reject_i8,Pcg64,Canon-Unbiased,,,13558029.0,ns,8105223
distr_high_reject_i8,Pcg64,Canon-Unbiased,,,13747466.0,ns,8222690
distr_high_reject_i8,Pcg64,Canon-Unbiased,,,13943916.0,ns,8340157
distr_high_reject_i8,Pcg64,Canon-Unbiased,,,14130987.0,ns,8457624
distr_high_reject_i8,Pcg64,Canon-Unbiased,,,14331414.0,ns,8575091
distr_high_reject_i8,Pcg64,Canon-Unbiased,,,14530710.0,ns,8692558
distr_high_reject_i8,Pcg64,Canon-Unbiased,,,14719045.0,ns,8810025
distr_high_reject_i8,Pcg64,Canon-Unbiased,,,14905205.0,ns,8927492
distr_high_reject_i8,Pcg64,Canon-Unbiased,,,15117895.0,ns,9044959
distr_high_reject_i8,Pcg64,Canon-Unbiased,,,15298886.0,ns,9162426
distr_high_reject_i8,Pcg64,Canon-Unbiased,,,15500244.0,ns,9279893
distr_high_reject_i8,Pcg64,Canon-Unbiased,,,15704489.0,ns,9397360
distr_high_reject_i8,Pcg64,Canon-Unbiased,,,15899486.0,ns,9514827
distr_high_reject_i8,Pcg64,Canon-Unbiased,,,16082712.0,ns,9632294
distr_high_reject_i8,Pcg64,Canon-Unbiased,,,16283890.0,ns,9749761
distr_high_reject_i8,Pcg64,Canon-Unbiased,,,16466062.0,ns,9867228
distr_high_reject_i8,Pcg64,Canon-Unbiased,,,16665227.0,ns,9984695
distr_high_reject_i8,Pcg64,Canon-Unbiased,,,16856347.0,ns,10102162
distr_high_reject_i8,Pcg64,Canon-Unbiased,,,17059750.0,ns,10219629
distr_high_reject_i8,Pcg64,Canon-Unbiased,,,17250900.0,ns,10337096
distr_high_reject_i8,Pcg64,Canon-Unbiased,,,17473248.0,ns,10454563
distr_high_reject_i8,Pcg64,Canon-Unbiased,,,17641766.0,ns,10572030
distr_high_reject_i8,Pcg64,Canon-Unbiased,,,17840299.0,ns,10689497
distr_high_reject_i8,Pcg64,Canon-Unbiased,,,18033082.0,ns,10806964
distr_high_reject_i8,Pcg64,Canon-Unbiased,,,18253938.0,ns,10924431
distr_high_reject_i8,Pcg64,Canon-Unbiased,,,18461749.0,ns,11041898
distr_high_reject_i8,Pcg64,Canon-Unbiased,,,18650234.0,ns,11159365
distr_high_reject_i8,Pcg64,Canon-Unbiased,,,18863665.0,ns,11276832
distr_high_reject_i8,Pcg64,Canon-Unbiased,,,19052681.0,ns,11394299
distr_high_reject_i8,Pcg64,Canon-Unbiased,,,19255112.0,ns,11511766
distr_high_reject_i8,Pcg64,Canon-Unbiased,,,19455730.0,ns,11629233
distr_high_reject_i8,Pcg64,Canon-Unbiased,,,19661969.0,ns,11746700
