group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
distr_high_reject_i8,SmallRng,Bitmask,,,202792.0,ns,182053
distr_high_reject_i8,SmallRng,Bitmask,,,396958.0,ns,364106
distr_high_reject_i8,SmallRng,Bitmask,,,590902.0,ns,546159
distr_high_reject_i8,SmallRng,Bitmask,,,790057.0,ns,728212
distr_high_reject_i8,SmallRng,Bitmask,,,988420.0,ns,910265
distr_high_reject_i8,SmallRng,Bitmask,,,1182195.0,ns,1092318
distr_high_reject_i8,SmallRng,Bitmask,,,1383765.0,ns,1274371
distr_high_reject_i8,SmallRng,Bitmask,,,1579673.0,ns,1456424
distr_high_reject_i8,SmallRng,Bitmask,,,1779019.0,ns,1638477
distr_high_reject_i8,SmallRng,Bitmask,,,1979225.0,ns,1820530
distr_high_reject_i8,SmallRng,Bitmask,,,2176507.0,ns,2002583
distr_high_reject_i8,SmallRng,Bitmask,,,2372004.0,ns,2184636
distr_high_reject_i8,SmallRng,Bitmask,,,2571780.0,ns,2366689
distr_high_reject_i8,SmallRng,Bitmask,,,2768261.0,ns,2548742
distr_high_reject_i8,SmallRng,Bitmask,,,2965211.0,ns,2730795
distr_high_reject_i8,SmallRng,Bitmask,,,3163394.0,ns,2912848
distr_high_reject_i8,SmallRng,Bitmask,,,3358982.0,ns,3094901
distr_high_reject_i8,SmallRng,Bitmask,,,3562134.0,ns,3276954
distr_high_reject_i8,SmallRng,Bitmask,,,3755639.0,ns,3459007
distr_high_reject_i8,SmallRng,Bitmask,,,3953411.0,ns,3641060
distr_high_reject_i8,SmallRng,Bitmask,,,4150813.0,ns,3823113
distr_high_reject_i8,SmallRng,Bitmask,,,4348144.0,ns,4005166
distr_high_reject_i8,SmallRng,Bitmask,,,4548211.0,ns,4187219
distr_high_reject_i8,SmallRng,Bitmask,,,4747495.0,ns,4369272
distr_high_reject_i8,SmallRng,Bitmask,,,4940108.0,ns,4551325
distr_high_reject_i8,SmallRng,Bitmask,,,5145816.0,ns,4733378
distr_high_reject_i8,SmallRng,Bitmask,,,5336064.0,ns,4915431
distr_high_reject_i8,SmallRng,Bitmask,,,5531552.0,ns,5097484
distr_high_reject_i8,SmallRng,Bitmask,,,5732119.0,ns,5279537
distr_high_reject_i8,SmallRng,Bitmask,,,5931374.0,ns,5461590
distr_high_reject_i8,SmallRng,Bitmask,,,6122233.0,ns,5643643
distr_high_reject_i8,SmallRng,Bitmask,,,6316539.0,ns,5825696
distr_high_reject_i8,SmallRng,Bitmask,,,6503891.0,ns,6007749
distr_high_reject_i8,SmallRng,Bitmask,,,6709519.0,ns,6189802
distr_high_reject_i8,SmallRng,Bitmask,,,6899687.0,ns,6371855
distr_high_reject_i8,SmallRng,Bitmask,,,7093412.0,ns,6553908
distr_high_reject_i8,SmallRng,Bitmask,,,7293959.0,ns,6735961
distr_high_reject_i8,SmallRng,Bitmask,,,7481161.0,ns,6918014
distr_high_reject_i8,SmallRng,Bitmask,,,7695765.0,ns,7100067
distr_high_reject_i8,SmallRng,Bitmask,,,7881475.0,ns,7282120
distr_high_reject_i8,SmallRng,Bitmask,,,8087562.0,ns,7464173
distr_high_reject_i8,SmallRng,Bitmask,,,8275686.0,ns,7646226
distr_high_reject_i8,SmallRng,Bitmask,,,8467868.0,ns,7828279
distr_high_reject_i8,SmallRng,Bitmask,,,8662625.0,ns,8010332
distr_high_reject_i8,SmallRng,Bitmask,,,8891015.0,ns,8192385
distr_high_reject_i8,SmallRng,Bitmask,,,9050364.0,ns,8374438
distr_high_reject_i8,SmallRng,Bitmask,,,9259849.0,ns,8556491
distr_high_reject_i8,SmallRng,Bitmask,,,9565895.0,ns,8738544
distr_high_reject_i8,SmallRng,Bitmask,,,9657207.0,ns,8920597
distr_high_reject_i8,SmallRng,Bitmask,,,9847495.0,ns,9102650
distr_high_reject_i8,SmallRng,Bitmask,,,10036020.0,ns,9284703
distr_high_reject_i8,SmallRng,Bitmask,,,10243751.0,ns,9466756
distr_high_reject_i8,SmallRng,Bitmask,,,10431515.0,ns,9648809
distr_high_reject_i8,SmallRng,Bitmask,,,10632122.0,ns,9830862
distr_high_reject_i8,SmallRng,Bitmask,,,10816749.0,ns,10012915
distr_high_reject_i8,SmallRng,Bitmask,,,11019982.0,ns,10194968
distr_high_reject_i8,SmallRng,Bitmask,,,11226851.0,ns,10377021
distr_high_reject_i8,SmallRng,Bitmask,,,11436857.0,ns,10559074
distr_high_reject_i8,SmallRng,Bitmask,,,11598981.0,ns,10741127
distr_high_reject_i8,SmallRng,Bitmask,,,11824666.0,ns,10923180
distr_high_reject_i8,SmallRng,Bitmask,,,12004785.0,ns,11105233
distr_high_reject_i8,SmallRng,Bitmask,,,12195214.0,ns,11287286
distr_high_reject_i8,SmallRng,Bitmask,,,12398156.0,ns,11469339
distr_high_reject_i8,SmallRng,Bitmask,,,12598493.0,ns,11651392
distr_high_reject_i8,SmallRng,Bitmask,,,12783882.0,ns,11833445
distr_high_reject_i8,SmallRng,Bitmask,,,12991693.0,ns,12015498
distr_high_reject_i8,SmallRng,Bitmask,,,13172763.0,ns,12197551
distr_high_reject_i8,SmallRng,Bitmask,,,13374023.0,ns,12379604
distr_high_reject_i8,SmallRng,Bitmask,,,13576373.0,ns,12561657
distr_high_reject_i8,SmallRng,Bitmask,,,13770609.0,ns,12743710
distr_high_reject_i8,SmallRng,Bitmask,,,13952752.0,ns,12925763
distr_high_reject_i8,SmallRng,Bitmask,,,14160453.0,ns,13107816
distr_high_reject_i8,SmallRng,Bitmask,,,14365950.0,ns,13289869
distr_high_reject_i8,SmallRng,Bitmask,,,14550908.0,ns,13471922
distr_high_reject_i8,SmallRng,Bitmask,,,14748430.0,ns,13653975
distr_high_reject_i8,SmallRng,Bitmask,,,14951011.0,ns,13836028
distr_high_reject_i8,SmallRng,Bitmask,,,15150506.0,ns,14018081
distr_high_reject_i8,SmallRng,Bitmask,,,15332399.0,ns,14200134
distr_high_reject_i8,SmallRng,Bitmask,,,15532154.0,ns,14382187
distr_high_reject_i8,SmallRng,Bitmask,,,15715530.0,ns,14564240
distr_high_reject_i8,SmallRng,Bitmask,,,15936976.0,ns,14746293
distr_high_reject_i8,SmallRng,Bitmask,,,16123718.0,ns,14928346
distr_high_reject_i8,SmallRng,Bitmask,,,16326781.0,ns,15110399
distr_high_reject_i8,SmallRng,Bitmask,,,16519774.0,ns,15292452
distr_high_reject_i8,SmallRng,Bitmask,,,16720401.0,ns,15474505
distr_high_reject_i8,SmallRng,Bitmask,,,16929865.0,ns,15656558
distr_high_reject_i8,SmallRng,Bitmask,,,17127988.0,ns,15838611
