group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
distr_high_reject_i8,SmallRng,Canon-Unbiased,,,196309.0,ns,164551
distr_high_reject_i8,SmallRng,Canon-Unbiased,,,392569.0,ns,329102
distr_high_reject_i8,SmallRng,Canon-Unbiased,,,590061.0,ns,493653
distr_high_reject_i8,SmallRng,Canon-Unbiased,,,786481.0,ns,658204
distr_high_reject_i8,SmallRng,Canon-Unbiased,,,982400.0,ns,822755
distr_high_reject_i8,SmallRng,Canon-Unbiased,,,1172747.0,ns,987306
distr_high_reject_i8,SmallRng,Canon-Unbiased,,,1369899.0,ns,1151857
distr_high_reject_i8,SmallRng,Canon-Unbiased,,,1571518.0,ns,1316408
distr_high_reject_i8,SmallRng,Canon-Unbiased,,,1764170.0,ns,1480959
distr_high_reject_i8,SmallRng,Canon-Unbiased,,,1954739.0,ns,1645510
distr_high_reject_i8,SmallRng,Canon-Unbiased,,,2155817.0,ns,1810061
distr_high_reject_i8,SmallRng,Canon-Unbiased,,,2346997.0,ns,1974612
distr_high_reject_i8,SmallRng,Canon-Unbiased,,,2545301.0,ns,2139163
distr_high_reject_i8,SmallRng,Canon-Unbiased,,,2745147.0,ns,2303714
distr_high_reject_i8,SmallRng,Canon-Unbiased,,,2939092.0,ns,2468265
distr_high_reject_i8,SmallRng,Canon-Unbiased,,,3133708.0,ns,2632816
distr_high_reject_i8,SmallRng,Canon-Unbiased,,,3333875.0,ns,2797367
distr_high_reject_i8,SmallRng,Canon-Unbiased,,,3525075.0,ns,2961918
distr_high_reject_i8,SmallRng,Canon-Unbiased,,,3734910.0,ns,3126469
distr_high_reject_i8,SmallRng,Canon-Unbiased,,,3921962.0,ns,3291020
distr_high_reject_i8,SmallRng,Canon-Unbiased,,,4114264.0,ns,3455571
distr_high_reject_i8,SmallRng,Canon-Unbiased,,,4311616.0,ns,3620122
distr_high_reject_i8,SmallRng,Canon-Unbiased,,,4508066.0,ns,3784673
distr_high_reject_i8,SmallRng,Canon-Unbiased,,,4696740.0,ns,3949224
distr_high_reject_i8,SmallRng,Canon-Unbiased,,,4938755.0,ns,4113775
distr_high_reject_i8,SmallRng,Canon-Unbiased,,,5101081.0,ns,4278326
distr_high_reject_i8,SmallRng,Canon-Unbiased,,,5296669.0,ns,4442877
distr_high_reject_i8,SmallRng,Canon-Unbiased,,,5511464.0,ns,4607428
distr_high_reject_i8,SmallRng,Canon-Unbiased,,,5665113.0,ns,4771979
distr_high_reject_i8,SmallRng,Canon-Unbiased,,,5876100.0,ns,4936530
distr_high_reject_i8,SmallRng,Canon-Unbiased,,,6105663.0,ns,5101081
distr_high_reject_i8,SmallRng,Canon-Unbiased,,,6262197.0,ns,5265632
distr_high_reject_i8,SmallRng,Canon-Unbiased,,,6470659.0,ns,5430183
distr_high_reject_i8,SmallRng,Canon-Unbiased,,,6646461.0,ns,5594734
distr_high_reject_i8,SmallRng,Canon-Unbiased,,,6858940.0,ns,5759285
distr_high_reject_i8,SmallRng,Canon-Unbiased,,,7049809.0,ns,5923836
distr_high_reject_i8,SmallRng,Canon-Unbiased,,,7220912.0,ns,6088387
distr_high_reject_i8,SmallRng,Canon-Unbiased,,,7423673.0,ns,6252938
