group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
distr_high_reject_i8,SmallRng,Lemire,,,199486.0,ns,177174
distr_high_reject_i8,SmallRng,Lemire,,,396537.0,ns,354348
distr_high_reject_i8,SmallRng,Lemire,,,595451.0,ns,531522
distr_high_reject_i8,SmallRng,Lemire,,,793072.0,ns,708696
distr_high_reject_i8,SmallRng,Lemire,,,988270.0,ns,885870
distr_high_reject_i8,SmallRng,Lemire,,,1184359.0,ns,1063044
distr_high_reject_i8,SmallRng,Lemire,,,1386048.0,ns,1240218
distr_high_reject_i8,SmallRng,Lemire,,,1592858.0,ns,1417392
distr_high_reject_i8,SmallRng,Lemire,,,1779719.0,ns,1594566
distr_high_reject_i8,SmallRng,Lemire,,,1973084.0,ns,1771740
distr_high_reject_i8,SmallRng,Lemire,,,2181646.0,ns,1948914
distr_high_reject_i8,SmallRng,Lemire,,,2362105.0,ns,2126088
distr_high_reject_i8,SmallRng,Lemire,,,2569627.0,ns,2303262
distr_high_reject_i8,SmallRng,Lemire,,,2774472.0,ns,2480436
distr_high_reject_i8,SmallRng,Lemire,,,2967886.0,ns,2657610
distr_high_reject_i8,SmallRng,Lemire,,,3157774.0,ns,2834784
distr_high_reject_i8,SmallRng,Lemire,,,3346950.0,ns,3011958
distr_high_reject_i8,SmallRng,Lemire,,,3553408.0,ns,3189132
distr_high_reject_i8,SmallRng,Lemire,,,3758184.0,ns,3366306
distr_high_reject_i8,SmallRng,Lemire,,,3954864.0,ns,3543480
distr_high_reject_i8,SmallRng,Lemire,,,4142487.0,ns,3720654
distr_high_reject_i8,SmallRng,Lemire,,,4342253.0,ns,3897828
distr_high_reject_i8,SmallRng,Lemire,,,4536089.0,ns,4075002
distr_high_reject_i8,SmallRng,Lemire,,,4757394.0,ns,4252176
distr_high_reject_i8,SmallRng,Lemire,,,4932765.0,ns,4429350
distr_high_reject_i8,SmallRng,Lemire,,,5135867.0,ns,4606524
distr_high_reject_i8,SmallRng,Lemire,,,5334571.0,ns,4783698
distr_high_reject_i8,SmallRng,Lemire,,,5529348.0,ns,4960872
distr_high_reject_i8,SmallRng,Lemire,,,5717251.0,ns,5138046
distr_high_reject_i8,SmallRng,Lemire,,,5926515.0,ns,5315220
distr_high_reject_i8,SmallRng,Lemire,,,6118315.0,ns,5492394
distr_high_reject_i8,SmallRng,Lemire,,,6319785.0,ns,5669568
distr_high_reject_i8,SmallRng,Lemire,,,6514983.0,ns,5846742
distr_high_reject_i8,SmallRng,Lemire,,,6703678.0,ns,6023916
distr_high_reject_i8,SmallRng,Lemire,,,6917159.0,ns,6201090
distr_high_reject_i8,SmallRng,Lemire,,,7079876.0,ns,6378264
distr_high_reject_i8,SmallRng,Lemire,,,7268181.0,ns,6555438
distr_high_reject_i8,SmallRng,Lemire,,,7496640.0,ns,6732612
distr_high_reject_i8,SmallRng,Lemire,,,7665508.0,ns,6909786
distr_high_reject_i8,SmallRng,Lemire,,,7871746.0,ns,7086960
distr_high_reject_i8,SmallRng,Lemire,,,8054129.0,ns,7264134
distr_high_reject_i8,SmallRng,Lemire,,,8264606.0,ns,7441308
distr_high_reject_i8,SmallRng,Lemire,,,8461816.0,ns,7618482
distr_high_reject_i8,SmallRng,Lemire,,,8660151.0,ns,7795656
distr_high_reject_i8,SmallRng,Lemire,,,8845219.0,ns,7972830
distr_high_reject_i8,SmallRng,Lemire,,,9044975.0,ns,8150004
distr_high_reject_i8,SmallRng,Lemire,,,9234922.0,ns,8327178
distr_high_reject_i8,SmallRng,Lemire,,,9432654.0,ns,8504352
distr_high_reject_i8,SmallRng,Lemire,,,9624445.0,ns,8681526
distr_high_reject_i8,SmallRng,Lemire,,,9840541.0,ns,8858700
distr_high_reject_i8,SmallRng,Lemire,,,10024949.0,ns,9035874
distr_high_reject_i8,SmallRng,Lemire,,,10199388.0,ns,9213048
distr_high_reject_i8,SmallRng,Lemire,,,10415965.0,ns,9390222
distr_high_reject_i8,SmallRng,Lemire,,,10613707.0,ns,9567396
distr_high_reject_i8,SmallRng,Lemire,,,10801020.0,ns,9744570
distr_high_reject_i8,SmallRng,Lemire,,,11015614.0,ns,9921744
distr_high_reject_i8,SmallRng,Lemire,,,11198498.0,ns,10098918
distr_high_reject_i8,SmallRng,Lemire,,,11375361.0,ns,10276092
distr_high_reject_i8,SmallRng,Lemire,,,11592429.0,ns,10453266
distr_high_reject_i8,SmallRng,Lemire,,,11777898.0,ns,10630440
distr_high_reject_i8,SmallRng,Lemire,,,11963188.0,ns,10807614
distr_high_reject_i8,SmallRng,Lemire,,,12179264.0,ns,10984788
distr_high_reject_i8,SmallRng,Lemire,,,12363901.0,ns,11161962
distr_high_reject_i8,SmallRng,Lemire,,,12575339.0,ns,11339136
distr_high_reject_i8,SmallRng,Lemire,,,12748696.0,ns,11516310
distr_high_reject_i8,SmallRng,Lemire,,,12958471.0,ns,11693484
distr_high_reject_i8,SmallRng,Lemire,,,13161162.0,ns,11870658
distr_high_reject_i8,SmallRng,Lemire,,,13348875.0,ns,12047832
distr_high_reject_i8,SmallRng,Lemire,,,13561255.0,ns,12225006
distr_high_reject_i8,SmallRng,Lemire,,,13769407.0,ns,12402180
distr_high_reject_i8,SmallRng,Lemire,,,13962781.0,ns,12579354
distr_high_reject_i8,SmallRng,Lemire,,,14146306.0,ns,12756528
distr_high_reject_i8,SmallRng,Lemire,,,14346743.0,ns,12933702
distr_high_reject_i8,SmallRng,Lemire,,,14540548.0,ns,13110876
distr_high_reject_i8,SmallRng,Lemire,,,14728493.0,ns,13288050
distr_high_reject_i8,SmallRng,Lemire,,,14935742.0,ns,13465224
distr_high_reject_i8,SmallRng,Lemire,,,15128585.0,ns,13642398
distr_high_reject_i8,SmallRng,Lemire,,,15320276.0,ns,13819572
distr_high_reject_i8,SmallRng,Lemire,,,15507198.0,ns,13996746
distr_high_reject_i8,SmallRng,Lemire,,,15717865.0,ns,14173920
distr_high_reject_i8,SmallRng,Lemire,,,15900468.0,ns,14351094
distr_high_reject_i8,SmallRng,Lemire,,,16097279.0,ns,14528268
distr_high_reject_i8,SmallRng,Lemire,,,16303937.0,ns,14705442
distr_high_reject_i8,SmallRng,Lemire,,,16509615.0,ns,14882616
distr_high_reject_i8,SmallRng,Lemire,,,16697909.0,ns,15059790
distr_high_reject_i8,SmallRng,Lemire,,,16890512.0,ns,15236964
distr_high_reject_i8,SmallRng,Lemire,,,17061684.0,ns,15414138
distr_high_reject_i8,SmallRng,Lemire,,,17276698.0,ns,15591312
distr_high_reject_i8,SmallRng,Lemire,,,17465644.0,ns,15768486
distr_high_reject_i8,SmallRng,Lemire,,,17659198.0,ns,15945660
distr_high_reject_i8,SmallRng,Lemire,,,17858433.0,ns,16122834
distr_high_reject_i8,SmallRng,Lemire,,,18088005.0,ns,16300008
distr_high_reject_i8,SmallRng,Lemire,,,18252044.0,ns,16477182
distr_high_reject_i8,SmallRng,Lemire,,,18441361.0,ns,16654356
distr_high_reject_i8,SmallRng,Lemire,,,18649452.0,ns,16831530
distr_high_reject_i8,SmallRng,Lemire,,,18823099.0,ns,17008704
distr_high_reject_i8,SmallRng,Lemire,,,19029037.0,ns,17185878
distr_high_reject_i8,SmallRng,Lemire,,,19222039.0,ns,17363052
distr_high_reject_i8,SmallRng,Lemire,,,19419091.0,ns,17540226
distr_high_reject_i8,SmallRng,Lemire,,,19626391.0,ns,17717400
