group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
distr_low_reject_i128,ChaCha8Rng,Canon-Lemire,,,195909.0,ns,31958
distr_low_reject_i128,ChaCha8Rng,Canon-Lemire,,,390304.0,ns,63916
distr_low_reject_i128,ChaCha8Rng,Canon-Lemire,,,585983.0,ns,95874
distr_low_reject_i128,ChaCha8Rng,Canon-Lemire,,,780579.0,ns,127832
distr_low_reject_i128,ChaCha8Rng,Canon-Lemire,,,977610.0,ns,159790
distr_low_reject_i128,ChaCha8Rng,Canon-Lemire,,,1170954.0,ns,191748
distr_low_reject_i128,ChaCha8Rng,Canon-Lemire,,,1355602.0,ns,223706
distr_low_reject_i128,ChaCha8Rng,Canon-Lemire,,,1556761.0,ns,255664
distr_low_reject_i128,ChaCha8Rng,Canon-Lemire,,,1734214.0,ns,287622
distr_low_reject_i128,ChaCha8Rng,Canon-Lemire,,,2009452.0,ns,319580
distr_low_reject_i128,ChaCha8Rng,Canon-Lemire,,,2144366.0,ns,351538
distr_low_reject_i128,ChaCha8Rng,Canon-Lemire,,,2329184.0,ns,383496
distr_low_reject_i128,ChaCha8Rng,Canon-Lemire,,,2553617.0,ns,415454
distr_low_reject_i128,ChaCha8Rng,Canon-Lemire,,,2717395.0,ns,447412
distr_low_reject_i128,ChaCha8Rng,Canon-Lemire,,,3000117.0,ns,479370
distr_low_reject_i128,ChaCha8Rng,Canon-Lemire,,,3119261.0,ns,511328
distr_low_reject_i128,ChaCha8Rng,Canon-Lemire,,,3325759.0,ns,543286
distr_low_reject_i128,ChaCha8Rng,Canon-Lemire,,,3544572.0,ns,575244
distr_low_reject_i128,ChaCha8Rng,Canon-Lemire,,,3713880.0,ns,607202
distr_low_reject_i128,ChaCha8Rng,Canon-Lemire,,,3874573.0,ns,639160
distr_low_reject_i128,ChaCha8Rng,Canon-Lemire,,,4083376.0,ns,671118
distr_low_reject_i128,ChaCha8Rng,Canon-Lemire,,,4287660.0,ns,703076
distr_low_reject_i128,ChaCha8Rng,Canon-Lemire,,,4481335.0,ns,735034
distr_low_reject_i128,ChaCha8Rng,Canon-Lemire,,,4673146.0,ns,766992
distr_low_reject_i128,ChaCha8Rng,Canon-Lemire,,,4927996.0,ns,798950
distr_low_reject_i128,ChaCha8Rng,Canon-Lemire,,,5079591.0,ns,830908
