group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
distr_low_reject_i128,ChaCha8Rng,Canon,,,195458.0,ns,33471
distr_low_reject_i128,ChaCha8Rng,Canon,,,391837.0,ns,66942
distr_low_reject_i128,ChaCha8Rng,Canon,,,590291.0,ns,100413
distr_low_reject_i128,ChaCha8Rng,Canon,,,786401.0,ns,133884
distr_low_reject_i128,ChaCha8Rng,Canon,,,987489.0,ns,167355
distr_low_reject_i128,ChaCha8Rng,Canon,,,1171144.0,ns,200826
distr_low_reject_i128,ChaCha8Rng,Canon,,,1378354.0,ns,234297
distr_low_reject_i128,ChaCha8Rng,Canon,,,1564154.0,ns,267768
distr_low_reject_i128,ChaCha8Rng,Canon,,,1771064.0,ns,301239
distr_low_reject_i128,ChaCha8Rng,Canon,,,1967994.0,ns,334710
distr_low_reject_i128,ChaCha8Rng,Canon,,,2145619.0,ns,368181
distr_low_reject_i128,ChaCha8Rng,Canon,,,2367106.0,ns,401652
distr_low_reject_i128,ChaCha8Rng,Canon,,,2558987.0,ns,435123
distr_low_reject_i128,ChaCha8Rng,Canon,,,2741330.0,ns,468594
distr_low_reject_i128,ChaCha8Rng,Canon,,,2947959.0,ns,502065
distr_low_reject_i128,ChaCha8Rng,Canon,,,3121536.0,ns,535536
distr_low_reject_i128,ChaCha8Rng,Canon,,,3334216.0,ns,569007
distr_low_reject_i128,ChaCha8Rng,Canon,,,3543670.0,ns,602478
distr_low_reject_i128,ChaCha8Rng,Canon,,,3734880.0,ns,635949
distr_low_reject_i128,ChaCha8Rng,Canon,,,3924878.0,ns,669420
distr_low_reject_i128,ChaCha8Rng,Canon,,,4127028.0,ns,702891
distr_low_reject_i128,ChaCha8Rng,Canon,,,4322456.0,ns,736362
distr_low_reject_i128,ChaCha8Rng,Canon,,,4508416.0,ns,769833
distr_low_reject_i128,ChaCha8Rng,Canon,,,4706499.0,ns,803304
distr_low_reject_i128,ChaCha8Rng,Canon,,,4893581.0,ns,836775
distr_low_reject_i128,ChaCha8Rng,Canon,,,5103034.0,ns,870246
distr_low_reject_i128,ChaCha8Rng,Canon,,,5279878.0,ns,903717
distr_low_reject_i128,ChaCha8Rng,Canon,,,5473522.0,ns,937188
distr_low_reject_i128,ChaCha8Rng,Canon,,,5695050.0,ns,970659
distr_low_reject_i128,ChaCha8Rng,Canon,,,5910696.0,ns,1004130
distr_low_reject_i128,ChaCha8Rng,Canon,,,6109770.0,ns,1037601
distr_low_reject_i128,ChaCha8Rng,Canon,,,6249132.0,ns,1071072
distr_low_reject_i128,ChaCha8Rng,Canon,,,6466681.0,ns,1104543
distr_low_reject_i128,ChaCha8Rng,Canon,,,6699720.0,ns,1138014
distr_low_reject_i128,ChaCha8Rng,Canon,,,6865362.0,ns,1171485
distr_low_reject_i128,ChaCha8Rng,Canon,,,7034139.0,ns,1204956
distr_low_reject_i128,ChaCha8Rng,Canon,,,7216773.0,ns,1238427
distr_low_reject_i128,ChaCha8Rng,Canon,,,7479107.0,ns,1271898
distr_low_reject_i128,ChaCha8Rng,Canon,,,7647996.0,ns,1305369
distr_low_reject_i128,ChaCha8Rng,Canon,,,7820931.0,ns,1338840
distr_low_reject_i128,ChaCha8Rng,Canon,,,8003154.0,ns,1372311
distr_low_reject_i128,ChaCha8Rng,Canon,,,8178094.0,ns,1405782
distr_low_reject_i128,ChaCha8Rng,Canon,,,8434536.0,ns,1439253
distr_low_reject_i128,ChaCha8Rng,Canon,,,8584889.0,ns,1472724
distr_low_reject_i128,ChaCha8Rng,Canon,,,8809761.0,ns,1506195
distr_low_reject_i128,ChaCha8Rng,Canon,,,8975264.0,ns,1539666
distr_low_reject_i128,ChaCha8Rng,Canon,,,9151896.0,ns,1573137
distr_low_reject_i128,ChaCha8Rng,Canon,,,9356130.0,ns,1606608
distr_low_reject_i128,ChaCha8Rng,Canon,,,9586404.0,ns,1640079
distr_low_reject_i128,ChaCha8Rng,Canon,,,9786620.0,ns,1673550
distr_low_reject_i128,ChaCha8Rng,Canon,,,9933677.0,ns,1707021
distr_low_reject_i128,ChaCha8Rng,Canon,,,10145125.0,ns,1740492
distr_low_reject_i128,ChaCha8Rng,Canon,,,10364007.0,ns,1773963
distr_low_reject_i128,ChaCha8Rng,Canon,,,10524208.0,ns,1807434
distr_low_reject_i128,ChaCha8Rng,Canon,,,10761566.0,ns,1840905
distr_low_reject_i128,ChaCha8Rng,Canon,,,10949028.0,ns,1874376
distr_low_reject_i128,ChaCha8Rng,Canon,,,11115142.0,ns,1907847
distr_low_reject_i128,ChaCha8Rng,Canon,,,11311902.0,ns,1941318
distr_low_reject_i128,ChaCha8Rng,Canon,,,11544960.0,ns,1974789
distr_low_reject_i128,ChaCha8Rng,Canon,,,11697858.0,ns,2008260
distr_low_reject_i128,ChaCha8Rng,Canon,,,11918152.0,ns,2041731
