group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
distr_low_reject_i128,SmallRng,Lemire,,,197552.0,ns,42567
distr_low_reject_i128,SmallRng,Lemire,,,396376.0,ns,85134
distr_low_reject_i128,SmallRng,Lemire,,,592585.0,ns,127701
distr_low_reject_i128,SmallRng,Lemire,,,791750.0,ns,170268
distr_low_reject_i128,SmallRng,Lemire,,,989092.0,ns,212835
distr_low_reject_i128,SmallRng,Lemire,,,1186323.0,ns,255402
distr_low_reject_i128,SmallRng,Lemire,,,1385578.0,ns,297969
distr_low_reject_i128,SmallRng,Lemire,,,1581837.0,ns,340536
distr_low_reject_i128,SmallRng,Lemire,,,1780701.0,ns,383103
distr_low_reject_i128,SmallRng,Lemire,,,1977993.0,ns,425670
distr_low_reject_i128,SmallRng,Lemire,,,2175634.0,ns,468237
distr_low_reject_i128,SmallRng,Lemire,,,2374520.0,ns,510804
distr_low_reject_i128,SmallRng,Lemire,,,2570208.0,ns,553371
distr_low_reject_i128,SmallRng,Lemire,,,2768792.0,ns,595938
distr_low_reject_i128,SmallRng,Lemire,,,2966093.0,ns,638505
distr_low_reject_i128,SmallRng,Lemire,,,3163935.0,ns,681072
distr_low_reject_i128,SmallRng,Lemire,,,3363161.0,ns,723639
distr_low_reject_i128,SmallRng,Lemire,,,3559620.0,ns,766206
distr_low_reject_i128,SmallRng,Lemire,,,3757803.0,ns,808773
distr_low_reject_i128,SmallRng,Lemire,,,3955636.0,ns,851340
distr_low_reject_i128,SmallRng,Lemire,,,4152536.0,ns,893907
distr_low_reject_i128,SmallRng,Lemire,,,4349737.0,ns,936474
distr_low_reject_i128,SmallRng,Lemire,,,4548080.0,ns,979041
distr_low_reject_i128,SmallRng,Lemire,,,4746243.0,ns,1021608
distr_low_reject_i128,SmallRng,Lemire,,,4943324.0,ns,1064175
distr_low_reject_i128,SmallRng,Lemire,,,5142169.0,ns,1106742
distr_low_reject_i128,SmallRng,Lemire,,,5338779.0,ns,1149309
distr_low_reject_i128,SmallRng,Lemire,,,5536662.0,ns,1191876
distr_low_reject_i128,SmallRng,Lemire,,,5733352.0,ns,1234443
distr_low_reject_i128,SmallRng,Lemire,,,5920995.0,ns,1277010
distr_low_reject_i128,SmallRng,Lemire,,,6111193.0,ns,1319577
distr_low_reject_i128,SmallRng,Lemire,,,6318173.0,ns,1362144
distr_low_reject_i128,SmallRng,Lemire,,,6514873.0,ns,1404711
distr_low_reject_i128,SmallRng,Lemire,,,6710070.0,ns,1447278
distr_low_reject_i128,SmallRng,Lemire,,,6904176.0,ns,1489845
distr_low_reject_i128,SmallRng,Lemire,,,7096868.0,ns,1532412
distr_low_reject_i128,SmallRng,Lemire,,,7304318.0,ns,1574979
