group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
distr_low_reject_i16,ChaCha8Rng,Canon-Unbiased,,,197622.0,ns,57860
distr_low_reject_i16,ChaCha8Rng,Canon-Unbiased,,,393801.0,ns,115720
distr_low_reject_i16,ChaCha8Rng,Canon-Unbiased,,,588387.0,ns,173580
distr_low_reject_i16,ChaCha8Rng,Canon-Unbiased,,,789526.0,ns,231440
distr_low_reject_i16,ChaCha8Rng,Canon-Unbiased,,,998189.0,ns,289300
distr_low_reject_i16,ChaCha8Rng,Canon-Unbiased,,,1187425.0,ns,347160
distr_low_reject_i16,ChaCha8Rng,Canon-Unbiased,,,1390588.0,ns,405020
distr_low_reject_i16,ChaCha8Rng,Canon-Unbiased,,,1571569.0,ns,462880
distr_low_reject_i16,ChaCha8Rng,Canon-Unbiased,,,1779670.0,ns,520740
distr_low_reject_i16,ChaCha8Rng,Canon-Unbiased,,,1990065.0,ns,578600
distr_low_reject_i16,ChaCha8Rng,Canon-Unbiased,,,2172429.0,ns,636460
distr_low_reject_i16,ChaCha8Rng,Canon-Unbiased,,,2365853.0,ns,694320
distr_low_reject_i16,ChaCha8Rng,Canon-Unbiased,,,2576510.0,ns,752180
distr_low_reject_i16,ChaCha8Rng,Canon-Unbiased,,,2772780.0,ns,810040
distr_low_reject_i16,ChaCha8Rng,Canon-Unbiased,,,2959621.0,ns,867900
distr_low_reject_i16,ChaCha8Rng,Canon-Unbiased,,,3172471.0,ns,925760
distr_low_reject_i16,ChaCha8Rng,Canon-Unbiased,,,3358131.0,ns,983620
distr_low_reject_i16,ChaCha8Rng,Canon-Unbiased,,,3553298.0,ns,1041480
distr_low_reject_i16,ChaCha8Rng,Canon-Unbiased,,,3757001.0,ns,1099340
distr_low_reject_i16,ChaCha8Rng,Canon-Unbiased,,,3951126.0,ns,1157200
distr_low_reject_i16,ChaCha8Rng,Canon-Unbiased,,,4151033.0,ns,1215060
distr_low_reject_i16,ChaCha8Rng,Canon-Unbiased,,,4354346.0,ns,1272920
distr_low_reject_i16,ChaCha8Rng,Canon-Unbiased,,,4550275.0,ns,1330780
distr_low_reject_i16,ChaCha8Rng,Canon-Unbiased,,,4743187.0,ns,1388640
distr_low_reject_i16,ChaCha8Rng,Canon-Unbiased,,,4944927.0,ns,1446500
distr_low_reject_i16,ChaCha8Rng,Canon-Unbiased,,,5155854.0,ns,1504360
distr_low_reject_i16,ChaCha8Rng,Canon-Unbiased,,,5322969.0,ns,1562220
distr_low_reject_i16,ChaCha8Rng,Canon-Unbiased,,,5526521.0,ns,1620080
distr_low_reject_i16,ChaCha8Rng,Canon-Unbiased,,,5711871.0,ns,1677940
distr_low_reject_i16,ChaCha8Rng,Canon-Unbiased,,,6136470.0,ns,1735800
distr_low_reject_i16,ChaCha8Rng,Canon-Unbiased,,,6133424.0,ns,1793660
distr_low_reject_i16,ChaCha8Rng,Canon-Unbiased,,,6334954.0,ns,1851520
distr_low_reject_i16,ChaCha8Rng,Canon-Unbiased,,,6541433.0,ns,1909380
distr_low_reject_i16,ChaCha8Rng,Canon-Unbiased,,,6716072.0,ns,1967240
distr_low_reject_i16,ChaCha8Rng,Canon-Unbiased,,,6888786.0,ns,2025100
distr_low_reject_i16,ChaCha8Rng,Canon-Unbiased,,,7114181.0,ns,2082960
distr_low_reject_i16,ChaCha8Rng,Canon-Unbiased,,,7287607.0,ns,2140820
distr_low_reject_i16,ChaCha8Rng,Canon-Unbiased,,,7520876.0,ns,2198680
distr_low_reject_i16,ChaCha8Rng,Canon-Unbiased,,,7692329.0,ns,2256540
