group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
distr_low_reject_i16,ChaCha8Rng,Canon32,,,193685.0,ns,124063
distr_low_reject_i16,ChaCha8Rng,Canon32,,,386829.0,ns,248126
distr_low_reject_i16,ChaCha8Rng,Canon32,,,596493.0,ns,372189
distr_low_reject_i16,ChaCha8Rng,Canon32,,,798462.0,ns,496252
distr_low_reject_i16,ChaCha8Rng,Canon32,,,999190.0,ns,620315
distr_low_reject_i16,ChaCha8Rng,Canon32,,,1232019.0,ns,744378
distr_low_reject_i16,ChaCha8Rng,Canon32,,,1353879.0,ns,868441
distr_low_reject_i16,ChaCha8Rng,Canon32,,,1556530.0,ns,992504
distr_low_reject_i16,ChaCha8Rng,Canon32,,,1742459.0,ns,1116567
distr_low_reject_i16,ChaCha8Rng,Canon32,,,1937286.0,ns,1240630
distr_low_reject_i16,ChaCha8Rng,Canon32,,,2129939.0,ns,1364693
distr_low_reject_i16,ChaCha8Rng,Canon32,,,2331619.0,ns,1488756
distr_low_reject_i16,ChaCha8Rng,Canon32,,,2517599.0,ns,1612819
distr_low_reject_i16,ChaCha8Rng,Canon32,,,2708688.0,ns,1736882
distr_low_reject_i16,ChaCha8Rng,Canon32,,,2916980.0,ns,1860945
distr_low_reject_i16,ChaCha8Rng,Canon32,,,3084916.0,ns,1985008
distr_low_reject_i16,ChaCha8Rng,Canon32,,,3296966.0,ns,2109071
distr_low_reject_i16,ChaCha8Rng,Canon32,,,3516489.0,ns,2233134
distr_low_reject_i16,ChaCha8Rng,Canon32,,,3674215.0,ns,2357197
distr_low_reject_i16,ChaCha8Rng,Canon32,,,3884962.0,ns,2481260
distr_low_reject_i16,ChaCha8Rng,Canon32,,,4168095.0,ns,2605323
distr_low_reject_i16,ChaCha8Rng,Canon32,,,4422715.0,ns,2729386
distr_low_reject_i16,ChaCha8Rng,Canon32,,,4597223.0,ns,2853449
distr_low_reject_i16,ChaCha8Rng,Canon32,,,4763055.0,ns,2977512
distr_low_reject_i16,ChaCha8Rng,Canon32,,,5024807.0,ns,3101575
distr_low_reject_i16,ChaCha8Rng,Canon32,,,5263096.0,ns,3225638
distr_low_reject_i16,ChaCha8Rng,Canon32,,,5456861.0,ns,3349701
distr_low_reject_i16,ChaCha8Rng,Canon32,,,5718554.0,ns,3473764
distr_low_reject_i16,ChaCha8Rng,Canon32,,,5651306.0,ns,3597827
distr_low_reject_i16,ChaCha8Rng,Canon32,,,5649744.0,ns,3721890
distr_low_reject_i16,ChaCha8Rng,Canon32,,,5955239.0,ns,3845953
distr_low_reject_i16,ChaCha8Rng,Canon32,,,6304206.0,ns,3970016
distr_low_reject_i16,ChaCha8Rng,Canon32,,,6303986.0,ns,4094079
distr_low_reject_i16,ChaCha8Rng,Canon32,,,6460501.0,ns,4218142
distr_low_reject_i16,ChaCha8Rng,Canon32,,,6717824.0,ns,4342205
distr_low_reject_i16,ChaCha8Rng,Canon32,,,6780081.0,ns,4466268
distr_low_reject_i16,ChaCha8Rng,Canon32,,,6994455.0,ns,4590331
distr_low_reject_i16,ChaCha8Rng,Canon32,,,7339654.0,ns,4714394
distr_low_reject_i16,ChaCha8Rng,Canon32,,,7491661.0,ns,4838457
