group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
distr_low_reject_i16,Pcg32,Bitmask,,,198944.0,ns,159428
distr_low_reject_i16,Pcg32,Bitmask,,,395204.0,ns,318856
distr_low_reject_i16,Pcg32,Bitmask,,,593948.0,ns,478284
distr_low_reject_i16,Pcg32,Bitmask,,,790418.0,ns,637712
distr_low_reject_i16,Pcg32,Bitmask,,,989132.0,ns,797140
distr_low_reject_i16,Pcg32,Bitmask,,,1187775.0,ns,956568
distr_low_reject_i16,Pcg32,Bitmask,,,1384175.0,ns,1115996
distr_low_reject_i16,Pcg32,Bitmask,,,1582790.0,ns,1275424
distr_low_reject_i16,Pcg32,Bitmask,,,1779469.0,ns,1434852
distr_low_reject_i16,Pcg32,Bitmask,,,1978023.0,ns,1594280
distr_low_reject_i16,Pcg32,Bitmask,,,2177438.0,ns,1753708
distr_low_reject_i16,Pcg32,Bitmask,,,2373378.0,ns,1913136
distr_low_reject_i16,Pcg32,Bitmask,,,2571070.0,ns,2072564
distr_low_reject_i16,Pcg32,Bitmask,,,2770555.0,ns,2231992
distr_low_reject_i16,Pcg32,Bitmask,,,2967535.0,ns,2391420
distr_low_reject_i16,Pcg32,Bitmask,,,3165328.0,ns,2550848
distr_low_reject_i16,Pcg32,Bitmask,,,3366316.0,ns,2710276
distr_low_reject_i16,Pcg32,Bitmask,,,3560381.0,ns,2869704
distr_low_reject_i16,Pcg32,Bitmask,,,3759105.0,ns,3029132
distr_low_reject_i16,Pcg32,Bitmask,,,3956858.0,ns,3188560
distr_low_reject_i16,Pcg32,Bitmask,,,4154500.0,ns,3347988
distr_low_reject_i16,Pcg32,Bitmask,,,4352793.0,ns,3507416
distr_low_reject_i16,Pcg32,Bitmask,,,4552569.0,ns,3666844
distr_low_reject_i16,Pcg32,Bitmask,,,4748949.0,ns,3826272
distr_low_reject_i16,Pcg32,Bitmask,,,4946180.0,ns,3985700
distr_low_reject_i16,Pcg32,Bitmask,,,5144473.0,ns,4145128
distr_low_reject_i16,Pcg32,Bitmask,,,5341183.0,ns,4304556
distr_low_reject_i16,Pcg32,Bitmask,,,5541260.0,ns,4463984
distr_low_reject_i16,Pcg32,Bitmask,,,5737840.0,ns,4623412
distr_low_reject_i16,Pcg32,Bitmask,,,5933418.0,ns,4782840
distr_low_reject_i16,Pcg32,Bitmask,,,6133946.0,ns,4942268
distr_low_reject_i16,Pcg32,Bitmask,,,6330576.0,ns,5101696
distr_low_reject_i16,Pcg32,Bitmask,,,6529150.0,ns,5261124
distr_low_reject_i16,Pcg32,Bitmask,,,6727723.0,ns,5420552
distr_low_reject_i16,Pcg32,Bitmask,,,6925044.0,ns,5579980
distr_low_reject_i16,Pcg32,Bitmask,,,7124610.0,ns,5739408
distr_low_reject_i16,Pcg32,Bitmask,,,7320379.0,ns,5898836
distr_low_reject_i16,Pcg32,Bitmask,,,7517510.0,ns,6058264
distr_low_reject_i16,Pcg32,Bitmask,,,7715662.0,ns,6217692
distr_low_reject_i16,Pcg32,Bitmask,,,7914627.0,ns,6377120
distr_low_reject_i16,Pcg32,Bitmask,,,8112349.0,ns,6536548
distr_low_reject_i16,Pcg32,Bitmask,,,8309190.0,ns,6695976
distr_low_reject_i16,Pcg32,Bitmask,,,8506832.0,ns,6855404
distr_low_reject_i16,Pcg32,Bitmask,,,8705226.0,ns,7014832
distr_low_reject_i16,Pcg32,Bitmask,,,8902306.0,ns,7174260
distr_low_reject_i16,Pcg32,Bitmask,,,9099837.0,ns,7333688
distr_low_reject_i16,Pcg32,Bitmask,,,9300987.0,ns,7493116
distr_low_reject_i16,Pcg32,Bitmask,,,9496294.0,ns,7652544
distr_low_reject_i16,Pcg32,Bitmask,,,9694457.0,ns,7811972
distr_low_reject_i16,Pcg32,Bitmask,,,9891809.0,ns,7971400
distr_low_reject_i16,Pcg32,Bitmask,,,10088609.0,ns,8130828
distr_low_reject_i16,Pcg32,Bitmask,,,10285670.0,ns,8290256
distr_low_reject_i16,Pcg32,Bitmask,,,10485606.0,ns,8449684
distr_low_reject_i16,Pcg32,Bitmask,,,10680292.0,ns,8609112
distr_low_reject_i16,Pcg32,Bitmask,,,10880690.0,ns,8768540
distr_low_reject_i16,Pcg32,Bitmask,,,11076418.0,ns,8927968
distr_low_reject_i16,Pcg32,Bitmask,,,11274952.0,ns,9087396
distr_low_reject_i16,Pcg32,Bitmask,,,11476532.0,ns,9246824
distr_low_reject_i16,Pcg32,Bitmask,,,11671939.0,ns,9406252
distr_low_reject_i16,Pcg32,Bitmask,,,11869361.0,ns,9565680
distr_low_reject_i16,Pcg32,Bitmask,,,12066612.0,ns,9725108
distr_low_reject_i16,Pcg32,Bitmask,,,12264174.0,ns,9884536
distr_low_reject_i16,Pcg32,Bitmask,,,12463889.0,ns,10043964
distr_low_reject_i16,Pcg32,Bitmask,,,12662644.0,ns,10203392
distr_low_reject_i16,Pcg32,Bitmask,,,12860586.0,ns,10362820
distr_low_reject_i16,Pcg32,Bitmask,,,13058819.0,ns,10522248
distr_low_reject_i16,Pcg32,Bitmask,,,13254958.0,ns,10681676
distr_low_reject_i16,Pcg32,Bitmask,,,13453061.0,ns,10841104
distr_low_reject_i16,Pcg32,Bitmask,,,13648339.0,ns,11000532
distr_low_reject_i16,Pcg32,Bitmask,,,13848315.0,ns,11159960
distr_low_reject_i16,Pcg32,Bitmask,,,14045356.0,ns,11319388
distr_low_reject_i16,Pcg32,Bitmask,,,14241316.0,ns,11478816
distr_low_reject_i16,Pcg32,Bitmask,,,14443556.0,ns,11638244
distr_low_reject_i16,Pcg32,Bitmask,,,14636829.0,ns,11797672
distr_low_reject_i16,Pcg32,Bitmask,,,14836155.0,ns,11957100
distr_low_reject_i16,Pcg32,Bitmask,,,15033577.0,ns,12116528
distr_low_reject_i16,Pcg32,Bitmask,,,15231980.0,ns,12275956
distr_low_reject_i16,Pcg32,Bitmask,,,15428621.0,ns,12435384
distr_low_reject_i16,Pcg32,Bitmask,,,15627825.0,ns,12594812
distr_low_reject_i16,Pcg32,Bitmask,,,15828232.0,ns,12754240
distr_low_reject_i16,Pcg32,Bitmask,,,16023520.0,ns,12913668
distr_low_reject_i16,Pcg32,Bitmask,,,16221702.0,ns,13073096
distr_low_reject_i16,Pcg32,Bitmask,,,16420607.0,ns,13232524
distr_low_reject_i16,Pcg32,Bitmask,,,16617587.0,ns,13391952
distr_low_reject_i16,Pcg32,Bitmask,,,16814528.0,ns,13551380
distr_low_reject_i16,Pcg32,Bitmask,,,17018041.0,ns,13710808
distr_low_reject_i16,Pcg32,Bitmask,,,17208510.0,ns,13870236
distr_low_reject_i16,Pcg32,Bitmask,,,17407033.0,ns,14029664
distr_low_reject_i16,Pcg32,Bitmask,,,17652656.0,ns,14189092
distr_low_reject_i16,Pcg32,Bitmask,,,17812307.0,ns,14348520
distr_low_reject_i16,Pcg32,Bitmask,,,18003155.0,ns,14507948
distr_low_reject_i16,Pcg32,Bitmask,,,18201309.0,ns,14667376
distr_low_reject_i16,Pcg32,Bitmask,,,18422455.0,ns,14826804
distr_low_reject_i16,Pcg32,Bitmask,,,18594489.0,ns,14986232
distr_low_reject_i16,Pcg32,Bitmask,,,18793143.0,ns,15145660
distr_low_reject_i16,Pcg32,Bitmask,,,18989352.0,ns,15305088
distr_low_reject_i16,Pcg32,Bitmask,,,19189920.0,ns,15464516
distr_low_reject_i16,Pcg32,Bitmask,,,19385077.0,ns,15623944
distr_low_reject_i16,Pcg32,Bitmask,,,19584011.0,ns,15783372
distr_low_reject_i16,Pcg32,Bitmask,,,19784418.0,ns,15942800
