group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
distr_low_reject_i16,Pcg32,Lemire,,,196900.0,ns,156387
distr_low_reject_i16,Pcg32,Lemire,,,359186.0,ns,312774
distr_low_reject_i16,Pcg32,Lemire,,,590641.0,ns,469161
distr_low_reject_i16,Pcg32,Lemire,,,788764.0,ns,625548
distr_low_reject_i16,Pcg32,Lemire,,,987479.0,ns,781935
distr_low_reject_i16,Pcg32,Lemire,,,1182747.0,ns,938322
distr_low_reject_i16,Pcg32,Lemire,,,1380579.0,ns,1094709
distr_low_reject_i16,Pcg32,Lemire,,,1576207.0,ns,1251096
distr_low_reject_i16,Pcg32,Lemire,,,1774400.0,ns,1407483
distr_low_reject_i16,Pcg32,Lemire,,,1971120.0,ns,1563870
distr_low_reject_i16,Pcg32,Lemire,,,2168461.0,ns,1720257
distr_low_reject_i16,Pcg32,Lemire,,,2364751.0,ns,1876644
distr_low_reject_i16,Pcg32,Lemire,,,2605404.0,ns,2033031
distr_low_reject_i16,Pcg32,Lemire,,,2780212.0,ns,2189418
distr_low_reject_i16,Pcg32,Lemire,,,2957096.0,ns,2345805
distr_low_reject_i16,Pcg32,Lemire,,,3153666.0,ns,2502192
distr_low_reject_i16,Pcg32,Lemire,,,3350547.0,ns,2658579
distr_low_reject_i16,Pcg32,Lemire,,,3548529.0,ns,2814966
distr_low_reject_i16,Pcg32,Lemire,,,3747794.0,ns,2971353
distr_low_reject_i16,Pcg32,Lemire,,,3941889.0,ns,3127740
distr_low_reject_i16,Pcg32,Lemire,,,4139682.0,ns,3284127
distr_low_reject_i16,Pcg32,Lemire,,,4336152.0,ns,3440514
distr_low_reject_i16,Pcg32,Lemire,,,4533814.0,ns,3596901
distr_low_reject_i16,Pcg32,Lemire,,,4729252.0,ns,3753288
distr_low_reject_i16,Pcg32,Lemire,,,4927083.0,ns,3909675
distr_low_reject_i16,Pcg32,Lemire,,,5127461.0,ns,4066062
distr_low_reject_i16,Pcg32,Lemire,,,5323379.0,ns,4222449
distr_low_reject_i16,Pcg32,Lemire,,,5519909.0,ns,4378836
distr_low_reject_i16,Pcg32,Lemire,,,5719285.0,ns,4535223
distr_low_reject_i16,Pcg32,Lemire,,,5913801.0,ns,4691610
distr_low_reject_i16,Pcg32,Lemire,,,6109910.0,ns,4847997
distr_low_reject_i16,Pcg32,Lemire,,,6310838.0,ns,5004384
distr_low_reject_i16,Pcg32,Lemire,,,6503431.0,ns,5160771
distr_low_reject_i16,Pcg32,Lemire,,,6695432.0,ns,5317158
distr_low_reject_i16,Pcg32,Lemire,,,6898795.0,ns,5473545
distr_low_reject_i16,Pcg32,Lemire,,,7095254.0,ns,5629932
distr_low_reject_i16,Pcg32,Lemire,,,7289200.0,ns,5786319
distr_low_reject_i16,Pcg32,Lemire,,,7479879.0,ns,5942706
distr_low_reject_i16,Pcg32,Lemire,,,7671339.0,ns,6099093
distr_low_reject_i16,Pcg32,Lemire,,,7861628.0,ns,6255480
distr_low_reject_i16,Pcg32,Lemire,,,8074007.0,ns,6411867
distr_low_reject_i16,Pcg32,Lemire,,,8252152.0,ns,6568254
distr_low_reject_i16,Pcg32,Lemire,,,8444604.0,ns,6724641
distr_low_reject_i16,Pcg32,Lemire,,,8640553.0,ns,6881028
distr_low_reject_i16,Pcg32,Lemire,,,8837383.0,ns,7037415
distr_low_reject_i16,Pcg32,Lemire,,,9038222.0,ns,7193802
distr_low_reject_i16,Pcg32,Lemire,,,9227708.0,ns,7350189
distr_low_reject_i16,Pcg32,Lemire,,,9417176.0,ns,7506576
distr_low_reject_i16,Pcg32,Lemire,,,9614507.0,ns,7662963
distr_low_reject_i16,Pcg32,Lemire,,,9814263.0,ns,7819350
distr_low_reject_i16,Pcg32,Lemire,,,10023887.0,ns,7975737
distr_low_reject_i16,Pcg32,Lemire,,,10195901.0,ns,8132124
distr_low_reject_i16,Pcg32,Lemire,,,10405615.0,ns,8288511
distr_low_reject_i16,Pcg32,Lemire,,,10589822.0,ns,8444898
distr_low_reject_i16,Pcg32,Lemire,,,10782705.0,ns,8601285
distr_low_reject_i16,Pcg32,Lemire,,,10979436.0,ns,8757672
distr_low_reject_i16,Pcg32,Lemire,,,11175354.0,ns,8914059
distr_low_reject_i16,Pcg32,Lemire,,,11378226.0,ns,9070446
