group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
distr_low_reject_i16,Pcg64,Canon-Lemire,,,197552.0,ns,134484
distr_low_reject_i16,Pcg64,Canon-Lemire,,,394613.0,ns,268968
distr_low_reject_i16,Pcg64,Canon-Lemire,,,589490.0,ns,403452
distr_low_reject_i16,Pcg64,Canon-Lemire,,,791039.0,ns,537936
distr_low_reject_i16,Pcg64,Canon-Lemire,,,985004.0,ns,672420
distr_low_reject_i16,Pcg64,Canon-Lemire,,,1184901.0,ns,806904
distr_low_reject_i16,Pcg64,Canon-Lemire,,,1379597.0,ns,941388
distr_low_reject_i16,Pcg64,Canon-Lemire,,,1576798.0,ns,1075872
distr_low_reject_i16,Pcg64,Canon-Lemire,,,1773698.0,ns,1210356
distr_low_reject_i16,Pcg64,Canon-Lemire,,,1972342.0,ns,1344840
distr_low_reject_i16,Pcg64,Canon-Lemire,,,2171657.0,ns,1479324
distr_low_reject_i16,Pcg64,Canon-Lemire,,,2372095.0,ns,1613808
distr_low_reject_i16,Pcg64,Canon-Lemire,,,2561952.0,ns,1748292
distr_low_reject_i16,Pcg64,Canon-Lemire,,,2762069.0,ns,1882776
distr_low_reject_i16,Pcg64,Canon-Lemire,,,2958499.0,ns,2017260
distr_low_reject_i16,Pcg64,Canon-Lemire,,,3158445.0,ns,2151744
distr_low_reject_i16,Pcg64,Canon-Lemire,,,3351127.0,ns,2286228
distr_low_reject_i16,Pcg64,Canon-Lemire,,,3555242.0,ns,2420712
distr_low_reject_i16,Pcg64,Canon-Lemire,,,3751351.0,ns,2555196
distr_low_reject_i16,Pcg64,Canon-Lemire,,,3946017.0,ns,2689680
distr_low_reject_i16,Pcg64,Canon-Lemire,,,4137558.0,ns,2824164
distr_low_reject_i16,Pcg64,Canon-Lemire,,,4335420.0,ns,2958648
distr_low_reject_i16,Pcg64,Canon-Lemire,,,4535366.0,ns,3093132
distr_low_reject_i16,Pcg64,Canon-Lemire,,,4732447.0,ns,3227616
distr_low_reject_i16,Pcg64,Canon-Lemire,,,4924799.0,ns,3362100
distr_low_reject_i16,Pcg64,Canon-Lemire,,,5125778.0,ns,3496584
distr_low_reject_i16,Pcg64,Canon-Lemire,,,5315755.0,ns,3631068
distr_low_reject_i16,Pcg64,Canon-Lemire,,,5517115.0,ns,3765552
distr_low_reject_i16,Pcg64,Canon-Lemire,,,5718273.0,ns,3900036
distr_low_reject_i16,Pcg64,Canon-Lemire,,,5916246.0,ns,4034520
distr_low_reject_i16,Pcg64,Canon-Lemire,,,6103649.0,ns,4169004
distr_low_reject_i16,Pcg64,Canon-Lemire,,,6294869.0,ns,4303488
distr_low_reject_i16,Pcg64,Canon-Lemire,,,6491709.0,ns,4437972
distr_low_reject_i16,Pcg64,Canon-Lemire,,,6691134.0,ns,4572456
distr_low_reject_i16,Pcg64,Canon-Lemire,,,6891561.0,ns,4706940
distr_low_reject_i16,Pcg64,Canon-Lemire,,,7084494.0,ns,4841424
distr_low_reject_i16,Pcg64,Canon-Lemire,,,7278810.0,ns,4975908
distr_low_reject_i16,Pcg64,Canon-Lemire,,,7474168.0,ns,5110392
distr_low_reject_i16,Pcg64,Canon-Lemire,,,7672952.0,ns,5244876
distr_low_reject_i16,Pcg64,Canon-Lemire,,,7858711.0,ns,5379360
distr_low_reject_i16,Pcg64,Canon-Lemire,,,8065251.0,ns,5513844
distr_low_reject_i16,Pcg64,Canon-Lemire,,,8266319.0,ns,5648328
distr_low_reject_i16,Pcg64,Canon-Lemire,,,8461767.0,ns,5782812
distr_low_reject_i16,Pcg64,Canon-Lemire,,,8654069.0,ns,5917296
distr_low_reject_i16,Pcg64,Canon-Lemire,,,8853915.0,ns,6051780
distr_low_reject_i16,Pcg64,Canon-Lemire,,,9049634.0,ns,6186264
distr_low_reject_i16,Pcg64,Canon-Lemire,,,9247205.0,ns,6320748
distr_low_reject_i16,Pcg64,Canon-Lemire,,,9435991.0,ns,6455232
distr_low_reject_i16,Pcg64,Canon-Lemire,,,9639223.0,ns,6589716
distr_low_reject_i16,Pcg64,Canon-Lemire,,,9832066.0,ns,6724200
distr_low_reject_i16,Pcg64,Canon-Lemire,,,10023206.0,ns,6858684
distr_low_reject_i16,Pcg64,Canon-Lemire,,,10215868.0,ns,6993168
distr_low_reject_i16,Pcg64,Canon-Lemire,,,10406457.0,ns,7127652
distr_low_reject_i16,Pcg64,Canon-Lemire,,,10599941.0,ns,7262136
distr_low_reject_i16,Pcg64,Canon-Lemire,,,10795991.0,ns,7396620
distr_low_reject_i16,Pcg64,Canon-Lemire,,,10986309.0,ns,7531104
distr_low_reject_i16,Pcg64,Canon-Lemire,,,11188279.0,ns,7665588
distr_low_reject_i16,Pcg64,Canon-Lemire,,,11382184.0,ns,7800072
distr_low_reject_i16,Pcg64,Canon-Lemire,,,11573594.0,ns,7934556
distr_low_reject_i16,Pcg64,Canon-Lemire,,,11788198.0,ns,8069040
distr_low_reject_i16,Pcg64,Canon-Lemire,,,11969209.0,ns,8203524
distr_low_reject_i16,Pcg64,Canon-Lemire,,,12150480.0,ns,8338008
distr_low_reject_i16,Pcg64,Canon-Lemire,,,12354944.0,ns,8472492
distr_low_reject_i16,Pcg64,Canon-Lemire,,,12557025.0,ns,8606976
distr_low_reject_i16,Pcg64,Canon-Lemire,,,12742143.0,ns,8741460
distr_low_reject_i16,Pcg64,Canon-Lemire,,,12936900.0,ns,8875944
distr_low_reject_i16,Pcg64,Canon-Lemire,,,13135374.0,ns,9010428
distr_low_reject_i16,Pcg64,Canon-Lemire,,,13327415.0,ns,9144912
distr_low_reject_i16,Pcg64,Canon-Lemire,,,13533803.0,ns,9279396
distr_low_reject_i16,Pcg64,Canon-Lemire,,,13740021.0,ns,9413880
distr_low_reject_i16,Pcg64,Canon-Lemire,,,13914831.0,ns,9548364
distr_low_reject_i16,Pcg64,Canon-Lemire,,,14124936.0,ns,9682848
distr_low_reject_i16,Pcg64,Canon-Lemire,,,14306718.0,ns,9817332
distr_low_reject_i16,Pcg64,Canon-Lemire,,,14503288.0,ns,9951816
distr_low_reject_i16,Pcg64,Canon-Lemire,,,14701621.0,ns,10086300
distr_low_reject_i16,Pcg64,Canon-Lemire,,,14890918.0,ns,10220784
distr_low_reject_i16,Pcg64,Canon-Lemire,,,15088519.0,ns,10355268
distr_low_reject_i16,Pcg64,Canon-Lemire,,,15285360.0,ns,10489752
distr_low_reject_i16,Pcg64,Canon-Lemire,,,15481950.0,ns,10624236
distr_low_reject_i16,Pcg64,Canon-Lemire,,,15679502.0,ns,10758720
distr_low_reject_i16,Pcg64,Canon-Lemire,,,15863829.0,ns,10893204
distr_low_reject_i16,Pcg64,Canon-Lemire,,,16066009.0,ns,11027688
distr_low_reject_i16,Pcg64,Canon-Lemire,,,16281816.0,ns,11162172
distr_low_reject_i16,Pcg64,Canon-Lemire,,,16466183.0,ns,11296656
distr_low_reject_i16,Pcg64,Canon-Lemire,,,16661701.0,ns,11431140
distr_low_reject_i16,Pcg64,Canon-Lemire,,,16872247.0,ns,11565624
distr_low_reject_i16,Pcg64,Canon-Lemire,,,17065932.0,ns,11700108
distr_low_reject_i16,Pcg64,Canon-Lemire,,,17259266.0,ns,11834592
distr_low_reject_i16,Pcg64,Canon-Lemire,,,17459302.0,ns,11969076
distr_low_reject_i16,Pcg64,Canon-Lemire,,,17681661.0,ns,12103560
distr_low_reject_i16,Pcg64,Canon-Lemire,,,17842293.0,ns,12238044
distr_low_reject_i16,Pcg64,Canon-Lemire,,,18017483.0,ns,12372528
distr_low_reject_i16,Pcg64,Canon-Lemire,,,18211678.0,ns,12507012
distr_low_reject_i16,Pcg64,Canon-Lemire,,,18414350.0,ns,12641496
distr_low_reject_i16,Pcg64,Canon-Lemire,,,18594308.0,ns,12775980
distr_low_reject_i16,Pcg64,Canon-Lemire,,,18798813.0,ns,12910464
distr_low_reject_i16,Pcg64,Canon-Lemire,,,18993499.0,ns,13044948
distr_low_reject_i16,Pcg64,Canon-Lemire,,,19190411.0,ns,13179432
distr_low_reject_i16,Pcg64,Canon-Lemire,,,19387772.0,ns,13313916
distr_low_reject_i16,Pcg64,Canon-Lemire,,,19577870.0,ns,13448400
