group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
distr_low_reject_i16,Pcg64,Old,,,198143.0,ns,138419
distr_low_reject_i16,Pcg64,Old,,,397508.0,ns,276838
distr_low_reject_i16,Pcg64,Old,,,594369.0,ns,415257
distr_low_reject_i16,Pcg64,Old,,,791390.0,ns,553676
distr_low_reject_i16,Pcg64,Old,,,988731.0,ns,692095
distr_low_reject_i16,Pcg64,Old,,,1186804.0,ns,830514
distr_low_reject_i16,Pcg64,Old,,,1386891.0,ns,968933
distr_low_reject_i16,Pcg64,Old,,,1585925.0,ns,1107352
distr_low_reject_i16,Pcg64,Old,,,1779900.0,ns,1245771
distr_low_reject_i16,Pcg64,Old,,,1980919.0,ns,1384190
distr_low_reject_i16,Pcg64,Old,,,2179121.0,ns,1522609
distr_low_reject_i16,Pcg64,Old,,,2378757.0,ns,1661028
distr_low_reject_i16,Pcg64,Old,,,2573163.0,ns,1799447
distr_low_reject_i16,Pcg64,Old,,,2779772.0,ns,1937866
distr_low_reject_i16,Pcg64,Old,,,2825899.0,ns,2076285
distr_low_reject_i16,Pcg64,Old,,,3184784.0,ns,2214704
distr_low_reject_i16,Pcg64,Old,,,3364323.0,ns,2353123
distr_low_reject_i16,Pcg64,Old,,,3443261.0,ns,2491542
distr_low_reject_i16,Pcg64,Old,,,3758815.0,ns,2629961
distr_low_reject_i16,Pcg64,Old,,,3957288.0,ns,2768380
distr_low_reject_i16,Pcg64,Old,,,4159499.0,ns,2906799
distr_low_reject_i16,Pcg64,Old,,,4361729.0,ns,3045218
distr_low_reject_i16,Pcg64,Old,,,4553601.0,ns,3183637
distr_low_reject_i16,Pcg64,Old,,,4765731.0,ns,3322056
distr_low_reject_i16,Pcg64,Old,,,4952782.0,ns,3460475
distr_low_reject_i16,Pcg64,Old,,,5155764.0,ns,3598894
distr_low_reject_i16,Pcg64,Old,,,5356803.0,ns,3737313
distr_low_reject_i16,Pcg64,Old,,,5417778.0,ns,3875732
distr_low_reject_i16,Pcg64,Old,,,5733151.0,ns,4014151
distr_low_reject_i16,Pcg64,Old,,,5929501.0,ns,4152570
distr_low_reject_i16,Pcg64,Old,,,6137332.0,ns,4290989
distr_low_reject_i16,Pcg64,Old,,,6318703.0,ns,4429408
distr_low_reject_i16,Pcg64,Old,,,6386480.0,ns,4567827
distr_low_reject_i16,Pcg64,Old,,,6714498.0,ns,4706246
distr_low_reject_i16,Pcg64,Old,,,6905838.0,ns,4844665
distr_low_reject_i16,Pcg64,Old,,,7108760.0,ns,4983084
distr_low_reject_i16,Pcg64,Old,,,7302354.0,ns,5121503
distr_low_reject_i16,Pcg64,Old,,,7499545.0,ns,5259922
distr_low_reject_i16,Pcg64,Old,,,7694873.0,ns,5398341
distr_low_reject_i16,Pcg64,Old,,,7753444.0,ns,5536760
distr_low_reject_i16,Pcg64,Old,,,8088384.0,ns,5675179
distr_low_reject_i16,Pcg64,Old,,,8295875.0,ns,5813598
distr_low_reject_i16,Pcg64,Old,,,8484129.0,ns,5952017
distr_low_reject_i16,Pcg64,Old,,,8685077.0,ns,6090436
distr_low_reject_i16,Pcg64,Old,,,8878641.0,ns,6228855
distr_low_reject_i16,Pcg64,Old,,,9074861.0,ns,6367274
distr_low_reject_i16,Pcg64,Old,,,9272563.0,ns,6505693
distr_low_reject_i16,Pcg64,Old,,,9346432.0,ns,6644112
distr_low_reject_i16,Pcg64,Old,,,9671704.0,ns,6782531
distr_low_reject_i16,Pcg64,Old,,,9730184.0,ns,6920950
distr_low_reject_i16,Pcg64,Old,,,10074522.0,ns,7059369
distr_low_reject_i16,Pcg64,Old,,,10267796.0,ns,7197788
distr_low_reject_i16,Pcg64,Old,,,10470137.0,ns,7336207
distr_low_reject_i16,Pcg64,Old,,,10656638.0,ns,7474626
distr_low_reject_i16,Pcg64,Old,,,10852687.0,ns,7613045
distr_low_reject_i16,Pcg64,Old,,,11048645.0,ns,7751464
distr_low_reject_i16,Pcg64,Old,,,11248072.0,ns,7889883
distr_low_reject_i16,Pcg64,Old,,,11440454.0,ns,8028302
distr_low_reject_i16,Pcg64,Old,,,11624079.0,ns,8166721
distr_low_reject_i16,Pcg64,Old,,,11823164.0,ns,8305140
distr_low_reject_i16,Pcg64,Old,,,12020495.0,ns,8443559
distr_low_reject_i16,Pcg64,Old,,,12221975.0,ns,8581978
distr_low_reject_i16,Pcg64,Old,,,12412794.0,ns,8720397
distr_low_reject_i16,Pcg64,Old,,,12610094.0,ns,8858816
distr_low_reject_i16,Pcg64,Old,,,12808057.0,ns,8997235
distr_low_reject_i16,Pcg64,Old,,,13008916.0,ns,9135654
distr_low_reject_i16,Pcg64,Old,,,13191619.0,ns,9274073
distr_low_reject_i16,Pcg64,Old,,,13385263.0,ns,9412492
distr_low_reject_i16,Pcg64,Old,,,13596922.0,ns,9550911
distr_low_reject_i16,Pcg64,Old,,,13792921.0,ns,9689330
distr_low_reject_i16,Pcg64,Old,,,13990844.0,ns,9827749
distr_low_reject_i16,Pcg64,Old,,,14190109.0,ns,9966168
distr_low_reject_i16,Pcg64,Old,,,14384925.0,ns,10104587
distr_low_reject_i16,Pcg64,Old,,,14430952.0,ns,10243006
distr_low_reject_i16,Pcg64,Old,,,14781322.0,ns,10381425
distr_low_reject_i16,Pcg64,Old,,,14965308.0,ns,10519844
distr_low_reject_i16,Pcg64,Old,,,15175403.0,ns,10658263
distr_low_reject_i16,Pcg64,Old,,,15361584.0,ns,10796682
distr_low_reject_i16,Pcg64,Old,,,15553676.0,ns,10935101
distr_low_reject_i16,Pcg64,Old,,,15774060.0,ns,11073520
distr_low_reject_i16,Pcg64,Old,,,15940574.0,ns,11211939
distr_low_reject_i16,Pcg64,Old,,,16140170.0,ns,11350358
distr_low_reject_i16,Pcg64,Old,,,16346487.0,ns,11488777
distr_low_reject_i16,Pcg64,Old,,,16536605.0,ns,11627196
distr_low_reject_i16,Pcg64,Old,,,16740860.0,ns,11765615
distr_low_reject_i16,Pcg64,Old,,,16936098.0,ns,11904034
distr_low_reject_i16,Pcg64,Old,,,17130003.0,ns,12042453
distr_low_reject_i16,Pcg64,Old,,,17316864.0,ns,12180872
distr_low_reject_i16,Pcg64,Old,,,17523323.0,ns,12319291
distr_low_reject_i16,Pcg64,Old,,,17722368.0,ns,12457710
distr_low_reject_i16,Pcg64,Old,,,17773644.0,ns,12596129
distr_low_reject_i16,Pcg64,Old,,,18118703.0,ns,12734548
distr_low_reject_i16,Pcg64,Old,,,18299614.0,ns,12872967
distr_low_reject_i16,Pcg64,Old,,,18508327.0,ns,13011386
distr_low_reject_i16,Pcg64,Old,,,18706038.0,ns,13149805
distr_low_reject_i16,Pcg64,Old,,,18913249.0,ns,13288224
distr_low_reject_i16,Pcg64,Old,,,19125478.0,ns,13426643
distr_low_reject_i16,Pcg64,Old,,,19310768.0,ns,13565062
distr_low_reject_i16,Pcg64,Old,,,19485416.0,ns,13703481
distr_low_reject_i16,Pcg64,Old,,,19692586.0,ns,13841900
