group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
distr_low_reject_i16,SmallRng,Bitmask,,,197151.0,ns,237329
distr_low_reject_i16,SmallRng,Bitmask,,,395545.0,ns,474658
distr_low_reject_i16,SmallRng,Bitmask,,,591373.0,ns,711987
distr_low_reject_i16,SmallRng,Bitmask,,,792882.0,ns,949316
distr_low_reject_i16,SmallRng,Bitmask,,,991696.0,ns,1186645
distr_low_reject_i16,SmallRng,Bitmask,,,1185982.0,ns,1423974
distr_low_reject_i16,SmallRng,Bitmask,,,1380889.0,ns,1661303
distr_low_reject_i16,SmallRng,Bitmask,,,1583189.0,ns,1898632
distr_low_reject_i16,SmallRng,Bitmask,,,1782626.0,ns,2135961
distr_low_reject_i16,SmallRng,Bitmask,,,1982051.0,ns,2373290
distr_low_reject_i16,SmallRng,Bitmask,,,2174032.0,ns,2610619
distr_low_reject_i16,SmallRng,Bitmask,,,2373427.0,ns,2847948
distr_low_reject_i16,SmallRng,Bitmask,,,2571179.0,ns,3085277
distr_low_reject_i16,SmallRng,Bitmask,,,2770604.0,ns,3322606
distr_low_reject_i16,SmallRng,Bitmask,,,2969028.0,ns,3559935
distr_low_reject_i16,SmallRng,Bitmask,,,3166189.0,ns,3797264
distr_low_reject_i16,SmallRng,Bitmask,,,3358772.0,ns,4034593
distr_low_reject_i16,SmallRng,Bitmask,,,3553559.0,ns,4271922
distr_low_reject_i16,SmallRng,Bitmask,,,3750359.0,ns,4509251
distr_low_reject_i16,SmallRng,Bitmask,,,3946007.0,ns,4746580
distr_low_reject_i16,SmallRng,Bitmask,,,4145252.0,ns,4983909
distr_low_reject_i16,SmallRng,Bitmask,,,4340971.0,ns,5221238
distr_low_reject_i16,SmallRng,Bitmask,,,4542450.0,ns,5458567
distr_low_reject_i16,SmallRng,Bitmask,,,4781951.0,ns,5695896
distr_low_reject_i16,SmallRng,Bitmask,,,4935420.0,ns,5933225
distr_low_reject_i16,SmallRng,Bitmask,,,5134204.0,ns,6170554
distr_low_reject_i16,SmallRng,Bitmask,,,5330584.0,ns,6407883
distr_low_reject_i16,SmallRng,Bitmask,,,5525440.0,ns,6645212
distr_low_reject_i16,SmallRng,Bitmask,,,5722962.0,ns,6882541
distr_low_reject_i16,SmallRng,Bitmask,,,5923910.0,ns,7119870
distr_low_reject_i16,SmallRng,Bitmask,,,6117535.0,ns,7357199
distr_low_reject_i16,SmallRng,Bitmask,,,6314555.0,ns,7594528
distr_low_reject_i16,SmallRng,Bitmask,,,6512257.0,ns,7831857
distr_low_reject_i16,SmallRng,Bitmask,,,6723185.0,ns,8069186
distr_low_reject_i16,SmallRng,Bitmask,,,6906199.0,ns,8306515
distr_low_reject_i16,SmallRng,Bitmask,,,7104041.0,ns,8543844
distr_low_reject_i16,SmallRng,Bitmask,,,7301593.0,ns,8781173
distr_low_reject_i16,SmallRng,Bitmask,,,7496120.0,ns,9018502
distr_low_reject_i16,SmallRng,Bitmask,,,7736672.0,ns,9255831
distr_low_reject_i16,SmallRng,Bitmask,,,7890101.0,ns,9493160
distr_low_reject_i16,SmallRng,Bitmask,,,8090018.0,ns,9730489
distr_low_reject_i16,SmallRng,Bitmask,,,8279423.0,ns,9967818
distr_low_reject_i16,SmallRng,Bitmask,,,8486313.0,ns,10205147
distr_low_reject_i16,SmallRng,Bitmask,,,8683964.0,ns,10442476
distr_low_reject_i16,SmallRng,Bitmask,,,8881968.0,ns,10679805
distr_low_reject_i16,SmallRng,Bitmask,,,9062027.0,ns,10917134
distr_low_reject_i16,SmallRng,Bitmask,,,9276550.0,ns,11154463
distr_low_reject_i16,SmallRng,Bitmask,,,9462009.0,ns,11391792
distr_low_reject_i16,SmallRng,Bitmask,,,9670381.0,ns,11629121
distr_low_reject_i16,SmallRng,Bitmask,,,9855230.0,ns,11866450
distr_low_reject_i16,SmallRng,Bitmask,,,10065295.0,ns,12103779
distr_low_reject_i16,SmallRng,Bitmask,,,10259791.0,ns,12341108
distr_low_reject_i16,SmallRng,Bitmask,,,10428859.0,ns,12578437
distr_low_reject_i16,SmallRng,Bitmask,,,10624688.0,ns,12815766
distr_low_reject_i16,SmallRng,Bitmask,,,10815477.0,ns,13053095
distr_low_reject_i16,SmallRng,Bitmask,,,11020032.0,ns,13290424
distr_low_reject_i16,SmallRng,Bitmask,,,11213957.0,ns,13527753
distr_low_reject_i16,SmallRng,Bitmask,,,11410346.0,ns,13765082
distr_low_reject_i16,SmallRng,Bitmask,,,11601236.0,ns,14002411
distr_low_reject_i16,SmallRng,Bitmask,,,11808987.0,ns,14239740
distr_low_reject_i16,SmallRng,Bitmask,,,12003934.0,ns,14477069
distr_low_reject_i16,SmallRng,Bitmask,,,12204141.0,ns,14714398
distr_low_reject_i16,SmallRng,Bitmask,,,12396623.0,ns,14951727
distr_low_reject_i16,SmallRng,Bitmask,,,12599966.0,ns,15189056
distr_low_reject_i16,SmallRng,Bitmask,,,12788932.0,ns,15426385
distr_low_reject_i16,SmallRng,Bitmask,,,12982166.0,ns,15663714
distr_low_reject_i16,SmallRng,Bitmask,,,13177703.0,ns,15901043
distr_low_reject_i16,SmallRng,Bitmask,,,13366598.0,ns,16138372
distr_low_reject_i16,SmallRng,Bitmask,,,13563770.0,ns,16375701
distr_low_reject_i16,SmallRng,Bitmask,,,13758316.0,ns,16613030
