group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
distr_low_reject_i16,SmallRng,Canon-reduced,,,195999.0,ns,208027
distr_low_reject_i16,SmallRng,Canon-reduced,,,395625.0,ns,416054
distr_low_reject_i16,SmallRng,Canon-reduced,,,587976.0,ns,624081
distr_low_reject_i16,SmallRng,Canon-reduced,,,788835.0,ns,832108
distr_low_reject_i16,SmallRng,Canon-reduced,,,988331.0,ns,1040135
distr_low_reject_i16,SmallRng,Canon-reduced,,,1179390.0,ns,1248162
distr_low_reject_i16,SmallRng,Canon-reduced,,,1380959.0,ns,1456189
distr_low_reject_i16,SmallRng,Canon-reduced,,,1582308.0,ns,1664216
distr_low_reject_i16,SmallRng,Canon-reduced,,,1774971.0,ns,1872243
distr_low_reject_i16,SmallRng,Canon-reduced,,,1976491.0,ns,2080270
distr_low_reject_i16,SmallRng,Canon-reduced,,,2176567.0,ns,2288297
distr_low_reject_i16,SmallRng,Canon-reduced,,,2357928.0,ns,2496324
distr_low_reject_i16,SmallRng,Canon-reduced,,,2562624.0,ns,2704351
distr_low_reject_i16,SmallRng,Canon-reduced,,,2755797.0,ns,2912378
distr_low_reject_i16,SmallRng,Canon-reduced,,,2953579.0,ns,3120405
distr_low_reject_i16,SmallRng,Canon-reduced,,,3152774.0,ns,3328432
distr_low_reject_i16,SmallRng,Canon-reduced,,,3339415.0,ns,3536459
distr_low_reject_i16,SmallRng,Canon-reduced,,,3542487.0,ns,3744486
distr_low_reject_i16,SmallRng,Canon-reduced,,,3750409.0,ns,3952513
distr_low_reject_i16,SmallRng,Canon-reduced,,,3949243.0,ns,4160540
distr_low_reject_i16,SmallRng,Canon-reduced,,,4155391.0,ns,4368567
distr_low_reject_i16,SmallRng,Canon-reduced,,,4333878.0,ns,4576594
distr_low_reject_i16,SmallRng,Canon-reduced,,,4519166.0,ns,4784621
distr_low_reject_i16,SmallRng,Canon-reduced,,,4743869.0,ns,4992648
distr_low_reject_i16,SmallRng,Canon-reduced,,,4931533.0,ns,5200675
distr_low_reject_i16,SmallRng,Canon-reduced,,,5119246.0,ns,5408702
distr_low_reject_i16,SmallRng,Canon-reduced,,,5309154.0,ns,5616729
distr_low_reject_i16,SmallRng,Canon-reduced,,,5518307.0,ns,5824756
distr_low_reject_i16,SmallRng,Canon-reduced,,,5712362.0,ns,6032783
distr_low_reject_i16,SmallRng,Canon-reduced,,,5888423.0,ns,6240810
distr_low_reject_i16,SmallRng,Canon-reduced,,,6104039.0,ns,6448837
distr_low_reject_i16,SmallRng,Canon-reduced,,,6301862.0,ns,6656864
distr_low_reject_i16,SmallRng,Canon-reduced,,,6483113.0,ns,6864891
distr_low_reject_i16,SmallRng,Canon-reduced,,,6697967.0,ns,7072918
distr_low_reject_i16,SmallRng,Canon-reduced,,,6875060.0,ns,7280945
distr_low_reject_i16,SmallRng,Canon-reduced,,,7126493.0,ns,7488972
distr_low_reject_i16,SmallRng,Canon-reduced,,,7280543.0,ns,7696999
distr_low_reject_i16,SmallRng,Canon-reduced,,,7475731.0,ns,7905026
distr_low_reject_i16,SmallRng,Canon-reduced,,,7669345.0,ns,8113053
distr_low_reject_i16,SmallRng,Canon-reduced,,,7839756.0,ns,8321080
distr_low_reject_i16,SmallRng,Canon-reduced,,,8049451.0,ns,8529107
distr_low_reject_i16,SmallRng,Canon-reduced,,,8273693.0,ns,8737134
distr_low_reject_i16,SmallRng,Canon-reduced,,,8436309.0,ns,8945161
distr_low_reject_i16,SmallRng,Canon-reduced,,,8636255.0,ns,9153188
distr_low_reject_i16,SmallRng,Canon-reduced,,,8806465.0,ns,9361215
distr_low_reject_i16,SmallRng,Canon-reduced,,,9063239.0,ns,9569242
distr_low_reject_i16,SmallRng,Canon-reduced,,,9224893.0,ns,9777269
distr_low_reject_i16,SmallRng,Canon-reduced,,,9408859.0,ns,9985296
distr_low_reject_i16,SmallRng,Canon-reduced,,,9601091.0,ns,10193323
distr_low_reject_i16,SmallRng,Canon-reduced,,,9815194.0,ns,10401350
distr_low_reject_i16,SmallRng,Canon-reduced,,,10013347.0,ns,10609377
distr_low_reject_i16,SmallRng,Canon-reduced,,,10173599.0,ns,10817404
distr_low_reject_i16,SmallRng,Canon-reduced,,,10450981.0,ns,11025431
distr_low_reject_i16,SmallRng,Canon-reduced,,,10580024.0,ns,11233458
distr_low_reject_i16,SmallRng,Canon-reduced,,,10788346.0,ns,11441485
distr_low_reject_i16,SmallRng,Canon-reduced,,,10996798.0,ns,11649512
distr_low_reject_i16,SmallRng,Canon-reduced,,,11201112.0,ns,11857539
distr_low_reject_i16,SmallRng,Canon-reduced,,,11429172.0,ns,12065566
distr_low_reject_i16,SmallRng,Canon-reduced,,,11574486.0,ns,12273593
distr_low_reject_i16,SmallRng,Canon-reduced,,,11788859.0,ns,12481620
distr_low_reject_i16,SmallRng,Canon-reduced,,,11972915.0,ns,12689647
distr_low_reject_i16,SmallRng,Canon-reduced,,,12169866.0,ns,12897674
distr_low_reject_i16,SmallRng,Canon-reduced,,,12386333.0,ns,13105701
distr_low_reject_i16,SmallRng,Canon-reduced,,,12579517.0,ns,13313728
distr_low_reject_i16,SmallRng,Canon-reduced,,,12761941.0,ns,13521755
distr_low_reject_i16,SmallRng,Canon-reduced,,,12936089.0,ns,13729782
distr_low_reject_i16,SmallRng,Canon-reduced,,,13146956.0,ns,13937809
distr_low_reject_i16,SmallRng,Canon-reduced,,,13342554.0,ns,14145836
distr_low_reject_i16,SmallRng,Canon-reduced,,,13548051.0,ns,14353863
distr_low_reject_i16,SmallRng,Canon-reduced,,,13747727.0,ns,14561890
distr_low_reject_i16,SmallRng,Canon-reduced,,,13952882.0,ns,14769917
distr_low_reject_i16,SmallRng,Canon-reduced,,,14124335.0,ns,14977944
distr_low_reject_i16,SmallRng,Canon-reduced,,,14279587.0,ns,15185971
distr_low_reject_i16,SmallRng,Canon-reduced,,,14499782.0,ns,15393998
distr_low_reject_i16,SmallRng,Canon-reduced,,,14698155.0,ns,15602025
distr_low_reject_i16,SmallRng,Canon-reduced,,,14944780.0,ns,15810052
distr_low_reject_i16,SmallRng,Canon-reduced,,,15097476.0,ns,16018079
distr_low_reject_i16,SmallRng,Canon-reduced,,,15307332.0,ns,16226106
distr_low_reject_i16,SmallRng,Canon-reduced,,,15510314.0,ns,16434133
distr_low_reject_i16,SmallRng,Canon-reduced,,,15657501.0,ns,16642160
distr_low_reject_i16,SmallRng,Canon-reduced,,,15907872.0,ns,16850187
distr_low_reject_i16,SmallRng,Canon-reduced,,,16073383.0,ns,17058214
distr_low_reject_i16,SmallRng,Canon-reduced,,,16301213.0,ns,17266241
distr_low_reject_i16,SmallRng,Canon-reduced,,,16465392.0,ns,17474268
distr_low_reject_i16,SmallRng,Canon-reduced,,,16654187.0,ns,17682295
distr_low_reject_i16,SmallRng,Canon-reduced,,,16896152.0,ns,17890322
distr_low_reject_i16,SmallRng,Canon-reduced,,,17049450.0,ns,18098349
distr_low_reject_i16,SmallRng,Canon-reduced,,,17261459.0,ns,18306376
distr_low_reject_i16,SmallRng,Canon-reduced,,,17461927.0,ns,18514403
distr_low_reject_i16,SmallRng,Canon-reduced,,,17636605.0,ns,18722430
distr_low_reject_i16,SmallRng,Canon-reduced,,,17826714.0,ns,18930457
distr_low_reject_i16,SmallRng,Canon-reduced,,,18036408.0,ns,19138484
distr_low_reject_i16,SmallRng,Canon-reduced,,,18200357.0,ns,19346511
distr_low_reject_i16,SmallRng,Canon-reduced,,,18423887.0,ns,19554538
distr_low_reject_i16,SmallRng,Canon-reduced,,,18615679.0,ns,19762565
distr_low_reject_i16,SmallRng,Canon-reduced,,,18856992.0,ns,19970592
distr_low_reject_i16,SmallRng,Canon-reduced,,,19053423.0,ns,20178619
distr_low_reject_i16,SmallRng,Canon-reduced,,,19215607.0,ns,20386646
