group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
distr_low_reject_i32,ChaCha8Rng,Bitmask,,,196270.0,ns,146981
distr_low_reject_i32,ChaCha8Rng,Bitmask,,,396126.0,ns,293962
distr_low_reject_i32,ChaCha8Rng,Bitmask,,,593137.0,ns,440943
distr_low_reject_i32,ChaCha8Rng,Bitmask,,,786110.0,ns,587924
distr_low_reject_i32,ChaCha8Rng,Bitmask,,,979665.0,ns,734905
distr_low_reject_i32,ChaCha8Rng,Bitmask,,,1186233.0,ns,881886
distr_low_reject_i32,ChaCha8Rng,Bitmask,,,1373645.0,ns,1028867
distr_low_reject_i32,ChaCha8Rng,Bitmask,,,1580274.0,ns,1175848
distr_low_reject_i32,ChaCha8Rng,Bitmask,,,1777615.0,ns,1322829
distr_low_reject_i32,ChaCha8Rng,Bitmask,,,1962775.0,ns,1469810
distr_low_reject_i32,ChaCha8Rng,Bitmask,,,2161799.0,ns,1616791
distr_low_reject_i32,ChaCha8Rng,Bitmask,,,2360994.0,ns,1763772
distr_low_reject_i32,ChaCha8Rng,Bitmask,,,2549840.0,ns,1910753
distr_low_reject_i32,ChaCha8Rng,Bitmask,,,2745037.0,ns,2057734
distr_low_reject_i32,ChaCha8Rng,Bitmask,,,2959821.0,ns,2204715
distr_low_reject_i32,ChaCha8Rng,Bitmask,,,3163896.0,ns,2351696
distr_low_reject_i32,ChaCha8Rng,Bitmask,,,3335508.0,ns,2498677
distr_low_reject_i32,ChaCha8Rng,Bitmask,,,3523292.0,ns,2645658
distr_low_reject_i32,ChaCha8Rng,Bitmask,,,3732345.0,ns,2792639
distr_low_reject_i32,ChaCha8Rng,Bitmask,,,3929546.0,ns,2939620
distr_low_reject_i32,ChaCha8Rng,Bitmask,,,4118231.0,ns,3086601
distr_low_reject_i32,ChaCha8Rng,Bitmask,,,4322405.0,ns,3233582
distr_low_reject_i32,ChaCha8Rng,Bitmask,,,4517313.0,ns,3380563
distr_low_reject_i32,ChaCha8Rng,Bitmask,,,4736646.0,ns,3527544
distr_low_reject_i32,ChaCha8Rng,Bitmask,,,4917406.0,ns,3674525
distr_low_reject_i32,ChaCha8Rng,Bitmask,,,5115238.0,ns,3821506
distr_low_reject_i32,ChaCha8Rng,Bitmask,,,5324692.0,ns,3968487
distr_low_reject_i32,ChaCha8Rng,Bitmask,,,5505553.0,ns,4115468
distr_low_reject_i32,ChaCha8Rng,Bitmask,,,5689269.0,ns,4262449
distr_low_reject_i32,ChaCha8Rng,Bitmask,,,5892972.0,ns,4409430
distr_low_reject_i32,ChaCha8Rng,Bitmask,,,6090934.0,ns,4556411
distr_low_reject_i32,ChaCha8Rng,Bitmask,,,6280291.0,ns,4703392
distr_low_reject_i32,ChaCha8Rng,Bitmask,,,6461662.0,ns,4850373
distr_low_reject_i32,ChaCha8Rng,Bitmask,,,6688670.0,ns,4997354
distr_low_reject_i32,ChaCha8Rng,Bitmask,,,6864781.0,ns,5144335
distr_low_reject_i32,ChaCha8Rng,Bitmask,,,7074856.0,ns,5291316
