group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
distr_low_reject_i32,ChaCha8Rng,Canon32,,,201189.0,ns,175215
distr_low_reject_i32,ChaCha8Rng,Canon32,,,400213.0,ns,350430
distr_low_reject_i32,ChaCha8Rng,Canon32,,,580583.0,ns,525645
distr_low_reject_i32,ChaCha8Rng,Canon32,,,782323.0,ns,700860
distr_low_reject_i32,ChaCha8Rng,Canon32,,,1005863.0,ns,876075
distr_low_reject_i32,ChaCha8Rng,Canon32,,,1171876.0,ns,1051290
distr_low_reject_i32,ChaCha8Rng,Canon32,,,1392651.0,ns,1226505
distr_low_reject_i32,ChaCha8Rng,Canon32,,,1604700.0,ns,1401720
distr_low_reject_i32,ChaCha8Rng,Canon32,,,1780221.0,ns,1576935
distr_low_reject_i32,ChaCha8Rng,Canon32,,,1962934.0,ns,1752150
distr_low_reject_i32,ChaCha8Rng,Canon32,,,2168191.0,ns,1927365
distr_low_reject_i32,ChaCha8Rng,Canon32,,,2374610.0,ns,2102580
distr_low_reject_i32,ChaCha8Rng,Canon32,,,2582661.0,ns,2277795
distr_low_reject_i32,ChaCha8Rng,Canon32,,,2786525.0,ns,2453010
distr_low_reject_i32,ChaCha8Rng,Canon32,,,2911800.0,ns,2628225
distr_low_reject_i32,ChaCha8Rng,Canon32,,,3134219.0,ns,2803440
distr_low_reject_i32,ChaCha8Rng,Canon32,,,3362619.0,ns,2978655
distr_low_reject_i32,ChaCha8Rng,Canon32,,,3574268.0,ns,3153870
distr_low_reject_i32,ChaCha8Rng,Canon32,,,3766099.0,ns,3329085
distr_low_reject_i32,ChaCha8Rng,Canon32,,,4015809.0,ns,3504300
distr_low_reject_i32,ChaCha8Rng,Canon32,,,4185267.0,ns,3679515
distr_low_reject_i32,ChaCha8Rng,Canon32,,,4317707.0,ns,3854730
distr_low_reject_i32,ChaCha8Rng,Canon32,,,4485452.0,ns,4029945
distr_low_reject_i32,ChaCha8Rng,Canon32,,,4681612.0,ns,4205160
distr_low_reject_i32,ChaCha8Rng,Canon32,,,4973552.0,ns,4380375
distr_low_reject_i32,ChaCha8Rng,Canon32,,,5174580.0,ns,4555590
distr_low_reject_i32,ChaCha8Rng,Canon32,,,5284135.0,ns,4730805
distr_low_reject_i32,ChaCha8Rng,Canon32,,,5560245.0,ns,4906020
distr_low_reject_i32,ChaCha8Rng,Canon32,,,5708094.0,ns,5081235
distr_low_reject_i32,ChaCha8Rng,Canon32,,,5877653.0,ns,5256450
distr_low_reject_i32,ChaCha8Rng,Canon32,,,6189991.0,ns,5431665
distr_low_reject_i32,ChaCha8Rng,Canon32,,,6410747.0,ns,5606880
distr_low_reject_i32,ChaCha8Rng,Canon32,,,6554718.0,ns,5782095
distr_low_reject_i32,ChaCha8Rng,Canon32,,,6667670.0,ns,5957310
distr_low_reject_i32,ChaCha8Rng,Canon32,,,6941535.0,ns,6132525
distr_low_reject_i32,ChaCha8Rng,Canon32,,,7075948.0,ns,6307740
distr_low_reject_i32,ChaCha8Rng,Canon32,,,7316571.0,ns,6482955
distr_low_reject_i32,ChaCha8Rng,Canon32,,,7477404.0,ns,6658170
distr_low_reject_i32,ChaCha8Rng,Canon32,,,7761599.0,ns,6833385
distr_low_reject_i32,ChaCha8Rng,Canon32,,,7862840.0,ns,7008600
distr_low_reject_i32,ChaCha8Rng,Canon32,,,8013984.0,ns,7183815
distr_low_reject_i32,ChaCha8Rng,Canon32,,,8216646.0,ns,7359030
distr_low_reject_i32,ChaCha8Rng,Canon32,,,8453762.0,ns,7534245
distr_low_reject_i32,ChaCha8Rng,Canon32,,,8728389.0,ns,7709460
distr_low_reject_i32,ChaCha8Rng,Canon32,,,8891376.0,ns,7884675
distr_low_reject_i32,ChaCha8Rng,Canon32,,,8976005.0,ns,8059890
distr_low_reject_i32,ChaCha8Rng,Canon32,,,9170591.0,ns,8235105
distr_low_reject_i32,ChaCha8Rng,Canon32,,,9376478.0,ns,8410320
distr_low_reject_i32,ChaCha8Rng,Canon32,,,9578669.0,ns,8585535
distr_low_reject_i32,ChaCha8Rng,Canon32,,,9776632.0,ns,8760750
