group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
distr_low_reject_i32,Pcg32,Canon,,,197872.0,ns,95781
distr_low_reject_i32,Pcg32,Canon,,,397378.0,ns,191562
distr_low_reject_i32,Pcg32,Canon,,,593587.0,ns,287343
distr_low_reject_i32,Pcg32,Canon,,,792632.0,ns,383124
distr_low_reject_i32,Pcg32,Canon,,,990314.0,ns,478905
distr_low_reject_i32,Pcg32,Canon,,,1188247.0,ns,574686
distr_low_reject_i32,Pcg32,Canon,,,1387151.0,ns,670467
distr_low_reject_i32,Pcg32,Canon,,,1584362.0,ns,766248
distr_low_reject_i32,Pcg32,Canon,,,1783327.0,ns,862029
distr_low_reject_i32,Pcg32,Canon,,,1983984.0,ns,957810
distr_low_reject_i32,Pcg32,Canon,,,2181846.0,ns,1053591
distr_low_reject_i32,Pcg32,Canon,,,2326499.0,ns,1149372
distr_low_reject_i32,Pcg32,Canon,,,2592330.0,ns,1245153
distr_low_reject_i32,Pcg32,Canon,,,2777327.0,ns,1340934
distr_low_reject_i32,Pcg32,Canon,,,2977714.0,ns,1436715
distr_low_reject_i32,Pcg32,Canon,,,3172431.0,ns,1532496
distr_low_reject_i32,Pcg32,Canon,,,3368470.0,ns,1628277
distr_low_reject_i32,Pcg32,Canon,,,3524965.0,ns,1724058
distr_low_reject_i32,Pcg32,Canon,,,3716505.0,ns,1819839
distr_low_reject_i32,Pcg32,Canon,,,3964302.0,ns,1915620
distr_low_reject_i32,Pcg32,Canon,,,4167134.0,ns,2011401
distr_low_reject_i32,Pcg32,Canon,,,4367731.0,ns,2107182
distr_low_reject_i32,Pcg32,Canon,,,4530427.0,ns,2202963
distr_low_reject_i32,Pcg32,Canon,,,4757976.0,ns,2298744
distr_low_reject_i32,Pcg32,Canon,,,4958152.0,ns,2394525
distr_low_reject_i32,Pcg32,Canon,,,5130157.0,ns,2490306
distr_low_reject_i32,Pcg32,Canon,,,5263678.0,ns,2586087
distr_low_reject_i32,Pcg32,Canon,,,5551720.0,ns,2681868
distr_low_reject_i32,Pcg32,Canon,,,5746606.0,ns,2777649
distr_low_reject_i32,Pcg32,Canon,,,5947836.0,ns,2873430
distr_low_reject_i32,Pcg32,Canon,,,6147671.0,ns,2969211
distr_low_reject_i32,Pcg32,Canon,,,6348189.0,ns,3064992
distr_low_reject_i32,Pcg32,Canon,,,6541122.0,ns,3160773
distr_low_reject_i32,Pcg32,Canon,,,6744534.0,ns,3256554
distr_low_reject_i32,Pcg32,Canon,,,6932028.0,ns,3352335
distr_low_reject_i32,Pcg32,Canon,,,7105494.0,ns,3448116
distr_low_reject_i32,Pcg32,Canon,,,7328473.0,ns,3543897
distr_low_reject_i32,Pcg32,Canon,,,7526917.0,ns,3639678
distr_low_reject_i32,Pcg32,Canon,,,7724058.0,ns,3735459
distr_low_reject_i32,Pcg32,Canon,,,7925267.0,ns,3831240
distr_low_reject_i32,Pcg32,Canon,,,8114834.0,ns,3927021
distr_low_reject_i32,Pcg32,Canon,,,8320932.0,ns,4022802
distr_low_reject_i32,Pcg32,Canon,,,8490029.0,ns,4118583
distr_low_reject_i32,Pcg32,Canon,,,8717378.0,ns,4214364
distr_low_reject_i32,Pcg32,Canon,,,8912404.0,ns,4310145
distr_low_reject_i32,Pcg32,Canon,,,9110919.0,ns,4405926
distr_low_reject_i32,Pcg32,Canon,,,9298612.0,ns,4501707
distr_low_reject_i32,Pcg32,Canon,,,9483420.0,ns,4597488
distr_low_reject_i32,Pcg32,Canon,,,9705398.0,ns,4693269
distr_low_reject_i32,Pcg32,Canon,,,9902869.0,ns,4789050
distr_low_reject_i32,Pcg32,Canon,,,10101504.0,ns,4884831
distr_low_reject_i32,Pcg32,Canon,,,10313122.0,ns,4980612
distr_low_reject_i32,Pcg32,Canon,,,10497238.0,ns,5076393
distr_low_reject_i32,Pcg32,Canon,,,10695682.0,ns,5172174
distr_low_reject_i32,Pcg32,Canon,,,10894536.0,ns,5267955
distr_low_reject_i32,Pcg32,Canon,,,11091787.0,ns,5363736
distr_low_reject_i32,Pcg32,Canon,,,11231691.0,ns,5459517
distr_low_reject_i32,Pcg32,Canon,,,11488754.0,ns,5555298
distr_low_reject_i32,Pcg32,Canon,,,11685405.0,ns,5651079
distr_low_reject_i32,Pcg32,Canon,,,11887254.0,ns,5746860
distr_low_reject_i32,Pcg32,Canon,,,12096899.0,ns,5842641
distr_low_reject_i32,Pcg32,Canon,,,12280325.0,ns,5938422
distr_low_reject_i32,Pcg32,Canon,,,12478307.0,ns,6034203
distr_low_reject_i32,Pcg32,Canon,,,12675959.0,ns,6129984
distr_low_reject_i32,Pcg32,Canon,,,12886044.0,ns,6225765
distr_low_reject_i32,Pcg32,Canon,,,13048650.0,ns,6321546
distr_low_reject_i32,Pcg32,Canon,,,13269446.0,ns,6417327
distr_low_reject_i32,Pcg32,Canon,,,13471416.0,ns,6513108
distr_low_reject_i32,Pcg32,Canon,,,13599056.0,ns,6608889
distr_low_reject_i32,Pcg32,Canon,,,13877831.0,ns,6704670
distr_low_reject_i32,Pcg32,Canon,,,14064412.0,ns,6800451
distr_low_reject_i32,Pcg32,Canon,,,14217600.0,ns,6896232
distr_low_reject_i32,Pcg32,Canon,,,14411846.0,ns,6992013
distr_low_reject_i32,Pcg32,Canon,,,14625248.0,ns,7087794
distr_low_reject_i32,Pcg32,Canon,,,14814865.0,ns,7183575
distr_low_reject_i32,Pcg32,Canon,,,15005965.0,ns,7279356
distr_low_reject_i32,Pcg32,Canon,,,15224194.0,ns,7375137
distr_low_reject_i32,Pcg32,Canon,,,15465530.0,ns,7470918
distr_low_reject_i32,Pcg32,Canon,,,15487370.0,ns,7566699
distr_low_reject_i32,Pcg32,Canon,,,15838802.0,ns,7662480
distr_low_reject_i32,Pcg32,Canon,,,16046082.0,ns,7758261
distr_low_reject_i32,Pcg32,Canon,,,16251218.0,ns,7854042
distr_low_reject_i32,Pcg32,Canon,,,16442097.0,ns,7949823
distr_low_reject_i32,Pcg32,Canon,,,16636564.0,ns,8045604
distr_low_reject_i32,Pcg32,Canon,,,16847681.0,ns,8141385
distr_low_reject_i32,Pcg32,Canon,,,17035705.0,ns,8237166
distr_low_reject_i32,Pcg32,Canon,,,17240160.0,ns,8332947
distr_low_reject_i32,Pcg32,Canon,,,17438202.0,ns,8428728
distr_low_reject_i32,Pcg32,Canon,,,17630023.0,ns,8524509
distr_low_reject_i32,Pcg32,Canon,,,17820993.0,ns,8620290
distr_low_reject_i32,Pcg32,Canon,,,18025016.0,ns,8716071
distr_low_reject_i32,Pcg32,Canon,,,18223341.0,ns,8811852
distr_low_reject_i32,Pcg32,Canon,,,18419900.0,ns,8907633
distr_low_reject_i32,Pcg32,Canon,,,18626910.0,ns,9003414
distr_low_reject_i32,Pcg32,Canon,,,18818520.0,ns,9099195
distr_low_reject_i32,Pcg32,Canon,,,18999371.0,ns,9194976
distr_low_reject_i32,Pcg32,Canon,,,19212933.0,ns,9290757
distr_low_reject_i32,Pcg32,Canon,,,19410825.0,ns,9386538
distr_low_reject_i32,Pcg32,Canon,,,19619929.0,ns,9482319
distr_low_reject_i32,Pcg32,Canon,,,19815327.0,ns,9578100
