group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
distr_low_reject_i32,Pcg32,Canon64,,,197211.0,ns,954493
distr_low_reject_i32,Pcg32,Canon64,,,395975.0,ns,1908986
distr_low_reject_i32,Pcg32,Canon64,,,591544.0,ns,2863479
distr_low_reject_i32,Pcg32,Canon64,,,790057.0,ns,3817972
distr_low_reject_i32,Pcg32,Canon64,,,987238.0,ns,4772465
distr_low_reject_i32,Pcg32,Canon64,,,1184199.0,ns,5726958
distr_low_reject_i32,Pcg32,Canon64,,,1382333.0,ns,6681451
distr_low_reject_i32,Pcg32,Canon64,,,1578572.0,ns,7635944
distr_low_reject_i32,Pcg32,Canon64,,,1776745.0,ns,8590437
distr_low_reject_i32,Pcg32,Canon64,,,1974356.0,ns,9544930
distr_low_reject_i32,Pcg32,Canon64,,,2172509.0,ns,10499423
distr_low_reject_i32,Pcg32,Canon64,,,2368579.0,ns,11453916
distr_low_reject_i32,Pcg32,Canon64,,,2567243.0,ns,12408409
distr_low_reject_i32,Pcg32,Canon64,,,2764755.0,ns,13362902
distr_low_reject_i32,Pcg32,Canon64,,,2961705.0,ns,14317395
distr_low_reject_i32,Pcg32,Canon64,,,3158626.0,ns,15271888
distr_low_reject_i32,Pcg32,Canon64,,,3355877.0,ns,16226381
distr_low_reject_i32,Pcg32,Canon64,,,3554120.0,ns,17180874
distr_low_reject_i32,Pcg32,Canon64,,,3750981.0,ns,18135367
distr_low_reject_i32,Pcg32,Canon64,,,3947701.0,ns,19089860
distr_low_reject_i32,Pcg32,Canon64,,,4144923.0,ns,20044353
distr_low_reject_i32,Pcg32,Canon64,,,4341904.0,ns,20998846
distr_low_reject_i32,Pcg32,Canon64,,,4540307.0,ns,21953339
distr_low_reject_i32,Pcg32,Canon64,,,4736887.0,ns,22907832
distr_low_reject_i32,Pcg32,Canon64,,,4935461.0,ns,23862325
distr_low_reject_i32,Pcg32,Canon64,,,5132141.0,ns,24816818
distr_low_reject_i32,Pcg32,Canon64,,,5332678.0,ns,25771311
distr_low_reject_i32,Pcg32,Canon64,,,5526884.0,ns,26725804
distr_low_reject_i32,Pcg32,Canon64,,,5725017.0,ns,27680297
distr_low_reject_i32,Pcg32,Canon64,,,5921467.0,ns,28634790
distr_low_reject_i32,Pcg32,Canon64,,,6119139.0,ns,29589283
distr_low_reject_i32,Pcg32,Canon64,,,6316630.0,ns,30543776
distr_low_reject_i32,Pcg32,Canon64,,,6514022.0,ns,31498269
distr_low_reject_i32,Pcg32,Canon64,,,6710853.0,ns,32452762
distr_low_reject_i32,Pcg32,Canon64,,,6907723.0,ns,33407255
distr_low_reject_i32,Pcg32,Canon64,,,7106738.0,ns,34361748
distr_low_reject_i32,Pcg32,Canon64,,,7303137.0,ns,35316241
distr_low_reject_i32,Pcg32,Canon64,,,7509115.0,ns,36270734
distr_low_reject_i32,Pcg32,Canon64,,,7698191.0,ns,37225227
distr_low_reject_i32,Pcg32,Canon64,,,7895593.0,ns,38179720
distr_low_reject_i32,Pcg32,Canon64,,,8092473.0,ns,39134213
distr_low_reject_i32,Pcg32,Canon64,,,8289684.0,ns,40088706
distr_low_reject_i32,Pcg32,Canon64,,,8490964.0,ns,41043199
distr_low_reject_i32,Pcg32,Canon64,,,8688927.0,ns,41997692
distr_low_reject_i32,Pcg32,Canon64,,,8881929.0,ns,42952185
distr_low_reject_i32,Pcg32,Canon64,,,9079581.0,ns,43906678
distr_low_reject_i32,Pcg32,Canon64,,,9278326.0,ns,44861171
distr_low_reject_i32,Pcg32,Canon64,,,9473574.0,ns,45815664
distr_low_reject_i32,Pcg32,Canon64,,,9677317.0,ns,46770157
distr_low_reject_i32,Pcg32,Canon64,,,9870420.0,ns,47724650
distr_low_reject_i32,Pcg32,Canon64,,,10067421.0,ns,48679143
distr_low_reject_i32,Pcg32,Canon64,,,10263610.0,ns,49633636
distr_low_reject_i32,Pcg32,Canon64,,,10461914.0,ns,50588129
distr_low_reject_i32,Pcg32,Canon64,,,10658344.0,ns,51542622
distr_low_reject_i32,Pcg32,Canon64,,,10856877.0,ns,52497115
distr_low_reject_i32,Pcg32,Canon64,,,11052616.0,ns,53451608
distr_low_reject_i32,Pcg32,Canon64,,,11253233.0,ns,54406101
distr_low_reject_i32,Pcg32,Canon64,,,11472416.0,ns,55360594
distr_low_reject_i32,Pcg32,Canon64,,,11680658.0,ns,56315087
distr_low_reject_i32,Pcg32,Canon64,,,11843735.0,ns,57269580
distr_low_reject_i32,Pcg32,Canon64,,,12041026.0,ns,58224073
distr_low_reject_i32,Pcg32,Canon64,,,12240342.0,ns,59178566
distr_low_reject_i32,Pcg32,Canon64,,,12438295.0,ns,60133059
distr_low_reject_i32,Pcg32,Canon64,,,12634394.0,ns,61087552
distr_low_reject_i32,Pcg32,Canon64,,,12839169.0,ns,62042045
distr_low_reject_i32,Pcg32,Canon64,,,13034988.0,ns,62996538
distr_low_reject_i32,Pcg32,Canon64,,,13227961.0,ns,63951031
distr_low_reject_i32,Pcg32,Canon64,,,13423228.0,ns,64905524
distr_low_reject_i32,Pcg32,Canon64,,,13623105.0,ns,65860017
distr_low_reject_i32,Pcg32,Canon64,,,13819494.0,ns,66814510
distr_low_reject_i32,Pcg32,Canon64,,,14018038.0,ns,67769003
distr_low_reject_i32,Pcg32,Canon64,,,14212374.0,ns,68723496
distr_low_reject_i32,Pcg32,Canon64,,,14410376.0,ns,69677989
distr_low_reject_i32,Pcg32,Canon64,,,14644607.0,ns,70632482
distr_low_reject_i32,Pcg32,Canon64,,,14806883.0,ns,71586975
distr_low_reject_i32,Pcg32,Canon64,,,15015596.0,ns,72541468
distr_low_reject_i32,Pcg32,Canon64,,,15202077.0,ns,73495961
distr_low_reject_i32,Pcg32,Canon64,,,15397766.0,ns,74450454
distr_low_reject_i32,Pcg32,Canon64,,,15594877.0,ns,75404947
distr_low_reject_i32,Pcg32,Canon64,,,15790084.0,ns,76359440
distr_low_reject_i32,Pcg32,Canon64,,,15990992.0,ns,77313933
distr_low_reject_i32,Pcg32,Canon64,,,16184687.0,ns,78268426
distr_low_reject_i32,Pcg32,Canon64,,,16384673.0,ns,79222919
distr_low_reject_i32,Pcg32,Canon64,,,16586482.0,ns,80177412
distr_low_reject_i32,Pcg32,Canon64,,,16777633.0,ns,81131905
distr_low_reject_i32,Pcg32,Canon64,,,16974473.0,ns,82086398
distr_low_reject_i32,Pcg32,Canon64,,,17172457.0,ns,83040891
distr_low_reject_i32,Pcg32,Canon64,,,17371100.0,ns,83995384
distr_low_reject_i32,Pcg32,Canon64,,,17571878.0,ns,84949877
distr_low_reject_i32,Pcg32,Canon64,,,17765533.0,ns,85904370
distr_low_reject_i32,Pcg32,Canon64,,,17968264.0,ns,86858863
distr_low_reject_i32,Pcg32,Canon64,,,18203417.0,ns,87813356
distr_low_reject_i32,Pcg32,Canon64,,,18373276.0,ns,88767849
distr_low_reject_i32,Pcg32,Canon64,,,18565559.0,ns,89722342
distr_low_reject_i32,Pcg32,Canon64,,,18757150.0,ns,90676835
distr_low_reject_i32,Pcg32,Canon64,,,18950704.0,ns,91631328
distr_low_reject_i32,Pcg32,Canon64,,,19156070.0,ns,92585821
distr_low_reject_i32,Pcg32,Canon64,,,19346369.0,ns,93540314
distr_low_reject_i32,Pcg32,Canon64,,,19543560.0,ns,94494807
distr_low_reject_i32,Pcg32,Canon64,,,19741542.0,ns,95449300
