group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
distr_low_reject_i32,Pcg64,Canon-reduced,,,197101.0,ns,141327
distr_low_reject_i32,Pcg64,Canon-reduced,,,394142.0,ns,282654
distr_low_reject_i32,Pcg64,Canon-reduced,,,592525.0,ns,423981
distr_low_reject_i32,Pcg64,Canon-reduced,,,789286.0,ns,565308
distr_low_reject_i32,Pcg64,Canon-reduced,,,1000083.0,ns,706635
distr_low_reject_i32,Pcg64,Canon-reduced,,,1183858.0,ns,847962
distr_low_reject_i32,Pcg64,Canon-reduced,,,1380559.0,ns,989289
distr_low_reject_i32,Pcg64,Canon-reduced,,,1578902.0,ns,1130616
distr_low_reject_i32,Pcg64,Canon-reduced,,,1776553.0,ns,1271943
distr_low_reject_i32,Pcg64,Canon-reduced,,,1979807.0,ns,1413270
distr_low_reject_i32,Pcg64,Canon-reduced,,,2170325.0,ns,1554597
distr_low_reject_i32,Pcg64,Canon-reduced,,,2367576.0,ns,1695924
distr_low_reject_i32,Pcg64,Canon-reduced,,,2565138.0,ns,1837251
distr_low_reject_i32,Pcg64,Canon-reduced,,,2794530.0,ns,1978578
distr_low_reject_i32,Pcg64,Canon-reduced,,,2961865.0,ns,2119905
distr_low_reject_i32,Pcg64,Canon-reduced,,,3170448.0,ns,2261232
distr_low_reject_i32,Pcg64,Canon-reduced,,,3354063.0,ns,2402559
distr_low_reject_i32,Pcg64,Canon-reduced,,,3554220.0,ns,2543886
distr_low_reject_i32,Pcg64,Canon-reduced,,,3780546.0,ns,2685213
distr_low_reject_i32,Pcg64,Canon-reduced,,,3946648.0,ns,2826540
distr_low_reject_i32,Pcg64,Canon-reduced,,,4146845.0,ns,2967867
distr_low_reject_i32,Pcg64,Canon-reduced,,,4339888.0,ns,3109194
distr_low_reject_i32,Pcg64,Canon-reduced,,,4550364.0,ns,3250521
distr_low_reject_i32,Pcg64,Canon-reduced,,,4736355.0,ns,3391848
distr_low_reject_i32,Pcg64,Canon-reduced,,,4940368.0,ns,3533175
distr_low_reject_i32,Pcg64,Canon-reduced,,,5162166.0,ns,3674502
distr_low_reject_i32,Pcg64,Canon-reduced,,,5327126.0,ns,3815829
distr_low_reject_i32,Pcg64,Canon-reduced,,,5522615.0,ns,3957156
distr_low_reject_i32,Pcg64,Canon-reduced,,,5736017.0,ns,4098483
distr_low_reject_i32,Pcg64,Canon-reduced,,,5920324.0,ns,4239810
distr_low_reject_i32,Pcg64,Canon-reduced,,,6116643.0,ns,4381137
distr_low_reject_i32,Pcg64,Canon-reduced,,,6331317.0,ns,4522464
distr_low_reject_i32,Pcg64,Canon-reduced,,,6513400.0,ns,4663791
distr_low_reject_i32,Pcg64,Canon-reduced,,,6710090.0,ns,4805118
distr_low_reject_i32,Pcg64,Canon-reduced,,,6937668.0,ns,4946445
distr_low_reject_i32,Pcg64,Canon-reduced,,,7101937.0,ns,5087772
distr_low_reject_i32,Pcg64,Canon-reduced,,,7312123.0,ns,5229099
distr_low_reject_i32,Pcg64,Canon-reduced,,,7498874.0,ns,5370426
distr_low_reject_i32,Pcg64,Canon-reduced,,,7726533.0,ns,5511753
distr_low_reject_i32,Pcg64,Canon-reduced,,,7901632.0,ns,5653080
distr_low_reject_i32,Pcg64,Canon-reduced,,,8112690.0,ns,5794407
distr_low_reject_i32,Pcg64,Canon-reduced,,,8288170.0,ns,5935734
distr_low_reject_i32,Pcg64,Canon-reduced,,,8521209.0,ns,6077061
distr_low_reject_i32,Pcg64,Canon-reduced,,,8680078.0,ns,6218388
distr_low_reject_i32,Pcg64,Canon-reduced,,,8888991.0,ns,6359715
distr_low_reject_i32,Pcg64,Canon-reduced,,,9074450.0,ns,6501042
distr_low_reject_i32,Pcg64,Canon-reduced,,,9284576.0,ns,6642369
distr_low_reject_i32,Pcg64,Canon-reduced,,,9472549.0,ns,6783696
distr_low_reject_i32,Pcg64,Canon-reduced,,,9700739.0,ns,6925023
distr_low_reject_i32,Pcg64,Canon-reduced,,,9864587.0,ns,7066350
distr_low_reject_i32,Pcg64,Canon-reduced,,,10073330.0,ns,7207677
distr_low_reject_i32,Pcg64,Canon-reduced,,,10293234.0,ns,7349004
distr_low_reject_i32,Pcg64,Canon-reduced,,,10454948.0,ns,7490331
distr_low_reject_i32,Pcg64,Canon-reduced,,,10665114.0,ns,7631658
distr_low_reject_i32,Pcg64,Canon-reduced,,,10867184.0,ns,7772985
distr_low_reject_i32,Pcg64,Canon-reduced,,,11051090.0,ns,7914312
distr_low_reject_i32,Pcg64,Canon-reduced,,,11276795.0,ns,8055639
distr_low_reject_i32,Pcg64,Canon-reduced,,,11461543.0,ns,8196966
distr_low_reject_i32,Pcg64,Canon-reduced,,,11642374.0,ns,8338293
distr_low_reject_i32,Pcg64,Canon-reduced,,,11871594.0,ns,8479620
distr_low_reject_i32,Pcg64,Canon-reduced,,,12053317.0,ns,8620947
distr_low_reject_i32,Pcg64,Canon-reduced,,,12244566.0,ns,8762274
distr_low_reject_i32,Pcg64,Canon-reduced,,,12468469.0,ns,8903601
distr_low_reject_i32,Pcg64,Canon-reduced,,,12659377.0,ns,9044928
distr_low_reject_i32,Pcg64,Canon-reduced,,,12845848.0,ns,9186255
distr_low_reject_i32,Pcg64,Canon-reduced,,,13057657.0,ns,9327582
distr_low_reject_i32,Pcg64,Canon-reduced,,,13218620.0,ns,9468909
distr_low_reject_i32,Pcg64,Canon-reduced,,,13431561.0,ns,9610236
distr_low_reject_i32,Pcg64,Canon-reduced,,,13653548.0,ns,9751563
distr_low_reject_i32,Pcg64,Canon-reduced,,,13826384.0,ns,9892890
distr_low_reject_i32,Pcg64,Canon-reduced,,,14066175.0,ns,10034217
distr_low_reject_i32,Pcg64,Canon-reduced,,,14245232.0,ns,10175544
distr_low_reject_i32,Pcg64,Canon-reduced,,,14404062.0,ns,10316871
distr_low_reject_i32,Pcg64,Canon-reduced,,,14618344.0,ns,10458198
distr_low_reject_i32,Pcg64,Canon-reduced,,,14830815.0,ns,10599525
distr_low_reject_i32,Pcg64,Canon-reduced,,,15007989.0,ns,10740852
distr_low_reject_i32,Pcg64,Canon-reduced,,,15223103.0,ns,10882179
distr_low_reject_i32,Pcg64,Canon-reduced,,,15400397.0,ns,11023506
distr_low_reject_i32,Pcg64,Canon-reduced,,,15602417.0,ns,11164833
distr_low_reject_i32,Pcg64,Canon-reduced,,,15812282.0,ns,11306160
distr_low_reject_i32,Pcg64,Canon-reduced,,,15992792.0,ns,11447487
distr_low_reject_i32,Pcg64,Canon-reduced,,,16228636.0,ns,11588814
distr_low_reject_i32,Pcg64,Canon-reduced,,,16390540.0,ns,11730141
distr_low_reject_i32,Pcg64,Canon-reduced,,,16586139.0,ns,11871468
distr_low_reject_i32,Pcg64,Canon-reduced,,,16801404.0,ns,12012795
distr_low_reject_i32,Pcg64,Canon-reduced,,,16981562.0,ns,12154122
distr_low_reject_i32,Pcg64,Canon-reduced,,,17197009.0,ns,12295449
distr_low_reject_i32,Pcg64,Canon-reduced,,,17373160.0,ns,12436776
distr_low_reject_i32,Pcg64,Canon-reduced,,,17596851.0,ns,12578103
distr_low_reject_i32,Pcg64,Canon-reduced,,,17767673.0,ns,12719430
distr_low_reject_i32,Pcg64,Canon-reduced,,,17968591.0,ns,12860757
distr_low_reject_i32,Pcg64,Canon-reduced,,,18179548.0,ns,13002084
distr_low_reject_i32,Pcg64,Canon-reduced,,,18366700.0,ns,13143411
distr_low_reject_i32,Pcg64,Canon-reduced,,,18592114.0,ns,13284738
distr_low_reject_i32,Pcg64,Canon-reduced,,,18763678.0,ns,13426065
distr_low_reject_i32,Pcg64,Canon-reduced,,,19019769.0,ns,13567392
distr_low_reject_i32,Pcg64,Canon-reduced,,,19226779.0,ns,13708719
distr_low_reject_i32,Pcg64,Canon-reduced,,,19372152.0,ns,13850046
distr_low_reject_i32,Pcg64,Canon-reduced,,,19545379.0,ns,13991373
distr_low_reject_i32,Pcg64,Canon-reduced,,,19766946.0,ns,14132700
