group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
distr_low_reject_i32,SmallRng,Canon-Lemire,,,195828.0,ns,210701
distr_low_reject_i32,SmallRng,Canon-Lemire,,,392980.0,ns,421402
distr_low_reject_i32,SmallRng,Canon-Lemire,,,587396.0,ns,632103
distr_low_reject_i32,SmallRng,Canon-Lemire,,,809223.0,ns,842804
distr_low_reject_i32,SmallRng,Canon-Lemire,,,987168.0,ns,1053505
distr_low_reject_i32,SmallRng,Canon-Lemire,,,1181965.0,ns,1264206
distr_low_reject_i32,SmallRng,Canon-Lemire,,,1384887.0,ns,1474907
distr_low_reject_i32,SmallRng,Canon-Lemire,,,1575876.0,ns,1685608
distr_low_reject_i32,SmallRng,Canon-Lemire,,,1804767.0,ns,1896309
distr_low_reject_i32,SmallRng,Canon-Lemire,,,1960149.0,ns,2107010
distr_low_reject_i32,SmallRng,Canon-Lemire,,,2209498.0,ns,2317711
distr_low_reject_i32,SmallRng,Canon-Lemire,,,2376784.0,ns,2528412
distr_low_reject_i32,SmallRng,Canon-Lemire,,,2615173.0,ns,2739113
distr_low_reject_i32,SmallRng,Canon-Lemire,,,2776135.0,ns,2949814
distr_low_reject_i32,SmallRng,Canon-Lemire,,,2957476.0,ns,3160515
distr_low_reject_i32,SmallRng,Canon-Lemire,,,3190225.0,ns,3371216
distr_low_reject_i32,SmallRng,Canon-Lemire,,,3375193.0,ns,3581917
distr_low_reject_i32,SmallRng,Canon-Lemire,,,3573215.0,ns,3792618
distr_low_reject_i32,SmallRng,Canon-Lemire,,,3770377.0,ns,4003319
distr_low_reject_i32,SmallRng,Canon-Lemire,,,3957790.0,ns,4214020
distr_low_reject_i32,SmallRng,Canon-Lemire,,,4135525.0,ns,4424721
distr_low_reject_i32,SmallRng,Canon-Lemire,,,4320412.0,ns,4635422
distr_low_reject_i32,SmallRng,Canon-Lemire,,,4529926.0,ns,4846123
distr_low_reject_i32,SmallRng,Canon-Lemire,,,4702792.0,ns,5056824
distr_low_reject_i32,SmallRng,Canon-Lemire,,,4954806.0,ns,5267525
distr_low_reject_i32,SmallRng,Canon-Lemire,,,5145215.0,ns,5478226
distr_low_reject_i32,SmallRng,Canon-Lemire,,,5398221.0,ns,5688927
distr_low_reject_i32,SmallRng,Canon-Lemire,,,5492539.0,ns,5899628
distr_low_reject_i32,SmallRng,Canon-Lemire,,,5729845.0,ns,6110329
distr_low_reject_i32,SmallRng,Canon-Lemire,,,5910063.0,ns,6321030
distr_low_reject_i32,SmallRng,Canon-Lemire,,,6120410.0,ns,6531731
distr_low_reject_i32,SmallRng,Canon-Lemire,,,6300499.0,ns,6742432
distr_low_reject_i32,SmallRng,Canon-Lemire,,,6479256.0,ns,6953133
distr_low_reject_i32,SmallRng,Canon-Lemire,,,6783147.0,ns,7163834
distr_low_reject_i32,SmallRng,Canon-Lemire,,,6905949.0,ns,7374535
distr_low_reject_i32,SmallRng,Canon-Lemire,,,7061531.0,ns,7585236
distr_low_reject_i32,SmallRng,Canon-Lemire,,,7279461.0,ns,7795937
distr_low_reject_i32,SmallRng,Canon-Lemire,,,7499846.0,ns,8006638
distr_low_reject_i32,SmallRng,Canon-Lemire,,,7673773.0,ns,8217339
distr_low_reject_i32,SmallRng,Canon-Lemire,,,7895932.0,ns,8428040
distr_low_reject_i32,SmallRng,Canon-Lemire,,,8201156.0,ns,8638741
distr_low_reject_i32,SmallRng,Canon-Lemire,,,8225542.0,ns,8849442
distr_low_reject_i32,SmallRng,Canon-Lemire,,,8489980.0,ns,9060143
distr_low_reject_i32,SmallRng,Canon-Lemire,,,8663997.0,ns,9270844
distr_low_reject_i32,SmallRng,Canon-Lemire,,,8875707.0,ns,9481545
distr_low_reject_i32,SmallRng,Canon-Lemire,,,9021170.0,ns,9692246
distr_low_reject_i32,SmallRng,Canon-Lemire,,,9248227.0,ns,9902947
distr_low_reject_i32,SmallRng,Canon-Lemire,,,9491084.0,ns,10113648
distr_low_reject_i32,SmallRng,Canon-Lemire,,,9634795.0,ns,10324349
distr_low_reject_i32,SmallRng,Canon-Lemire,,,9898051.0,ns,10535050
distr_low_reject_i32,SmallRng,Canon-Lemire,,,10013277.0,ns,10745751
distr_low_reject_i32,SmallRng,Canon-Lemire,,,10240936.0,ns,10956452
distr_low_reject_i32,SmallRng,Canon-Lemire,,,10387091.0,ns,11167153
distr_low_reject_i32,SmallRng,Canon-Lemire,,,10620430.0,ns,11377854
distr_low_reject_i32,SmallRng,Canon-Lemire,,,10785811.0,ns,11588555
distr_low_reject_i32,SmallRng,Canon-Lemire,,,10993512.0,ns,11799256
distr_low_reject_i32,SmallRng,Canon-Lemire,,,11221782.0,ns,12009957
distr_low_reject_i32,SmallRng,Canon-Lemire,,,11489475.0,ns,12220658
distr_low_reject_i32,SmallRng,Canon-Lemire,,,11611706.0,ns,12431359
distr_low_reject_i32,SmallRng,Canon-Lemire,,,11783690.0,ns,12642060
distr_low_reject_i32,SmallRng,Canon-Lemire,,,12112869.0,ns,12852761
distr_low_reject_i32,SmallRng,Canon-Lemire,,,12178392.0,ns,13063462
distr_low_reject_i32,SmallRng,Canon-Lemire,,,12442830.0,ns,13274163
distr_low_reject_i32,SmallRng,Canon-Lemire,,,12601869.0,ns,13484864
distr_low_reject_i32,SmallRng,Canon-Lemire,,,12819750.0,ns,13695565
distr_low_reject_i32,SmallRng,Canon-Lemire,,,12975613.0,ns,13906266
distr_low_reject_i32,SmallRng,Canon-Lemire,,,13182412.0,ns,14116967
distr_low_reject_i32,SmallRng,Canon-Lemire,,,13370887.0,ns,14327668
distr_low_reject_i32,SmallRng,Canon-Lemire,,,13710395.0,ns,14538369
distr_low_reject_i32,SmallRng,Canon-Lemire,,,13752615.0,ns,14749070
distr_low_reject_i32,SmallRng,Canon-Lemire,,,13996314.0,ns,14959771
distr_low_reject_i32,SmallRng,Canon-Lemire,,,14140867.0,ns,15170472
distr_low_reject_i32,SmallRng,Canon-Lemire,,,14400435.0,ns,15381173
distr_low_reject_i32,SmallRng,Canon-Lemire,,,14626120.0,ns,15591874
